antigen	block	intercept	slope	antigen_number	display_order	product_code	lot_number	slide_name	sample_plate	immunoglobulin	gain_normalised_intensity
S1	1	50.11324989	12.6799727	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	684.1118847
S1	2	28.16950045	1.343835847	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	95.36129278
S1	3	36.56518202	11.26268574	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	599.6994688
S1	4	21.31711545	3.120526735	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	177.3434522
S1	5	70.94865869	15.53950107	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	847.9237123
S1	6	92.2310329	22.94505302	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	1239.483684
S1	7	16.47570181	2.380297434	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	135.4905735
S1	8	22.7645229	1.935011496	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	119.5150977
S1	9	95.09818933	20.43231905	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	1116.714142
S1	10	15.09185028	3.272930272	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	178.7383639
S1	11	27.69353133	0.614866151	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	58.43683885
S1	12	38.4314994	6.354688165	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	356.1659077
S1	13	18.92894984	2.546222579	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	146.2400788
S1	14	229.9392739	104.2813835	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	5444.008447
S1	15	43.60781999	9.137894035	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	500.5025217
S1	16	77.27214403	13.10238451	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	732.3913695
S1	17	49.84652924	12.14211833	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	656.9524459
S1	18	183.4222802	61.55486547	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	3261.165554
S1	19	30.76841934	4.949568473	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	278.246843
S1	20	131.3490129	26.34505958	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	1448.601992
S1	21	15.01966086	2.297894121	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	129.9143669
S1	22	145.208906	82.87412278	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	4288.915045
S1	23	133.7704453	34.22101606	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	1844.821248
S1	24	254.7170008	64.51887833	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	3480.660917
S1	25	173.7564882	50.68949216	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	2708.231096
S1	26	157.0457244	206.0494564	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	10459.51855
S1	27	200.4370526	65.14967364	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	3457.920735
S1	28	307.7901142	70.30620175	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	3823.100202
S1	29	165.740862	34.37015548	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	1884.248636
S1	30	1330.430592	339.8781101	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	18324.3361
S1	31	79.16494945	13.37345419	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	747.8376591
S1	32	19.23150053	2.797011578	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	159.0820794
S1	33	18.74225814	3.129212383	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	175.2028773
S1	34	3174.028118	2112.357336	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	108791.8949
S1	35	3835.027446	608.0348218	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	34236.76854
S1	36	314.6082284	65.32509753	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	3580.863105
S1	37	53.09067897	9.709536261	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	538.567492
S1	38	752.5324517	802.6586573	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	40885.46532
S1	39	73.30427797	256.5157537	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	12899.09196
S1	40	191.9314652	38.94417394	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	2139.140162
S1	41	81.17212579	18.07676608	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	985.01043
S1	42	283.1121326	75.88853526	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	4077.538896
S1	43	385.0133991	108.3388068	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	5801.95374
S1	44	17.31382754	2.170486967	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	125.8381759
S1	45	27.14692152	0.890801472	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	71.68699515
S1	46	22.96880957	2.036119308	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	124.774775
S1	47	57.81263334	13.63940293	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	739.7827797
S1	48	26.1632224	1.317946847	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	92.06056475
S1	49	22.86017328	2.714311212	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	158.5757339
