ATF	1.0
31	41
"Checksum_ImageFile=9af1db4c0f1930d680dfd2d4245ca79b"
"Checksum_ResultFile=f22e1e59b8203700516803ce3223a004"
"Type=Mapix Results 2"
"DateTime=2021/04/15 19:23:11"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785, 670"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h22m59_5µm_785nmGain000.tif, L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA01161_FastGreen\Joseph_2021-04-06_14h19m00_5µm.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h22m59_5µm_785nmGain000.jpg"
"RatioFormulations=W2/W1 (670/785)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4615, 2705"
"JpegBrightness=30"
"JpegContrast=79"
"JpegBalance=28"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0, 5.0"
"PMTGain=0, 10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F670 Median - B670"	"F670 Mean - B670"	"F670 Total Intensity"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"	"Ratio of Medians (670/785)"	"Ratio of Means (670/785)"	"Median of Ratios (670/785)"	"Mean of Ratios (670/785)"	"Ratios SD (670/785)"	"Sum of Medians (670/785)"	"Sum of Means (670/785)"	"Log Ratio (670/785)"	"Rgn Ratio (670/785)"	"Rgn R2 (670/785)"
1	1	1	4831.00	2915.00	171.30	0	Spot (Block1, Row1, Column1)	42855.00	42643.36	53500388.00	191.59	84.00	227.04	0.36	1.19	79.00	113.07	79.00	135.97	0.16	1.20	19.00	17.00	0.00	5.00	112.59	156916.00	0.58	235.44	83.00	8571.00	378.73	70.49	70.39	0.07	42860.00	42755.95	13.07	0.06	0.00
1	2	1	5125.00	2904.00	135.15	0	Spot (Block1, Row1, Column2)	43561.00	39097.00	30108204.00	79.20	79.00	10.43	0.00	0.13	80.00	103.60	80.00	116.06	0.11	1.12	0.00	0.00	0.00	-1.00	-0.80	39047.00	-0.21	81.76	82.00	-43561.00	-49045.53	0.00	0.00	0.00	43560.00	39096.20	100000.00	0.82	0.67
1	3	1	5423.00	2912.00	137.50	0	Spot (Block1, Row1, Column3)	43982.00	43805.31	33463708.00	78.11	78.00	7.96	0.00	0.10	77.00	76.72	77.00	10.72	0.00	0.14	13.00	0.00	0.00	1.00	1.11	39993.00	0.13	77.03	77.00	43982.00	39417.08	0.00	0.00	0.00	43983.00	43806.42	15.42	0.24	0.06
1	4	1	5723.00	2904.00	132.90	0	Spot (Block1, Row1, Column4)	43987.00	43670.82	30848716.00	78.13	80.00	9.21	0.01	0.12	77.00	78.02	77.00	10.36	0.01	0.13	15.00	0.00	0.00	3.00	1.13	36956.00	0.01	80.02	81.00	14662.33	38609.82	0.00	0.00	0.00	43990.00	43671.95	13.84	0.52	0.27
1	5	1	6016.00	2909.00	146.90	0	Spot (Block1, Row1, Column5)	43414.00	43290.61	38396940.00	73.80	73.00	9.98	0.00	0.14	79.00	80.12	79.00	14.63	0.01	0.18	3.00	0.00	0.00	-6.00	-5.20	43321.00	-0.43	78.98	79.00	-7235.67	-8326.21	0.00	0.00	0.00	43408.00	43285.41	100000.00	0.24	0.06
1	6	1	6304.00	2911.00	136.80	0	Spot (Block1, Row1, Column6)	42997.00	40075.58	31682700.00	76.90	77.00	11.00	0.00	0.14	79.00	81.31	79.00	17.52	0.01	0.22	4.00	0.00	0.00	-2.00	-2.10	38912.00	-0.25	82.90	78.00	-21498.50	-19094.38	0.00	0.00	0.00	42995.00	40073.48	100000.00	0.78	0.60
1	7	1	6599.00	2914.00	141.25	0	Spot (Block1, Row1, Column7)	42983.00	42466.64	34980308.00	83.63	76.00	25.34	0.04	0.30	82.00	88.07	82.00	26.03	0.03	0.30	13.00	5.00	0.00	-6.00	1.63	44992.00	-0.17	96.99	82.00	-7163.83	26081.16	0.00	0.00	0.00	42977.00	42468.27	100000.00	0.28	0.08
1	8	1	6923.00	2906.00	155.75	0	Spot (Block1, Row1, Column8)	42600.00	42427.52	43662572.00	762.22	92.00	1298.41	0.92	1.70	81.00	198.98	81.00	571.43	0.39	2.87	23.00	20.00	0.00	11.00	681.22	509166.00	0.99	847.56	91.00	3872.73	62.28	14.15	19.56	0.22	42611.00	43108.74	11.92	0.07	0.00
1	1	2	4818.00	3210.00	222.25	0	Spot (Block1, Row2, Column1)	13253.00	13786.91	50617952.00	73.79	74.00	8.02	0.00	0.11	77.00	77.85	77.00	11.27	0.00	0.14	3.00	0.00	0.00	-3.00	-3.21	104557.00	-0.36	75.97	77.00	-4417.67	-4291.76	0.00	0.00	0.00	13250.00	13783.70	100000.00	0.97	0.95
1	2	2	5125.00	3213.00	160.90	0	Spot (Block1, Row2, Column2)	42713.00	41216.30	45787828.00	81.58	80.00	12.45	0.01	0.15	77.00	77.18	77.00	10.71	0.00	0.14	27.00	11.00	0.00	3.00	4.58	58330.00	0.41	81.15	78.00	14237.67	8998.37	0.00	0.00	0.00	42716.00	41220.89	13.80	0.48	0.23
