ATF	1.0
30	28
"Checksum_ImageFile=675ca11790b7c0dc02810829902f41bd"
"Checksum_ResultFile=b05b58dfcbdfaedcca3e617ec9c097be"
"Type=Mapix Results 2"
"DateTime=2021/04/15 19:31:08"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h30m56_5µm_785nmGain001.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h30m56_5µm_785nmGain001.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2610"
"JpegBrightness=49"
"JpegContrast=53"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.7"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=1"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4871.00	2813.00	154.85	0	Spot (Block1, Row1, Column1)	2451.76	2444.00	507.38	0.00	0.21	150.00	153.50	150.00	23.52	0.01	0.15	100.00	100.00	0.00	2294.00	2301.76	1615712.00	97.72	825.93	703.00
1	2	1	5176.00	2830.00	121.35	0	Spot (Block1, Row1, Column2)	222.59	215.00	28.55	0.02	0.13	146.00	149.05	146.00	19.06	0.01	0.13	99.00	96.00	0.00	69.00	76.59	86812.00	3.86	183.22	184.00
1	3	1	5530.00	2745.00	238.05	0	Spot (Block1, Row1, Column3)	169.65	174.00	18.34	0.01	0.11	153.00	152.93	153.00	17.15	0.00	0.11	57.00	13.00	0.00	21.00	16.65	276192.00	0.98	154.37	156.50
1	4	1	5775.00	2834.00	160.60	0	Spot (Block1, Row1, Column4)	190.24	193.00	19.62	0.01	0.10	153.00	153.75	153.00	17.92	0.00	0.12	83.00	57.00	0.00	40.00	37.24	135638.00	2.04	165.17	163.00
1	5	1	6066.00	2840.00	188.80	0	Spot (Block1, Row1, Column5)	183.68	185.00	16.94	0.00	0.09	155.00	155.27	155.00	18.55	0.00	0.12	77.00	32.00	0.00	30.00	28.68	184234.00	1.53	171.80	174.00
1	6	1	6369.00	2815.00	125.25	0	Spot (Block1, Row1, Column6)	340.60	331.00	94.36	0.01	0.28	158.00	157.56	158.00	19.03	0.00	0.12	100.00	100.00	0.00	173.00	182.60	143392.00	9.62	219.56	209.00
1	7	1	6674.00	2826.00	135.35	0	Spot (Block1, Row1, Column7)	550.59	554.00	114.65	0.00	0.21	168.00	169.73	168.00	38.31	0.00	0.23	100.00	100.00	0.00	386.00	382.59	273095.00	9.94	293.90	273.00
1	8	1	6964.00	2824.00	137.25	0	Spot (Block1, Row1, Column8)	12774.36	12917.00	3221.94	0.00	0.25	174.00	176.68	174.00	45.97	0.01	0.26	100.00	100.00	0.00	12743.00	12600.36	6463828.00	274.05	3190.15	2759.50
1	1	2	4885.00	3080.00	256.65	0	Spot (Block1, Row2, Column1)	162.82	165.00	15.28	0.01	0.09	143.00	148.42	143.00	21.37	0.02	0.14	50.00	5.00	0.00	22.00	19.82	309516.00	0.67	151.79	152.00
1	2	2	5169.00	3118.00	166.30	0	Spot (Block1, Row2, Column2)	211.02	211.00	26.57	0.00	0.13	143.00	145.65	143.00	16.55	0.01	0.11	96.00	91.00	0.00	68.00	68.02	161639.00	3.95	166.16	171.00
