ATF	1.0
30	28
"Checksum_ImageFile=5ae4bc1c28b09b30570e04f66f95d92d"
"Checksum_ResultFile=4bf72e0b9be724eaf1694017baf0a3cd"
"Type=Mapix Results 2"
"DateTime=2021/04/15 19:39:05"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h38m52_5µm_785nmGain005.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h38m52_5µm_785nmGain005.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4665, 2610"
"JpegBrightness=48"
"JpegContrast=30"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=5"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4871.00	2812.00	155.35	0	Spot (Block1, Row1, Column1)	5482.40	5357.00	1113.82	0.01	0.20	281.00	279.49	281.00	40.42	0.00	0.14	100.00	100.00	0.00	5076.00	5201.40	3651280.00	128.71	1734.09	1492.00
1	2	1	5177.00	2824.00	119.95	0	Spot (Block1, Row1, Column2)	464.77	468.50	77.12	0.00	0.17	284.00	280.89	284.00	31.18	0.00	0.11	97.00	97.00	0.00	184.50	180.77	176612.00	5.90	344.03	326.00
1	3	1	5495.00	2818.00	133.60	0	Spot (Block1, Row1, Column3)	317.43	308.00	26.92	0.01	0.08	286.00	281.14	286.00	27.07	0.01	0.10	36.00	22.00	0.00	22.00	31.43	153318.00	1.34	287.53	290.00
1	4	1	5772.00	2828.00	135.80	0	Spot (Block1, Row1, Column4)	388.46	390.00	57.49	0.00	0.15	289.00	284.75	289.00	27.04	0.01	0.09	86.00	79.00	0.00	101.00	99.46	193451.00	3.83	321.83	310.00
1	5	1	6073.00	2806.00	287.35	0	Spot (Block1, Row1, Column5)	307.82	299.00	34.40	0.01	0.11	289.00	286.74	289.00	30.80	0.00	0.11	17.00	12.00	0.00	10.00	18.82	744926.00	0.68	285.20	287.00
1	6	1	6369.00	2814.00	128.85	0	Spot (Block1, Row1, Column6)	663.43	602.00	183.54	0.04	0.28	288.00	284.88	288.00	28.87	0.00	0.10	99.00	99.00	0.00	314.00	375.43	292571.00	13.11	404.02	391.00
1	7	1	6673.00	2825.00	136.10	0	Spot (Block1, Row1, Column7)	1215.74	1238.00	311.60	0.01	0.26	296.00	302.84	296.00	74.84	0.01	0.25	100.00	100.00	0.00	942.00	919.74	606653.00	12.20	580.41	572.50
1	8	1	6963.00	2824.00	137.35	0	Spot (Block1, Row1, Column8)	28885.74	29125.00	7833.44	0.00	0.27	300.00	313.18	300.00	92.58	0.02	0.30	100.00	100.00	0.00	28825.00	28585.74	14616185.00	308.63	7185.30	5871.00
1	1	2	4862.00	3106.00	121.25	0	Spot (Block1, Row2, Column1)	300.72	299.00	23.90	0.00	0.08	273.00	270.13	273.00	33.42	0.00	0.12	32.00	7.00	0.00	26.00	27.72	116680.00	0.92	285.93	294.00
1	2	2	5172.00	3117.00	143.85	0	Spot (Block1, Row2, Column2)	437.84	424.00	47.94	0.01	0.11	280.00	275.17	280.00	23.57	0.01	0.09	100.00	98.00	0.00	144.00	157.84	243438.00	6.90	339.43	330.50
1	3	2	5497.00	3148.00	99.80	0	Spot (Block1, Row2, Column3)	334.56	313.00	42.60	0.03	0.13	283.00	278.65	283.00	23.13	0.01	0.08	64.00	34.00	0.00	30.00	51.56	84978.00	2.42	297.69	297.00
1	4	2	5783.00	3118.00	144.50	0	Spot (Block1, Row2, Column4)	389.18	388.00	49.50	0.00	0.13	286.00	282.74	286.00	27.77	0.00	0.10	93.00	78.00	0.00	102.00	103.18	221441.00	3.83	330.25	316.00
1	5	2	6072.00	3113.00	128.15	0	Spot (Block1, Row2, Column5)	907.83	898.00	201.44	0.00	0.22	287.00	286.64	287.00	33.13	0.00	0.12	100.00	100.00	0.00	611.00	620.83	400352.00	18.75	519.30	485.00
1	6	2	6373.00	3118.00	147.00	-50	Spot (Block1, Row2, Column6)	323.65	306.00	41.44	0.02	0.13	289.00	292.80	289.00	45.47	0.01	0.16	27.00	16.00	0.00	17.00	34.65	189985.00	0.68	291.14	291.00
1	7	2	6664.00	3119.00	127.00	0	Spot (Block1, Row2, Column7)	333.53	318.00	34.52	0.02	0.10	293.00	292.43	293.00	29.98	0.00	0.10	43.00	30.00	0.00	25.00	40.53	143418.00	1.37	314.67	312.00
