ATF	1.0
30	28
"Checksum_ImageFile=59411dccf93531848dd20cca8e3e6d34"
"Checksum_ResultFile=b08fd612694770f61e28d72dcfa583e8"
"Type=Mapix Results 2"
"DateTime=2021/04/15 19:47:02"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h46m50_785nmGain010.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h46m50_785nmGain010.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2610"
"JpegBrightness=48"
"JpegContrast=24"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4872.00	2813.00	155.35	0	Spot (Block1, Row1, Column1)	8175.11	8127.50	1714.96	0.00	0.21	392.00	389.21	392.00	67.64	0.00	0.17	100.00	100.00	0.00	7735.50	7783.11	5411926.00	115.10	2662.89	2006.00
1	2	1	5174.00	2823.00	127.35	0	Spot (Block1, Row1, Column2)	648.52	617.00	124.10	0.02	0.19	389.00	384.77	389.00	53.94	0.00	0.14	99.00	95.00	0.00	228.00	259.52	280807.00	4.89	475.70	483.50
1	3	1	5499.00	2763.00	128.00	0	Spot (Block1, Row1, Column3)	430.86	403.00	58.43	0.03	0.14	392.00	385.92	392.00	50.38	0.01	0.13	35.00	24.00	0.00	11.00	38.86	188285.00	0.89	423.63	406.00
1	4	1	5771.00	2826.00	129.80	0	Spot (Block1, Row1, Column4)	534.61	511.00	93.97	0.02	0.18	392.00	386.26	392.00	50.63	0.01	0.13	80.00	64.00	0.00	119.00	142.61	241108.00	2.93	444.62	409.00
1	5	1	6072.00	2833.00	174.80	0	Spot (Block1, Row1, Column5)	464.90	474.00	79.77	0.01	0.17	395.00	397.13	395.00	52.30	0.00	0.13	54.00	24.00	0.00	79.00	69.90	395629.00	1.30	423.47	401.00
1	6	1	6369.00	2814.00	127.60	0	Spot (Block1, Row1, Column6)	1009.98	947.00	329.41	0.03	0.33	395.00	399.01	395.00	54.53	0.00	0.14	100.00	100.00	0.00	552.00	614.98	436310.00	11.20	611.12	606.50
1	7	1	6674.00	2825.00	136.70	0	Spot (Block1, Row1, Column7)	1853.26	1851.50	553.83	0.00	0.30	399.00	425.46	399.00	116.36	0.03	0.27	100.00	100.00	0.00	1452.50	1454.26	930337.00	12.27	830.16	746.00
1	8	1	6964.00	2824.00	137.55	0	Spot (Block1, Row1, Column8)	44334.02	45197.50	11440.82	0.01	0.26	403.00	441.20	403.00	144.34	0.04	0.33	100.00	100.00	5.14	44794.50	43931.02	22433040.00	304.10	10746.68	10247.00
1	1	2	4874.00	3113.00	147.00	-50	Spot (Block1, Row2, Column1)	423.02	407.00	42.80	0.02	0.10	391.00	385.81	391.00	51.75	0.01	0.13	25.00	10.00	0.00	16.00	32.02	250006.00	0.72	404.01	400.00
1	2	2	5168.00	3115.00	135.25	0	Spot (Block1, Row2, Column2)	640.70	610.00	107.15	0.02	0.17	391.00	386.52	391.00	44.22	0.01	0.11	98.00	96.00	0.00	219.00	249.70	315865.00	5.75	484.23	481.00
1	3	2	5474.00	3115.00	147.00	-50	Spot (Block1, Row2, Column3)	428.30	403.00	68.58	0.03	0.16	390.00	383.74	390.00	49.37	0.01	0.13	33.00	20.00	0.00	13.00	38.30	253124.00	0.90	381.82	387.00
1	4	2	5781.00	3106.00	178.55	0	Spot (Block1, Row2, Column4)	531.51	510.00	95.50	0.02	0.18	391.00	385.26	391.00	53.87	0.01	0.14	79.00	62.00	0.00	119.00	140.51	475166.00	2.72	433.53	413.00
1	5	2	6074.00	3113.00	127.65	0	Spot (Block1, Row2, Column5)	1388.03	1379.00	312.59	0.00	0.23	397.00	401.16	397.00	57.30	0.00	0.14	100.00	100.00	0.00	982.00	991.03	601018.00	17.22	762.68	739.50
1	6	2	6376.00	3118.00	116.80	0	Spot (Block1, Row2, Column6)	493.73	502.00	61.29	0.01	0.12	397.00	409.47	397.00	73.58	0.01	0.18	72.00	14.00	0.00	105.00	96.73	176755.00	1.15	441.60	420.50
1	7	2	6674.00	3119.00	147.00	-50	Spot (Block1, Row2, Column7)	442.26	413.00	62.40	0.03	0.14	395.00	410.42	395.00	64.36	0.02	0.16	42.00	6.00	0.00	18.00	47.26	260493.00	0.49	413.18	395.50
1	8	2	6974.00	3120.00	147.00	-50	Spot (Block1, Row2, Column8)	455.64	420.00	79.16	0.04	0.17	397.00	424.22	397.00	106.06	0.03	0.25	18.00	7.00	0.00	23.00	58.64	270192.00	0.30	424.61	394.00
1	1	3	4875.00	3417.00	134.70	0	Spot (Block1, Row3, Column1)	769.83	782.50	124.91	0.01	0.16	389.00	385.53	389.00	46.14	0.00	0.12	100.00	99.00	0.00	393.50	380.83	377217.00	8.33	506.16	494.00
1	2	3	5173.00	3414.00	147.00	-50	Spot (Block1, Row3, Column2)	424.37	406.00	54.62	0.02	0.13	390.00	384.66	390.00	43.26	0.01	0.11	31.00	21.00	0.00	16.00	34.37	249532.00	0.92	389.49	397.00
1	3	3	5473.00	3415.00	147.00	-50	Spot (Block1, Row3, Column3)	629.06	418.00	1174.50	0.18	1.87	393.00	389.68	393.00	45.22	0.00	0.12	46.00	32.00	0.00	25.00	236.06	369889.00	5.29	429.67	399.00
1	4	3	5774.00	3413.00	138.95	0	Spot (Block1, Row3, Column4)	821.97	772.50	223.85	0.03	0.27	392.00	389.71	392.00	47.58	0.00	0.12	100.00	99.00	0.00	380.50	429.97	427423.00	9.08	511.32	503.00
1	5	3	6074.00	3417.00	147.00	-50	Spot (Block1, Row3, Column5)	696.40	496.00	1267.93	0.15	1.82	396.00	408.52	396.00	70.94	0.01	0.17	65.00	29.00	0.00	100.00	300.40	411573.00	4.06	417.06	400.00
1	6	3	6382.00	3416.00	172.70	0	Spot (Block1, Row3, Column6)	5232.89	5360.00	1526.21	0.01	0.29	399.00	423.71	399.00	88.47	0.03	0.21	100.00	100.00	0.00	4961.00	4833.89	4317135.00	54.36	1607.41	1572.00
