ATF	1.0
30	28
"Checksum_ImageFile=7d00f7c9cc38e6b0b4e15211541d21c8"
"Checksum_ResultFile=a2ddf05942a90a641d886c1e64a5b20f"
"Type=Mapix Results 2"
"DateTime=2021/04/15 19:54:59"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h54m47_785nmGain020.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h54m47_785nmGain020.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4665, 2610"
"JpegBrightness=47"
"JpegContrast=18"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=20"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4871.00	2813.00	155.40	0	Spot (Block1, Row1, Column1)	14088.99	13711.00	2962.95	0.01	0.21	607.00	642.51	607.00	110.47	0.02	0.17	100.00	100.00	0.00	13104.00	13481.99	9340998.00	121.72	4606.16	3972.50
1	2	1	5170.00	2818.00	125.85	0	Spot (Block1, Row1, Column2)	1128.95	1080.00	217.21	0.02	0.19	599.00	626.48	599.00	91.80	0.02	0.15	100.00	99.00	0.00	481.00	529.95	474161.00	5.47	800.67	804.00
1	3	1	5467.00	2805.00	108.00	0	Spot (Block1, Row1, Column3)	718.59	693.00	82.60	0.02	0.11	599.00	625.95	599.00	82.78	0.02	0.13	64.00	32.00	0.00	94.00	119.59	217734.00	1.12	671.01	661.00
1	4	1	5766.00	2820.00	129.20	0	Spot (Block1, Row1, Column4)	860.13	804.00	151.44	0.03	0.18	608.00	639.76	608.00	82.75	0.02	0.13	87.00	65.00	0.00	196.00	252.13	384476.00	2.66	743.82	707.00
1	5	1	6070.00	2816.00	135.75	0	Spot (Block1, Row1, Column5)	824.78	800.00	129.14	0.01	0.16	614.00	650.01	614.00	98.16	0.02	0.15	76.00	43.00	0.00	186.00	210.78	409916.00	1.78	704.29	698.50
1	6	1	6371.00	2811.00	129.45	0	Spot (Block1, Row1, Column6)	1718.86	1666.00	553.24	0.01	0.32	619.00	656.18	619.00	103.50	0.03	0.16	100.00	100.00	0.00	1047.00	1099.86	771770.00	10.27	977.86	923.00
1	7	1	6674.00	2825.00	137.10	0	Spot (Block1, Row1, Column7)	3166.74	3153.50	930.26	0.00	0.29	690.00	705.79	690.00	196.75	0.01	0.28	100.00	99.00	0.00	2463.50	2476.74	1589704.00	12.51	1487.26	1405.50
1	8	1	6964.00	2824.00	138.60	0	Spot (Block1, Row1, Column8)	61462.42	65535.00	7930.71	0.03	0.13	693.00	736.15	693.00	236.14	0.03	0.32	100.00	100.00	66.80	64842.00	60769.42	31837760.00	257.16	15593.97	12535.00
1	1	2	4868.00	3138.00	241.35	0	Spot (Block1, Row2, Column1)	657.18	668.00	75.28	0.01	0.11	600.00	624.59	600.00	82.62	0.02	0.13	46.00	8.00	0.00	68.00	57.18	1103411.00	0.39	617.44	601.00
1	2	2	5171.00	3123.00	147.15	0	Spot (Block1, Row2, Column2)	1039.78	1005.50	192.74	0.01	0.19	600.00	621.06	600.00	73.92	0.01	0.12	99.00	95.00	0.00	405.50	439.78	611388.00	5.66	719.89	705.00
