ATF	1.0
30	28
"Checksum_ImageFile=0dc6431fa2312ba2d28083a09563ba41"
"Checksum_ResultFile=9176fb1f3045c315cb04304b3963920a"
"Type=Mapix Results 2"
"DateTime=2021/04/15 20:02:57"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h02m45_5µm_785nmGain025.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h02m45_5µm_785nmGain025.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4665, 2615"
"JpegBrightness=47"
"JpegContrast=16"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=25"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4872.00	2813.00	155.60	0	Spot (Block1, Row1, Column1)	16757.58	16357.00	3422.84	0.01	0.20	719.00	758.48	719.00	124.71	0.02	0.16	100.00	100.00	0.00	15638.00	16038.58	11177306.00	128.29	5248.45	4019.00
1	2	1	5173.00	2819.00	128.35	0	Spot (Block1, Row1, Column2)	1347.74	1266.50	223.22	0.03	0.17	713.00	740.09	713.00	97.08	0.02	0.13	100.00	100.00	0.00	553.50	634.74	587614.00	6.26	985.12	991.50
1	3	1	5425.00	2838.00	187.10	0	Spot (Block1, Row1, Column3)	804.64	795.00	92.35	0.01	0.11	709.00	739.63	709.00	91.37	0.02	0.12	44.00	18.00	0.00	86.00	95.64	791769.00	0.71	764.71	738.00
1	4	1	5767.00	2816.00	132.15	0	Spot (Block1, Row1, Column4)	1026.76	1004.00	143.43	0.01	0.14	770.00	764.92	770.00	95.90	0.00	0.13	90.00	70.00	0.00	234.00	256.76	479495.00	2.73	875.38	836.00
1	5	1	6078.00	2824.00	137.30	0	Spot (Block1, Row1, Column5)	993.42	992.00	126.85	0.00	0.13	776.00	773.35	776.00	104.08	0.00	0.13	81.00	54.00	0.00	216.00	217.42	507639.00	2.11	863.48	831.00
1	6	1	6370.00	2812.00	129.30	0	Spot (Block1, Row1, Column6)	2145.09	1961.00	831.49	0.04	0.39	777.00	771.98	777.00	104.84	0.00	0.14	100.00	100.00	0.00	1184.00	1368.09	963145.00	13.10	1199.57	1174.50
1	7	1	6674.00	2826.00	137.90	0	Spot (Block1, Row1, Column7)	3836.75	3827.00	1068.96	0.00	0.28	795.00	835.72	795.00	234.14	0.02	0.28	100.00	100.00	0.00	3032.00	3041.75	1968252.00	12.82	1655.22	1554.50
1	8	1	6964.00	2824.00	139.50	0	Spot (Block1, Row1, Column8)	63126.87	65535.00	6444.24	0.02	0.10	810.50	875.03	810.50	281.88	0.03	0.32	100.00	100.00	81.52	64724.50	62316.37	33141856.00	220.84	16895.37	13723.00
1	1	2	4864.00	3086.00	235.00	0	Spot (Block1, Row2, Column1)	784.60	791.00	91.98	0.00	0.12	710.00	742.20	710.00	102.64	0.02	0.14	29.00	9.00	0.00	81.00	74.60	1249078.00	0.41	738.30	712.00
1	2	2	5171.00	3120.00	143.40	0	Spot (Block1, Row2, Column2)	1263.95	1262.50	206.54	0.00	0.16	708.00	731.94	708.00	80.77	0.01	0.11	100.00	98.00	0.00	554.50	555.95	712867.00	6.59	896.41	896.00
1	3	2	5479.00	3138.00	183.75	0	Spot (Block1, Row2, Column3)	827.46	800.00	110.57	0.01	0.13	717.00	748.82	717.00	86.50	0.02	0.12	46.00	30.00	0.00	83.00	110.46	787741.00	0.91	772.68	785.50
1	4	2	5785.00	3118.00	147.20	0	Spot (Block1, Row2, Column4)	1111.07	1083.00	196.40	0.01	0.18	748.00	761.15	748.00	98.45	0.01	0.13	95.00	83.00	0.00	335.00	363.07	656643.00	3.55	900.39	895.00
