ATF	1.0
30	28
"Checksum_ImageFile=a26c86ac8b42829a86881c13bc47ba1b"
"Checksum_ResultFile=5d1dfc5992b9150d5b41c8e105ac326c"
"Type=Mapix Results 2"
"DateTime=2021/04/15 20:10:58"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h10m46_5µm_785nmGain050.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h10m46_5µm_785nmGain050.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2610"
"JpegBrightness=45"
"JpegContrast=12"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=50"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4873.00	2811.00	156.00	0	Spot (Block1, Row1, Column1)	29768.71	29409.00	5740.42	0.01	0.19	1291.00	1327.56	1291.00	217.03	0.01	0.16	100.00	100.00	0.00	28118.00	28477.71	19855736.00	131.05	9234.28	8145.00
1	2	1	5174.00	2820.00	125.15	0	Spot (Block1, Row1, Column2)	2314.59	2290.00	335.84	0.00	0.15	1291.00	1308.45	1291.00	155.39	0.01	0.12	100.00	100.00	0.00	999.00	1023.59	974444.00	6.47	1672.73	1681.00
1	3	1	5475.00	2813.00	147.00	-50	Spot (Block1, Row1, Column3)	1454.50	1405.00	171.58	0.02	0.12	1290.00	1301.24	1290.00	121.99	0.00	0.09	47.00	28.00	0.00	115.00	164.50	856698.00	1.26	1292.72	1284.00
1	4	1	5772.00	2822.00	127.25	0	Spot (Block1, Row1, Column4)	1912.25	1849.50	305.45	0.01	0.16	1303.00	1330.21	1303.00	130.21	0.01	0.10	99.00	94.00	0.00	546.50	609.25	829915.00	4.47	1542.88	1565.50
1	5	1	6084.00	2819.00	141.75	0	Spot (Block1, Row1, Column5)	1757.82	1713.50	233.76	0.01	0.13	1327.00	1357.82	1327.00	147.95	0.01	0.11	89.00	68.00	0.00	386.50	430.82	963286.00	2.70	1540.80	1504.00
1	6	1	6372.00	2813.00	127.55	0	Spot (Block1, Row1, Column6)	3749.01	3561.00	1266.13	0.02	0.34	1342.00	1364.25	1342.00	150.39	0.01	0.11	100.00	100.00	0.00	2219.00	2407.01	1642066.00	15.86	2137.19	2009.00
1	7	1	6674.00	2825.00	139.05	0	Spot (Block1, Row1, Column7)	6567.79	6612.00	1814.08	0.00	0.28	1396.00	1457.21	1396.00	285.90	0.02	0.20	100.00	100.00	0.00	5216.00	5171.79	3395545.00	17.88	3045.45	2985.00
1	8	1	6965.00	2822.00	144.80	0	Spot (Block1, Row1, Column8)	64535.79	65535.00	4515.29	0.01	0.07	1457.00	1519.47	1457.00	355.72	0.02	0.23	100.00	100.00	93.16	64078.00	63078.79	36785708.00	177.15	17821.28	14783.00
1	1	2	4872.00	3083.00	197.95	0	Spot (Block1, Row2, Column1)	1389.29	1378.00	132.26	0.00	0.10	1290.00	1310.44	1290.00	179.20	0.01	0.14	31.00	2.00	0.00	88.00	99.29	1544891.00	0.44	1314.47	1300.00
1	2	2	5175.00	3120.00	141.80	0	Spot (Block1, Row2, Column2)	2288.48	2244.00	287.63	0.01	0.13	1283.00	1288.22	1283.00	116.83	0.00	0.09	100.00	100.00	0.00	961.00	1005.48	1260954.00	8.56	1644.10	1596.00
