ATF	1.0
30	28
"Checksum_ImageFile=9788aa8672d79f0a2437c193dd98bacf"
"Checksum_ResultFile=ffd031eeeed929d902116b767506358f"
"Type=Mapix Results 2"
"DateTime=2021/04/15 20:18:56"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h18m44_5µm_785nmGain075.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h18m44_5µm_785nmGain075.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2610"
"JpegBrightness=44"
"JpegContrast=12"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=75"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4872.00	2811.00	156.75	0	Spot (Block1, Row1, Column1)	38543.38	38141.50	7385.91	0.00	0.19	1731.00	1792.19	1731.00	288.14	0.02	0.16	100.00	100.00	0.00	36410.50	36812.38	26132408.00	127.55	11619.75	10186.00
1	2	1	5173.00	2821.00	125.90	0	Spot (Block1, Row1, Column2)	3121.74	2971.50	447.62	0.02	0.14	1722.00	1765.78	1722.00	207.86	0.01	0.12	100.00	100.00	0.00	1249.50	1399.74	1311131.00	6.52	2287.37	2285.00
1	3	1	5474.00	2815.00	147.00	-50	Spot (Block1, Row1, Column3)	1968.51	1955.00	220.91	0.00	0.11	1743.00	1765.24	1743.00	146.97	0.01	0.08	56.00	39.00	0.00	212.00	225.51	1161423.00	1.38	1707.14	1699.00
1	4	1	5775.00	2824.00	130.70	0	Spot (Block1, Row1, Column4)	2553.95	2465.00	299.64	0.02	0.12	1789.00	1809.95	1789.00	162.54	0.01	0.09	100.00	97.00	0.00	676.00	764.95	1159493.00	4.58	2088.32	2067.00
1	5	1	6069.00	2826.00	158.15	0	Spot (Block1, Row1, Column5)	2219.31	2171.00	265.97	0.01	0.12	1805.00	1841.43	1805.00	179.55	0.01	0.10	80.00	50.00	0.00	366.00	414.31	1529107.00	2.10	1943.90	1899.00
1	6	1	6372.00	2813.00	129.00	0	Spot (Block1, Row1, Column6)	4941.68	4816.00	1694.46	0.01	0.34	1809.00	1842.15	1809.00	184.52	0.01	0.10	100.00	100.00	0.00	3007.00	3132.68	2213871.00	16.80	2820.40	2641.00
1	7	1	6675.00	2825.00	139.45	0	Spot (Block1, Row1, Column7)	8748.36	8782.00	2351.65	0.00	0.27	1911.00	1983.14	1911.00	388.86	0.02	0.20	100.00	100.00	0.00	6871.00	6837.36	4592891.00	17.40	4076.47	3884.00
1	8	1	6965.00	2823.00	148.30	0	Spot (Block1, Row1, Column8)	64406.97	65535.00	4847.91	0.01	0.08	1982.00	2069.95	1982.00	474.29	0.02	0.23	100.00	100.00	93.01	63553.00	62424.97	38708924.00	131.43	19271.49	16449.00
1	1	2	4856.00	3112.00	152.80	0	Spot (Block1, Row2, Column1)	1870.54	1838.00	125.11	0.01	0.07	1708.00	1748.30	1708.00	205.47	0.01	0.12	28.00	2.00	0.00	130.00	162.54	1189665.00	0.59	1788.89	1793.00
1	2	2	5170.00	3119.00	141.00	0	Spot (Block1, Row2, Column2)	2968.31	2936.50	353.13	0.00	0.12	1699.00	1731.07	1699.00	135.64	0.01	0.08	100.00	100.00	0.00	1237.50	1269.31	1608823.00	9.12	2130.22	2093.00
1	3	2	5481.00	3127.00	136.85	0	Spot (Block1, Row2, Column3)	1985.10	1997.50	184.38	0.00	0.09	1754.00	1768.27	1754.00	146.39	0.00	0.08	63.00	38.00	0.00	243.50	231.10	1004463.00	1.48	1850.26	1868.50
1	4	2	5783.00	3115.00	150.20	0	Spot (Block1, Row2, Column4)	2650.99	2589.00	349.46	0.01	0.13	1797.00	1825.45	1797.00	167.89	0.01	0.09	99.00	98.00	0.00	792.00	853.99	1640961.00	4.92	2157.96	2162.00
1	5	2	6073.00	3113.00	127.55	0	Spot (Block1, Row2, Column5)	6932.75	7087.50	1280.24	0.01	0.18	1866.00	1880.66	1866.00	193.15	0.00	0.10	100.00	100.00	0.00	5221.50	5066.75	3036546.00	26.16	3663.84	3618.00
1	6	2	6380.00	3112.00	124.85	0	Spot (Block1, Row2, Column6)	2305.31	2285.50	275.83	0.00	0.12	1885.00	1928.77	1885.00	315.47	0.01	0.16	58.00	23.00	0.00	400.50	420.31	954397.00	1.19	2013.98	1969.50
1	7	2	6662.00	3122.00	130.15	0	Spot (Block1, Row2, Column7)	2258.45	2218.50	250.90	0.01	0.11	1902.00	1947.54	1902.00	217.31	0.01	0.11	58.00	39.00	0.00	316.50	356.45	1025336.00	1.43	2082.73	2073.50
1	8	2	6974.00	3120.00	147.00	-50	Spot (Block1, Row2, Column8)	2049.60	1985.50	250.07	0.01	0.12	1930.00	1996.52	1930.00	360.96	0.01	0.18	19.00	2.00	0.00	55.50	119.60	1205166.00	0.15	2019.97	1999.00
1	1	3	4877.00	3419.00	135.20	0	Spot (Block1, Row3, Column1)	3526.70	3534.50	443.38	0.00	0.13	1705.00	1749.03	1705.00	165.85	0.01	0.09	100.00	100.00	0.00	1829.50	1821.70	1735136.00	10.72	2348.46	2277.00
1	2	3	5174.00	3407.00	179.30	0	Spot (Block1, Row3, Column2)	1965.65	1925.00	190.07	0.01	0.10	1704.00	1744.25	1704.00	142.69	0.01	0.08	67.00	37.00	0.00	221.00	261.65	1774982.00	1.55	1795.85	1789.50
1	3	3	5473.00	3415.00	147.00	-50	Spot (Block1, Row3, Column3)	3136.18	2157.50	5697.57	0.16	1.82	1777.00	1787.55	1777.00	152.62	0.00	0.09	81.00	56.00	0.34	380.50	1359.18	1844075.00	8.84	1919.05	1899.50
1	4	3	5773.00	3413.00	139.25	0	Spot (Block1, Row3, Column4)	3931.25	3879.00	901.41	0.01	0.23	1794.00	1822.32	1794.00	158.61	0.01	0.09	100.00	100.00	0.00	2085.00	2137.25	2083563.00	13.30	2406.10	2377.00
1	5	3	6073.00	3417.00	147.00	-50	Spot (Block1, Row3, Column5)	3504.81	2388.00	6266.92	0.17	1.79	1879.00	1921.13	1879.00	289.65	0.01	0.15	83.00	38.00	0.34	509.00	1625.81	2067837.00	5.47	2085.66	1988.00
1	6	3	6382.00	3416.00	174.20	0	Spot (Block1, Row3, Column6)	27225.45	28289.00	7925.09	0.02	0.29	1921.00	2017.27	1921.00	397.95	0.02	0.20	100.00	100.00	0.00	26368.00	25304.45	22978276.00	63.34	8123.07	8175.00
1	7	3	6672.00	3440.00	147.30	0	Spot (Block1, Row3, Column7)	2317.62	2243.50	461.46	0.01	0.20	1907.00	1970.40	1907.00	287.55	0.01	0.15	53.00	28.00	0.00	336.50	410.62	1372034.00	1.21	2102.34	2003.50
1	8	3	6978.00	3422.00	150.70	0	Spot (Block1, Row3, Column8)	4283.66	4208.00	600.40	0.01	0.14	1890.00	1919.91	1890.00	207.28	0.01	0.11	100.00	100.00	0.00	2318.00	2393.66	2660151.00	11.40	2758.01	2713.50
1	1	4	4887.00	3710.00	148.80	0	Spot (Block1, Row4, Column1)	4360.23	4307.00	609.63	0.01	0.14	1722.00	1754.84	1722.00	149.37	0.01	0.09	100.00	100.00	0.00	2585.00	2638.23	2637938.00	17.44	2665.93	2671.00
1	2	4	5184.00	3721.00	154.95	0	Spot (Block1, Row4, Column2)	2177.48	2190.50	200.72	0.00	0.09	1714.00	1752.69	1714.00	156.38	0.01	0.09	95.00	74.00	0.00	476.50	463.48	1437138.00	2.72	1917.72	1908.00
