ATF	1.0
30	28
"Checksum_ImageFile=c12b7cc0446b4ae299cc5547f3abe711"
"Checksum_ResultFile=85793fffc040f805b8aec09223b4200e"
"Type=Mapix Results 2"
"DateTime=2021/04/15 20:26:55"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h26m42_5µm_785nmGain100.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h26m42_5µm_785nmGain100.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2610"
"JpegBrightness=42"
"JpegContrast=12"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=100"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4873.00	2812.00	157.95	0	Spot (Block1, Row1, Column1)	48203.60	48167.50	8872.16	0.00	0.18	2391.00	2467.38	2391.00	386.94	0.01	0.16	100.00	100.00	3.92	45776.50	45812.60	33164108.00	118.20	14750.20	13343.00
1	2	1	5173.00	2822.00	127.45	0	Spot (Block1, Row1, Column2)	4198.18	4170.00	506.24	0.00	0.12	2399.00	2444.20	2399.00	298.94	0.01	0.12	99.00	98.00	0.00	1771.00	1799.18	1830408.00	5.87	2991.51	2933.50
1	3	1	5479.00	2857.00	168.95	0	Spot (Block1, Row1, Column3)	2647.97	2600.50	263.65	0.01	0.10	2415.00	2438.18	2415.00	180.06	0.00	0.07	51.00	28.00	0.00	185.50	232.97	2102490.00	1.17	2595.77	2555.00
1	4	1	5772.00	2824.00	130.35	0	Spot (Block1, Row1, Column4)	3416.60	3377.00	349.07	0.01	0.10	2476.00	2494.83	2476.00	204.62	0.00	0.08	99.00	96.00	0.00	901.00	940.60	1551136.00	4.50	2840.12	2837.00
1	5	1	6075.00	2821.00	157.75	0	Spot (Block1, Row1, Column5)	3011.69	3004.00	287.94	0.00	0.10	2500.00	2530.51	2500.00	229.48	0.01	0.09	83.00	57.00	0.00	504.00	511.69	2059996.00	2.10	2646.35	2626.00
1	6	1	6373.00	2812.00	129.10	0	Spot (Block1, Row1, Column6)	6630.27	6447.50	1930.38	0.01	0.29	2499.00	2528.90	2499.00	223.00	0.01	0.09	100.00	100.00	0.00	3948.50	4131.27	2957100.00	18.39	3941.43	3595.50
1	7	1	6676.00	2826.00	139.50	0	Spot (Block1, Row1, Column7)	11510.21	11596.50	2936.49	0.00	0.26	2636.00	2719.21	2636.00	434.59	0.01	0.16	100.00	100.00	0.00	8960.50	8874.21	6077393.00	20.23	5358.18	5150.00
1	8	1	6966.00	2823.00	153.10	0	Spot (Block1, Row1, Column8)	64044.36	65535.00	5545.77	0.01	0.09	2727.00	2824.83	2727.00	543.12	0.02	0.19	100.00	100.00	91.76	62808.00	61317.36	41180896.00	112.72	19558.11	17245.00
1	1	2	4874.00	3115.00	147.00	-50	Spot (Block1, Row2, Column1)	2561.45	2528.00	169.97	0.01	0.07	2396.00	2436.51	2396.00	279.09	0.01	0.11	26.00	0.00	0.00	132.00	165.45	1518938.00	0.45	2523.99	2516.00
1	2	2	5175.00	3118.00	148.35	0	Spot (Block1, Row2, Column2)	3979.09	3925.00	490.31	0.01	0.12	2390.00	2402.83	2390.00	177.04	0.00	0.07	100.00	99.00	0.00	1535.00	1589.09	2387454.00	8.90	2871.00	2830.00
