ATF	1.0
30	28
"Checksum_ImageFile=2e9758666b86044a971473dd90b76cb7"
"Checksum_ResultFile=612533331e2ddf0de3b442ac7383b539"
"Type=Mapix Results 2"
"DateTime=2021/04/15 20:35:45"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h35m32_5µm_785nmGain000.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h35m32_5µm_785nmGain000.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4840, 3165"
"JpegBrightness=50"
"JpegContrast=100"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=0"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	5053.00	3370.00	147.00	-50	Spot (Block1, Row1, Column1)	51.27	50.00	7.13	0.01	0.14	50.00	49.81	50.00	9.74	0.00	0.20	15.00	0.00	0.00	0.00	1.27	30095.00	0.15	50.50	50.00
1	2	1	5353.00	3372.00	147.00	-50	Spot (Block1, Row1, Column2)	49.71	49.00	8.13	0.01	0.16	50.00	50.55	50.00	10.26	0.00	0.20	9.00	1.00	0.00	-1.00	-0.29	29525.00	-0.08	50.44	52.50
1	3	1	5653.00	3373.00	147.00	-50	Spot (Block1, Row1, Column3)	48.93	50.00	8.15	0.01	0.17	50.00	50.24	50.00	10.00	0.00	0.20	8.00	0.00	0.00	0.00	-1.07	28722.00	-0.13	49.83	51.00
1	4	1	5954.00	3375.00	147.00	-50	Spot (Block1, Row1, Column4)	52.98	53.00	9.30	0.00	0.18	48.00	48.86	48.00	9.92	0.01	0.20	34.00	5.00	0.00	5.00	4.98	31152.00	0.42	48.61	48.00
1	5	1	6254.00	3377.00	147.00	-50	Spot (Block1, Row1, Column5)	50.85	48.00	13.21	0.03	0.26	51.00	50.34	51.00	10.02	0.01	0.20	29.00	5.00	0.00	-3.00	-0.15	29953.00	0.05	54.27	57.00
1	6	1	6554.00	3379.00	147.00	-50	Spot (Block1, Row1, Column6)	52.31	52.00	9.12	0.00	0.17	52.00	52.30	52.00	9.94	0.00	0.19	17.00	0.00	0.00	0.00	0.31	30862.00	0.00	56.20	58.00
1	7	1	6855.00	3381.00	147.00	-50	Spot (Block1, Row1, Column7)	54.01	55.00	10.96	0.01	0.20	54.00	53.28	54.00	10.33	0.01	0.19	18.00	1.00	0.00	1.00	0.01	31919.00	0.07	53.47	56.50
1	8	1	7156.00	3446.00	91.70	0	Spot (Block1, Row1, Column8)	72.89	73.00	8.17	0.00	0.11	55.00	55.06	55.00	10.48	0.00	0.19	85.00	39.00	0.00	18.00	17.89	15234.00	1.70	62.66	63.00
1	1	2	5122.00	3687.00	132.05	0	Spot (Block1, Row2, Column1)	61.38	62.00	8.22	0.00	0.13	47.00	48.18	47.00	9.91	0.01	0.21	68.00	27.00	0.00	15.00	14.38	28726.00	1.33	54.29	55.00
1	2	2	5351.00	3672.00	147.00	-50	Spot (Block1, Row2, Column2)	44.42	43.00	9.45	0.01	0.21	50.00	50.12	50.00	9.64	0.00	0.19	4.00	0.00	0.00	-7.00	-5.58	26383.00	-0.59	45.88	48.50
1	3	2	5652.00	3673.00	147.00	-50	Spot (Block1, Row2, Column3)	51.06	50.00	8.77	0.01	0.17	50.00	50.15	50.00	9.24	0.00	0.18	17.00	3.00	0.00	0.00	1.06	30127.00	0.10	52.80	53.00
1	4	2	5952.00	3675.00	147.00	-50	Spot (Block1, Row2, Column4)	42.73	43.00	5.71	0.00	0.13	48.00	48.59	48.00	10.14	0.01	0.21	0.00	0.00	0.00	-5.00	-5.27	25210.00	-0.58	47.40	46.00
1	5	2	6252.00	3677.00	147.00	-50	Spot (Block1, Row2, Column5)	51.96	52.00	7.52	0.00	0.14	48.00	48.71	48.00	10.09	0.01	0.21	18.00	0.00	0.00	4.00	3.96	30919.00	0.32	51.40	52.00
1	6	2	6566.00	3695.00	209.70	0	Spot (Block1, Row2, Column6)	63.47	65.00	9.22	0.01	0.15	52.00	51.77	52.00	9.73	0.00	0.19	64.00	17.00	0.00	13.00	11.47	79523.00	1.20	56.33	57.00
1	7	2	6853.00	3681.00	147.00	-50	Spot (Block1, Row2, Column7)	57.76	59.00	8.35	0.01	0.14	51.00	51.36	51.00	9.16	0.00	0.18	45.00	4.00	0.00	8.00	6.76	33848.00	0.70	55.09	56.00
1	8	2	7072.00	3688.00	195.75	0	Spot (Block1, Row2, Column8)	58.16	58.00	8.48	0.00	0.15	52.00	51.96	52.00	9.95	0.00	0.19	37.00	5.00	0.00	6.00	6.16	63050.00	0.62	53.38	54.00
1	1	3	5049.00	3970.00	147.00	-50	Spot (Block1, Row3, Column1)	47.87	48.00	9.71	0.00	0.20	48.00	48.66	48.00	9.24	0.01	0.19	17.00	1.00	0.00	0.00	-0.13	28389.00	-0.08	48.77	49.00
1	2	3	5332.00	3972.00	101.00	0	Spot (Block1, Row3, Column2)	68.64	68.00	8.52	0.00	0.12	49.00	49.12	49.00	9.30	0.00	0.19	89.00	55.00	0.00	19.00	19.64	17573.00	2.10	59.99	61.00
1	3	3	5650.00	3973.00	147.00	-50	Spot (Block1, Row3, Column3)	52.38	52.00	12.13	0.00	0.23	48.00	48.27	48.00	9.12	0.00	0.19	39.00	14.00	0.00	4.00	4.38	30800.00	0.45	51.08	52.00
1	4	3	5989.00	3994.00	210.15	0	Spot (Block1, Row3, Column4)	53.94	55.00	10.87	0.01	0.20	47.00	48.93	47.00	10.74	0.02	0.22	40.00	8.00	0.00	8.00	6.94	67748.00	0.47	47.91	48.00
1	5	3	6237.00	3965.00	218.60	0	Spot (Block1, Row3, Column5)	58.27	61.00	10.56	0.02	0.18	50.00	50.76	50.00	10.57	0.01	0.21	50.00	6.00	0.00	11.00	8.27	79475.00	0.71	51.91	50.00
1	6	3	6551.00	3979.00	147.00	-50	Spot (Block1, Row3, Column6)	53.26	53.00	6.76	0.00	0.13	50.00	50.87	50.00	10.50	0.01	0.21	13.00	0.00	0.00	3.00	3.26	31314.00	0.23	49.36	49.00
1	7	3	6859.00	3971.00	229.55	0	Spot (Block1, Row3, Column7)	64.89	65.00	8.68	0.00	0.13	52.00	52.30	52.00	10.01	0.00	0.19	60.00	17.00	0.00	13.00	12.89	98499.00	1.26	55.53	56.00
1	8	3	7183.00	3956.00	256.20	0	Spot (Block1, Row3, Column8)	56.72	57.00	10.45	0.00	0.18	54.00	54.15	54.00	11.12	0.00	0.21	21.00	1.00	0.00	3.00	2.72	107987.00	0.23	49.54	49.00
1	1	4	5048.00	4270.00	147.00	-50	Spot (Block1, Row4, Column1)	52.11	54.00	10.29	0.02	0.20	50.00	49.95	50.00	9.70	0.00	0.19	28.00	2.00	0.00	4.00	2.11	30694.00	0.22	46.90	44.00
