ATF	1.0
30	28
"Checksum_ImageFile=4a1903213b97911b07dbbc77c1409952"
"Checksum_ResultFile=5629b7a1ef2af989f5dfc219939ff587"
"Type=Mapix Results 2"
"DateTime=2021/04/15 20:43:41"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h43m29_5µm_785nmGain001.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h43m29_5µm_785nmGain001.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4835, 2575"
"JpegBrightness=49"
"JpegContrast=43"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=1"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	5039.00	2767.00	154.75	0	Spot (Block1, Row1, Column1)	4419.17	3805.00	2500.63	0.06	0.57	61.00	63.87	61.00	22.71	0.02	0.36	100.00	100.00	0.00	3744.00	4358.17	2898975.00	191.80	820.77	649.50
1	2	1	5349.00	2780.00	147.00	-50	Spot (Block1, Row1, Column2)	60.67	61.00	11.80	0.00	0.19	55.00	57.64	55.00	18.18	0.02	0.32	13.00	0.00	0.00	6.00	5.67	35676.00	0.17	54.95	52.00
1	3	1	5649.00	2782.00	147.00	-50	Spot (Block1, Row1, Column3)	52.88	53.00	7.23	0.00	0.14	52.00	52.70	52.00	10.56	0.01	0.20	10.00	0.00	0.00	1.00	0.88	31147.00	0.02	53.20	52.00
1	4	1	5949.00	2784.00	147.00	-50	Spot (Block1, Row1, Column4)	51.26	52.00	9.88	0.01	0.19	55.00	54.25	55.00	11.13	0.01	0.21	3.00	0.00	0.00	-3.00	-3.74	30191.00	-0.27	51.89	56.00
1	5	1	6249.00	2786.00	147.00	-50	Spot (Block1, Row1, Column5)	59.26	60.00	9.05	0.01	0.15	58.00	56.57	58.00	11.52	0.01	0.20	11.00	0.00	0.00	2.00	1.26	34905.00	0.23	56.76	56.00
1	6	1	6550.00	2788.00	147.00	-50	Spot (Block1, Row1, Column6)	68.64	68.00	6.71	0.00	0.10	62.00	60.41	62.00	11.60	0.01	0.19	23.00	1.00	0.00	6.00	6.64	40499.00	0.71	62.28	62.00
1	7	1	6850.00	2790.00	147.00	-50	Spot (Block1, Row1, Column7)	78.06	79.00	9.69	0.01	0.12	67.00	72.50	67.00	34.91	0.03	0.48	0.00	0.00	0.00	12.00	11.06	45897.00	0.16	71.10	71.00
1	8	1	7128.00	2785.00	148.60	0	Spot (Block1, Row1, Column8)	14015.76	12897.00	7245.77	0.04	0.52	84.00	93.20	84.00	49.53	0.05	0.53	100.00	100.00	0.00	12813.00	13931.76	8451505.00	281.10	2432.36	1786.00
1	1	2	5047.00	3078.00	147.00	-50	Spot (Block1, Row2, Column1)	55.74	56.00	8.81	0.00	0.16	59.00	60.50	59.00	15.88	0.01	0.26	0.00	0.00	0.00	-3.00	-3.26	32941.00	-0.30	54.98	57.00
1	2	2	5347.00	3080.00	147.00	-50	Spot (Block1, Row2, Column2)	54.82	56.00	12.22	0.01	0.22	54.00	53.87	54.00	10.74	0.00	0.20	25.00	3.00	0.00	2.00	0.82	32290.00	0.09	53.24	53.00
1	3	2	5583.00	3127.00	192.55	0	Spot (Block1, Row2, Column3)	58.94	59.00	8.98	0.00	0.15	51.00	51.53	51.00	10.29	0.00	0.20	37.00	8.00	0.00	8.00	7.94	61537.00	0.72	53.38	54.00
1	4	2	5947.00	3084.00	147.00	-50	Spot (Block1, Row2, Column4)	55.50	55.00	10.06	0.00	0.18	53.00	52.67	53.00	9.77	0.00	0.19	27.00	4.00	0.00	2.00	2.50	32576.00	0.29	59.56	61.00
1	5	2	6248.00	3086.00	147.00	-50	Spot (Block1, Row2, Column5)	56.51	56.00	11.45	0.00	0.20	58.00	57.36	58.00	10.23	0.00	0.18	19.00	0.00	0.00	-2.00	-1.49	33341.00	-0.08	57.58	57.00
1	6	2	6548.00	3088.00	147.00	-50	Spot (Block1, Row2, Column6)	55.59	57.00	7.57	0.01	0.14	61.00	59.47	61.00	10.62	0.01	0.18	0.00	0.00	0.00	-4.00	-5.41	32632.00	-0.36	53.75	54.00
1	7	2	6848.00	3090.00	147.00	-50	Spot (Block1, Row2, Column7)	69.22	69.00	8.92	0.00	0.13	65.00	64.94	65.00	14.17	0.00	0.22	10.00	0.00	0.00	4.00	4.22	40564.00	0.30	72.56	72.00
1	8	2	7148.00	3093.00	147.00	-50	Spot (Block1, Row2, Column8)	73.77	74.00	6.81	0.00	0.09	80.00	84.88	80.00	36.95	0.03	0.44	0.00	0.00	0.00	-6.00	-6.23	43526.00	-0.30	77.80	79.00
1	1	3	5045.00	3378.00	147.00	-50	Spot (Block1, Row3, Column1)	54.20	55.00	7.17	0.01	0.13	55.00	54.65	55.00	10.18	0.00	0.19	5.00	0.00	0.00	0.00	-0.80	31923.00	-0.04	50.28	49.00
1	2	3	5345.00	3380.00	147.00	-50	Spot (Block1, Row3, Column2)	54.96	56.00	8.40	0.01	0.15	53.00	53.15	53.00	10.05	0.00	0.19	16.00	0.00	0.00	3.00	1.96	32370.00	0.18	49.41	49.00
1	3	3	5646.00	3382.00	147.00	-50	Spot (Block1, Row3, Column3)	60.18	61.00	8.37	0.01	0.14	53.00	52.49	53.00	9.80	0.00	0.19	46.00	4.00	0.00	8.00	7.18	35565.00	0.78	56.09	56.00
