ATF	1.0
30	28
"Checksum_ImageFile=305166fcc77b8eb01acc7c832af28c0f"
"Checksum_ResultFile=b7184e54ac5377cafca53c8a35be6fa6"
"Type=Mapix Results 2"
"DateTime=2021/04/15 20:51:38"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h51m26_5µm_785nmGain005.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h51m26_5µm_785nmGain005.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4835, 2570"
"JpegBrightness=49"
"JpegContrast=30"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=5"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	5039.00	2768.00	154.70	0	Spot (Block1, Row1, Column1)	10027.99	8582.00	5804.25	0.07	0.58	71.00	79.44	71.00	39.50	0.05	0.50	100.00	100.00	0.00	8511.00	9956.99	6608447.00	251.89	1631.88	1178.00
1	2	1	5350.00	2777.00	147.00	-50	Spot (Block1, Row1, Column2)	65.31	65.00	9.77	0.00	0.15	64.00	68.62	64.00	29.11	0.03	0.42	0.00	0.00	0.00	1.00	1.31	38470.00	-0.11	62.38	63.00
1	3	1	5651.00	2779.00	147.00	-50	Spot (Block1, Row1, Column3)	59.23	62.00	10.54	0.02	0.18	60.00	59.34	60.00	9.65	0.00	0.16	13.00	0.00	0.00	2.00	-0.77	34829.00	-0.01	51.16	49.00
1	4	1	5951.00	2781.00	147.00	-50	Spot (Block1, Row1, Column4)	72.16	72.00	7.83	0.00	0.11	63.00	62.69	63.00	9.92	0.00	0.16	47.00	9.00	0.00	9.00	9.16	42503.00	0.95	68.46	69.00
1	5	1	6251.00	2783.00	147.00	-50	Spot (Block1, Row1, Column5)	72.51	73.00	8.13	0.00	0.11	67.00	66.94	67.00	9.89	0.00	0.15	30.00	3.00	0.00	6.00	5.51	42633.00	0.56	67.19	67.00
1	6	1	6552.00	2785.00	147.00	-50	Spot (Block1, Row1, Column6)	86.83	86.00	10.07	0.00	0.12	74.00	74.25	74.00	12.18	0.00	0.16	49.00	13.00	0.00	12.00	12.83	51314.00	1.03	79.44	80.00
1	7	1	6852.00	2787.00	147.00	-50	Spot (Block1, Row1, Column7)	93.94	95.00	11.94	0.00	0.13	88.00	103.33	88.00	71.32	0.07	0.69	0.00	0.00	0.00	7.00	5.94	55897.00	-0.13	91.58	89.00
1	8	1	7128.00	2786.00	148.80	0	Spot (Block1, Row1, Column8)	31574.94	29144.00	16942.34	0.03	0.54	128.00	149.66	128.00	105.04	0.07	0.70	100.00	100.00	2.31	29016.00	31446.94	19166004.00	299.16	5261.44	4019.50
1	1	2	5048.00	3076.00	147.00	-50	Spot (Block1, Row2, Column1)	69.86	70.00	7.70	0.00	0.11	69.00	73.42	69.00	23.53	0.03	0.32	0.00	0.00	0.00	1.00	0.86	41008.00	-0.15	66.29	66.00
1	2	2	5349.00	3078.00	147.00	-50	Spot (Block1, Row2, Column2)	54.42	58.00	11.52	0.03	0.21	63.00	63.30	63.00	10.68	0.00	0.17	1.00	0.00	0.00	-5.00	-8.58	32164.00	-0.83	63.14	64.00
1	3	2	5649.00	3080.00	147.00	-50	Spot (Block1, Row2, Column3)	51.78	52.00	7.55	0.00	0.15	61.00	60.46	61.00	9.37	0.00	0.15	0.00	0.00	0.00	-9.00	-9.22	30548.00	-0.93	54.92	56.00
1	4	2	5949.00	3082.00	147.00	-50	Spot (Block1, Row2, Column4)	63.91	64.00	11.61	0.00	0.18	63.00	62.47	63.00	9.52	0.00	0.15	24.00	6.00	0.00	1.00	0.91	37517.00	0.15	65.34	67.00
1	5	2	6269.00	3075.00	164.45	0	Spot (Block1, Row2, Column5)	84.61	84.00	10.36	0.00	0.12	66.00	65.57	66.00	9.62	0.00	0.15	82.00	43.00	0.00	18.00	18.61	63539.00	1.98	74.78	75.00
1	6	2	6550.00	3086.00	147.00	-50	Spot (Block1, Row2, Column6)	78.84	78.00	11.43	0.00	0.15	72.00	72.61	72.00	11.26	0.00	0.16	34.00	10.00	0.00	6.00	6.84	46358.00	0.55	73.24	74.00
1	7	2	6850.00	3088.00	147.00	-50	Spot (Block1, Row2, Column7)	93.94	94.00	7.66	0.00	0.08	90.00	92.93	90.00	22.49	0.01	0.24	0.00	0.00	0.00	4.00	3.94	55330.00	0.04	93.99	95.00
1	8	2	7150.00	3090.00	147.00	-50	Spot (Block1, Row2, Column8)	116.80	116.00	10.72	0.00	0.09	120.00	133.69	120.00	73.09	0.05	0.55	0.00	0.00	0.00	-4.00	-3.20	68676.00	-0.23	124.02	122.00
