ATF	1.0
30	28
"Checksum_ImageFile=f816aa97ce12a8a1cf8e04bc9008684c"
"Checksum_ResultFile=c2f2bc3cb6d286f4d90c9ce03174fd75"
"Type=Mapix Results 2"
"DateTime=2021/04/15 20:59:35"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h59m23_785nmGain010.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_20h59m23_785nmGain010.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4825, 2570"
"JpegBrightness=49"
"JpegContrast=23"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	5039.00	2769.00	155.60	0	Spot (Block1, Row1, Column1)	14905.62	13070.00	8847.38	0.06	0.59	77.00	90.13	77.00	52.53	0.07	0.58	100.00	100.00	0.00	12993.00	14828.62	9942047.00	282.06	2170.29	1738.00
1	2	1	5372.00	2780.00	120.95	0	Spot (Block1, Row1, Column2)	87.67	89.00	12.65	0.01	0.14	69.00	74.10	69.00	36.09	0.03	0.49	6.00	0.00	0.00	20.00	18.67	34192.00	0.38	77.38	75.00
1	3	1	5641.00	2777.00	147.00	-50	Spot (Block1, Row1, Column3)	70.54	72.00	10.30	0.01	0.15	67.00	67.55	67.00	10.79	0.00	0.16	26.00	0.00	0.00	5.00	3.54	41616.00	0.28	71.67	73.00
1	4	1	5905.00	2755.00	183.35	0	Spot (Block1, Row1, Column4)	78.67	79.00	9.10	0.00	0.12	68.00	68.56	68.00	11.40	0.00	0.17	48.00	9.00	0.00	11.00	10.67	74661.00	0.89	72.30	72.00
1	5	1	6181.00	2750.00	279.65	0	Spot (Block1, Row1, Column5)	81.15	82.00	9.75	0.00	0.12	75.00	75.02	75.00	11.47	0.00	0.15	29.00	3.00	0.00	7.00	6.15	184708.00	0.53	77.18	77.00
1	6	1	6518.00	2806.00	165.60	0	Spot (Block1, Row1, Column6)	111.32	112.00	14.91	0.00	0.13	86.00	86.79	86.00	13.32	0.00	0.15	78.00	47.00	0.00	26.00	25.32	84489.00	1.84	92.01	93.00
1	7	1	6842.00	2785.00	147.00	-50	Spot (Block1, Row1, Column7)	127.82	125.00	17.10	0.01	0.13	110.00	130.00	110.00	100.82	0.07	0.78	0.00	0.00	0.00	15.00	17.82	75156.00	-0.02	112.60	115.00
1	8	1	7128.00	2786.00	149.75	0	Spot (Block1, Row1, Column8)	42887.36	44177.00	19294.22	0.01	0.45	176.00	200.90	176.00	146.50	0.06	0.73	100.00	100.00	27.15	44001.00	42711.36	26375872.00	291.38	7633.66	5734.00
1	1	2	5039.00	3073.00	147.00	-50	Spot (Block1, Row2, Column1)	77.51	76.00	9.54	0.01	0.12	77.00	84.23	77.00	34.36	0.04	0.41	0.00	0.00	0.00	-1.00	0.51	45499.00	-0.20	81.36	81.50
1	2	2	5339.00	3075.00	147.00	-50	Spot (Block1, Row2, Column2)	68.19	69.00	12.76	0.01	0.19	68.00	68.40	68.00	13.71	0.00	0.20	13.00	1.00	0.00	1.00	0.19	40165.00	-0.01	69.33	69.00
