ATF	1.0
30	28
"Checksum_ImageFile=a0059d6681ea688364ce9c39d11c3638"
"Checksum_ResultFile=d386e1648faeec5c5525b1206065b10e"
"Type=Mapix Results 2"
"DateTime=2021/04/15 21:07:31"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_21h07m20_785nmGain020.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_21h07m20_785nmGain020.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4830, 2570"
"JpegBrightness=48"
"JpegContrast=17"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=20"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	5039.00	2769.00	156.20	0	Spot (Block1, Row1, Column1)	25488.20	22555.00	15115.40	0.05	0.59	101.00	123.74	101.00	80.93	0.09	0.65	100.00	100.00	0.45	22454.00	25387.20	17051608.00	313.43	3774.21	2916.00
1	2	1	5347.00	2774.00	102.40	0	Spot (Block1, Row1, Column2)	128.17	115.00	91.30	0.05	0.71	87.00	100.98	87.00	59.68	0.06	0.59	4.00	2.00	0.00	28.00	41.17	34350.00	0.46	105.71	106.50
1	3	1	5646.00	2776.00	147.00	-50	Spot (Block1, Row1, Column3)	85.41	86.00	10.39	0.00	0.12	83.00	82.94	83.00	10.07	0.00	0.12	23.00	1.00	0.00	3.00	2.41	50222.00	0.25	87.97	88.50
1	4	1	5944.00	2721.00	282.90	0	Spot (Block1, Row1, Column4)	96.56	96.00	11.86	0.00	0.12	87.00	88.43	87.00	13.69	0.01	0.15	37.00	7.00	0.00	9.00	9.56	226147.00	0.59	88.91	88.00
1	5	1	6246.00	2780.00	147.00	-50	Spot (Block1, Row1, Column5)	110.59	110.00	10.49	0.00	0.09	103.00	103.61	103.00	14.90	0.00	0.14	26.00	1.00	0.00	7.00	7.59	65360.00	0.47	108.90	109.00
1	6	1	6519.00	2818.00	121.00	0	Spot (Block1, Row1, Column6)	167.31	173.00	24.41	0.01	0.15	114.00	118.11	114.00	19.79	0.02	0.17	83.00	75.00	0.00	59.00	53.31	64749.00	2.49	142.21	137.00
1	7	1	6847.00	2784.00	147.00	-50	Spot (Block1, Row1, Column7)	194.91	197.00	15.74	0.00	0.08	164.00	188.87	164.00	156.05	0.06	0.83	0.00	0.00	0.00	33.00	30.91	114610.00	0.04	173.51	176.50
1	8	1	7128.00	2786.00	152.70	0	Spot (Block1, Row1, Column8)	53203.36	65535.00	15797.45	0.09	0.30	249.00	300.44	249.00	225.93	0.08	0.75	100.00	100.00	52.11	65286.00	52954.36	33997208.00	234.16	9177.75	7588.50
1	1	2	5044.00	3072.00	147.00	-50	Spot (Block1, Row2, Column1)	110.07	109.00	14.75	0.00	0.13	103.00	114.05	103.00	50.49	0.04	0.44	1.00	0.00	0.00	6.00	7.07	64721.00	-0.08	118.05	113.00
1	2	2	5344.00	3074.00	147.00	-50	Spot (Block1, Row2, Column2)	85.19	87.00	9.88	0.01	0.12	87.00	90.78	87.00	17.65	0.02	0.19	1.00	0.00	0.00	0.00	-1.81	50265.00	-0.32	81.32	81.50
1	3	2	5644.00	3076.00	147.00	-50	Spot (Block1, Row2, Column3)	80.56	80.00	8.33	0.00	0.10	81.00	81.85	81.00	9.93	0.00	0.12	12.00	0.00	0.00	-1.00	-0.44	47451.00	-0.13	76.03	76.00
1	4	2	5944.00	3078.00	147.00	-50	Spot (Block1, Row2, Column4)	90.48	90.00	8.28	0.00	0.09	85.00	85.87	85.00	11.64	0.00	0.14	24.00	1.00	0.00	5.00	5.48	53382.00	0.40	87.34	88.00
1	5	2	6240.00	3072.00	183.25	0	Spot (Block1, Row2, Column5)	130.10	129.00	15.90	0.00	0.12	98.00	98.46	98.00	13.75	0.00	0.14	88.00	60.00	0.00	31.00	32.10	122550.00	2.30	112.33	111.50
1	6	2	6545.00	3082.00	147.00	-50	Spot (Block1, Row2, Column6)	109.14	107.00	10.46	0.01	0.10	116.00	118.95	116.00	20.21	0.01	0.17	0.00	0.00	0.00	-9.00	-6.86	64284.00	-0.49	114.03	113.00
1	7	2	6845.00	3084.00	147.00	-50	Spot (Block1, Row2, Column7)	159.16	159.00	18.04	0.00	0.11	155.00	163.67	155.00	47.99	0.02	0.29	0.00	0.00	0.00	4.00	4.16	93584.00	-0.09	155.95	153.00
1	8	2	7146.00	3086.00	147.00	-50	Spot (Block1, Row2, Column8)	222.35	220.00	23.93	0.00	0.11	227.00	265.54	227.00	164.65	0.07	0.62	0.00	0.00	0.00	-7.00	-4.65	130519.00	-0.26	227.03	225.50
1	1	3	5042.00	3373.00	147.00	-50	Spot (Block1, Row3, Column1)	99.79	95.00	16.10	0.02	0.16	94.00	94.92	94.00	40.03	0.00	0.42	4.00	0.00	0.00	1.00	5.79	59273.00	0.12	93.87	92.00
