ATF	1.0
30	28
"Checksum_ImageFile=cb57011a3fd0f6f7215d3493b3bd7986"
"Checksum_ResultFile=dd9565a685a838b02c0678c233085d2f"
"Type=Mapix Results 2"
"DateTime=2021/04/15 21:15:29"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_21h15m16_5µm_785nmGain025.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_21h15m16_5µm_785nmGain025.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4835, 2565"
"JpegBrightness=47"
"JpegContrast=15"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=25"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	5039.00	2769.00	156.35	0	Spot (Block1, Row1, Column1)	29867.12	25672.00	17507.50	0.07	0.59	107.00	136.04	107.00	107.54	0.10	0.79	100.00	100.00	3.28	25565.00	29760.12	20040868.00	276.45	4486.03	3733.00
1	2	1	5373.00	2754.00	142.15	0	Spot (Block1, Row1, Column2)	128.00	114.00	117.50	0.05	0.92	92.00	105.09	92.00	69.39	0.06	0.66	3.00	1.00	0.00	22.00	36.00	70529.00	0.33	103.52	104.00
1	3	1	5679.00	2725.00	187.80	0	Spot (Block1, Row1, Column3)	112.84	112.00	13.97	0.00	0.12	91.00	92.10	91.00	12.07	0.01	0.13	74.00	39.00	0.00	21.00	21.84	111600.00	1.72	95.85	96.00
1	4	1	5949.00	2774.00	147.00	-50	Spot (Block1, Row1, Column4)	109.81	110.00	10.13	0.00	0.09	98.00	98.05	98.00	12.12	0.00	0.12	47.00	9.00	0.00	12.00	11.81	65118.00	0.97	104.56	105.00
1	5	1	6235.00	2744.00	292.30	0	Spot (Block1, Row1, Column5)	117.21	116.00	13.84	0.00	0.12	106.00	106.09	106.00	13.51	0.00	0.13	40.00	10.00	0.00	10.00	11.21	293618.00	0.82	109.63	111.00
1	6	1	6536.00	2769.00	270.25	0	Spot (Block1, Row1, Column6)	150.85	146.00	26.49	0.01	0.18	126.00	133.92	126.00	26.31	0.03	0.20	43.00	21.00	0.00	20.00	24.85	320551.00	0.64	133.83	127.00
1	7	1	6850.00	2780.00	147.00	-50	Spot (Block1, Row1, Column7)	212.02	207.00	25.70	0.01	0.12	182.00	223.46	182.00	195.18	0.09	0.87	0.00	0.00	0.00	25.00	30.02	125089.00	-0.06	183.16	183.00
1	8	1	7129.00	2786.00	153.55	0	Spot (Block1, Row1, Column8)	55654.50	65535.00	14292.79	0.07	0.26	293.00	345.76	293.00	249.80	0.07	0.72	100.00	100.00	57.87	65242.00	55361.50	36064412.00	221.41	9825.60	7717.00
1	1	2	5047.00	3068.00	147.00	-50	Spot (Block1, Row2, Column1)	115.25	115.00	10.44	0.00	0.09	110.00	124.11	110.00	70.16	0.05	0.57	0.00	0.00	0.00	5.00	5.25	68110.00	-0.13	119.87	120.00
1	2	2	5347.00	3070.00	147.00	-50	Spot (Block1, Row2, Column2)	91.47	91.00	10.93	0.00	0.12	93.00	96.83	93.00	20.29	0.02	0.21	1.00	0.00	0.00	-2.00	-1.53	53967.00	-0.26	83.37	84.00
