ATF	1.0
30	28
"Checksum_ImageFile=e06fe634b70d3bb54e18392847e1c56e"
"Checksum_ResultFile=e69ea0e495e625edf217926b312edb79"
"Type=Mapix Results 2"
"DateTime=2021/04/15 21:23:26"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_21h23m14_5µm_785nmGain050.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_21h23m14_5µm_785nmGain050.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4835, 2570"
"JpegBrightness=46"
"JpegContrast=11"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=50"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	5040.00	2768.00	158.50	0	Spot (Block1, Row1, Column1)	44133.67	45320.50	19752.73	0.01	0.45	166.00	218.43	166.00	197.10	0.12	0.90	100.00	100.00	33.91	45154.50	43967.67	30452440.00	222.81	7071.66	5618.00
1	2	1	5368.00	2755.00	137.55	0	Spot (Block1, Row1, Column2)	192.56	171.00	156.56	0.05	0.81	136.00	164.49	136.00	136.17	0.08	0.83	2.00	1.00	0.00	35.00	56.56	97822.00	0.21	159.12	158.00
1	3	1	5689.00	2744.00	145.00	0	Spot (Block1, Row1, Column3)	178.93	177.00	30.83	0.00	0.17	132.00	134.57	132.00	16.71	0.01	0.12	91.00	73.00	0.00	45.00	46.93	102703.00	2.65	153.70	157.50
1	4	1	6003.00	2773.00	122.45	0	Spot (Block1, Row1, Column4)	172.39	175.00	19.96	0.01	0.12	146.00	148.45	146.00	21.67	0.01	0.15	67.00	18.00	0.00	29.00	26.39	68093.00	1.10	164.23	164.00
1	5	1	6249.00	2783.00	147.00	-50	Spot (Block1, Row1, Column5)	181.97	183.00	14.02	0.00	0.08	173.00	172.33	173.00	24.91	0.00	0.14	12.00	0.00	0.00	10.00	8.97	107547.00	0.39	188.17	193.00
1	6	1	6533.00	2793.00	200.70	0	Spot (Block1, Row1, Column6)	254.22	254.00	26.65	0.00	0.10	207.00	211.25	207.00	31.94	0.01	0.15	68.00	30.00	0.00	47.00	47.22	289559.00	1.35	216.51	214.00
1	7	1	6849.00	2787.00	147.00	-50	Spot (Block1, Row1, Column7)	372.62	379.00	60.54	0.01	0.16	290.00	355.42	290.00	295.75	0.09	0.83	0.00	0.00	0.00	89.00	82.62	218727.00	0.06	294.78	290.00
1	8	1	7130.00	2786.00	157.55	0	Spot (Block1, Row1, Column8)	62542.78	65535.00	7576.87	0.02	0.12	492.00	580.44	492.00	401.93	0.07	0.69	100.00	100.00	79.94	65043.00	62050.78	42717112.00	154.16	13228.23	10516.00
1	1	2	5046.00	3075.00	147.00	-50	Spot (Block1, Row2, Column1)	186.59	185.00	19.11	0.00	0.10	171.00	195.41	171.00	116.51	0.06	0.60	0.00	0.00	0.00	14.00	15.59	110088.00	-0.08	198.32	194.00
1	2	2	5346.00	3077.00	147.00	-50	Spot (Block1, Row2, Column2)	127.71	127.00	10.43	0.00	0.08	133.00	144.93	133.00	36.49	0.04	0.25	0.00	0.00	0.00	-6.00	-5.29	75861.00	-0.47	128.94	129.00
