ATF	1.0
30	28
"Checksum_ImageFile=97c3cdc985a92f420d8f2f65edc2e6a8"
"Checksum_ResultFile=db69cb2e6f2af237bf529558efab8aa8"
"Type=Mapix Results 2"
"DateTime=2021/04/15 21:31:25"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_21h31m12_5µm_785nmGain075.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_21h31m12_5µm_785nmGain075.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4835, 2565"
"JpegBrightness=45"
"JpegContrast=11"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=75"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	5040.00	2768.00	161.65	0	Spot (Block1, Row1, Column1)	48770.84	56173.00	18072.96	0.06	0.37	220.00	294.42	220.00	249.59	0.13	0.85	100.00	100.00	43.49	55953.00	48550.84	35212824.00	194.22	7896.56	6813.00
1	2	1	5372.00	2744.00	131.55	0	Spot (Block1, Row1, Column2)	271.38	237.00	242.87	0.06	0.89	192.00	223.07	192.00	159.75	0.07	0.72	3.00	3.00	0.00	45.00	79.38	125921.00	0.30	210.39	212.00
1	3	1	5700.00	2734.00	174.95	0	Spot (Block1, Row1, Column3)	215.05	213.00	20.68	0.00	0.10	187.00	187.20	187.00	17.45	0.00	0.09	71.00	25.00	0.00	26.00	28.05	184511.00	1.60	199.54	202.00
1	4	1	5921.00	2745.00	208.20	0	Spot (Block1, Row1, Column4)	221.75	222.00	13.39	0.00	0.06	196.00	196.13	196.00	19.45	0.00	0.10	65.00	18.00	0.00	26.00	25.75	273413.00	1.32	209.41	208.00
1	5	1	6269.00	2761.00	207.95	0	Spot (Block1, Row1, Column5)	268.96	267.00	20.33	0.00	0.08	226.00	231.80	226.00	33.62	0.01	0.15	65.00	13.00	0.00	41.00	42.96	331095.00	1.11	254.79	254.00
1	6	1	6554.00	2788.00	187.80	0	Spot (Block1, Row1, Column6)	355.82	357.50	43.57	0.00	0.12	288.00	287.47	288.00	42.36	0.00	0.15	72.00	37.00	0.00	69.50	67.82	352976.00	1.61	304.36	302.00
1	7	1	6849.00	2781.00	147.00	-50	Spot (Block1, Row1, Column7)	493.88	496.00	63.44	0.00	0.13	388.00	468.68	388.00	334.31	0.08	0.71	0.00	0.00	0.00	108.00	105.88	289907.00	0.08	425.37	426.00
1	8	1	7130.00	2786.00	161.90	0	Spot (Block1, Row1, Column8)	63025.52	65535.00	8169.99	0.02	0.13	660.00	769.59	660.00	475.85	0.07	0.62	100.00	100.00	87.74	64875.00	62365.52	45756968.00	130.83	13601.54	12253.00
1	1	2	5046.00	3069.00	147.00	-50	Spot (Block1, Row2, Column1)	250.78	247.50	29.16	0.01	0.12	228.00	267.39	228.00	162.74	0.07	0.61	0.00	0.00	0.00	19.50	22.78	147461.00	-0.10	243.80	236.00
1	2	2	5346.00	3071.00	147.00	-50	Spot (Block1, Row2, Column2)	191.09	192.00	16.11	0.00	0.08	188.00	202.59	188.00	48.77	0.03	0.24	0.00	0.00	0.00	4.00	3.09	112743.00	-0.24	184.38	185.00
1	3	2	5647.00	3073.00	147.00	-50	Spot (Block1, Row2, Column3)	189.57	191.00	9.99	0.00	0.05	182.00	182.61	182.00	15.65	0.00	0.09	24.00	0.00	0.00	9.00	7.57	112037.00	0.45	182.32	182.00
1	4	2	5947.00	3075.00	147.00	-50	Spot (Block1, Row2, Column4)	198.15	198.00	13.10	0.00	0.07	192.00	192.24	192.00	20.03	0.00	0.10	15.00	0.00	0.00	6.00	6.15	116712.00	0.30	191.96	191.00
