ATF	1.0
30	28
"Checksum_ImageFile=7c14648f3ff1dac8efef38a34a8c93c6"
"Checksum_ResultFile=f618d64873db74af8ecf68866470c60a"
"Type=Mapix Results 2"
"DateTime=2021/04/15 21:39:22"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_21h39m10_5µm_785nmGain100.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0134_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_21h39m10_5µm_785nmGain100.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4835, 2570"
"JpegBrightness=44"
"JpegContrast=12"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=100"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	5041.00	2769.00	165.20	0	Spot (Block1, Row1, Column1)	52287.40	65535.00	16466.56	0.10	0.31	389.00	471.00	389.00	287.38	0.08	0.61	100.00	100.00	51.32	65146.00	51898.40	39738772.00	180.30	8717.36	7606.00
1	2	1	5383.00	2768.00	139.50	0	Spot (Block1, Row1, Column2)	431.76	389.00	262.97	0.05	0.61	332.00	374.94	332.00	198.93	0.05	0.53	4.00	2.00	0.00	57.00	99.76	228402.00	0.29	371.91	371.00
1	3	1	5661.00	2728.00	220.85	0	Spot (Block1, Row1, Column3)	381.23	378.00	54.02	0.00	0.14	326.00	329.75	326.00	27.86	0.00	0.08	76.00	45.00	0.00	52.00	55.23	532192.00	1.85	344.93	339.00
1	4	1	5930.00	2737.00	211.10	0	Spot (Block1, Row1, Column4)	389.17	388.00	36.63	0.00	0.09	350.00	354.38	350.00	32.43	0.01	0.09	58.00	15.00	0.00	38.00	39.17	491914.00	1.07	370.90	370.00
1	5	1	6302.00	2817.00	234.60	0	Spot (Block1, Row1, Column5)	450.84	452.00	30.77	0.00	0.07	401.00	407.09	401.00	47.48	0.01	0.12	52.00	4.00	0.00	51.00	49.84	708720.00	0.92	431.22	427.50
1	6	1	6548.00	2794.00	155.45	0	Spot (Block1, Row1, Column6)	554.77	542.00	60.69	0.01	0.11	488.00	482.19	488.00	60.44	0.01	0.13	47.00	13.00	0.00	54.00	66.77	369478.00	1.20	501.80	500.00
1	7	1	6852.00	2785.00	147.00	-50	Spot (Block1, Row1, Column7)	734.61	713.00	104.99	0.01	0.14	593.00	701.65	593.00	401.92	0.07	0.57	0.00	0.00	0.00	120.00	141.61	432686.00	0.08	627.78	614.00
1	8	1	7132.00	2787.00	167.00	0	Spot (Block1, Row1, Column8)	62516.90	65535.00	9153.84	0.02	0.15	949.00	1086.35	949.00	582.92	0.06	0.54	100.00	100.00	87.56	64586.00	61567.90	48763668.00	105.38	14371.59	12762.00
1	1	2	5048.00	3073.00	147.00	-50	Spot (Block1, Row2, Column1)	429.04	420.00	43.14	0.01	0.10	395.00	438.53	395.00	190.89	0.05	0.44	0.00	0.00	0.00	25.00	34.04	253133.00	-0.05	430.64	405.00
1	2	2	5348.00	3075.00	147.00	-50	Spot (Block1, Row2, Column2)	343.76	342.00	20.14	0.00	0.06	339.00	355.01	339.00	60.48	0.02	0.17	0.00	0.00	0.00	3.00	4.76	201788.00	-0.19	341.44	338.00
