ATF	1.0
30	28
"Checksum_ImageFile=f55930696495f26571a329eed837338b"
"Checksum_ResultFile=9c07e405c5556ca72a37f555498846c5"
"Type=Mapix Results 2"
"DateTime=2021/05/03 11:12:06"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h11m59_785nmGain000.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h11m59_785nmGain000.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4770, 2685"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=24.5"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=0"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4987.00	2885.00	150.60	0	Spot (Block1, Row1, Column1)	1280.14	1180.50	540.57	0.04	0.42	69.00	70.12	69.00	12.83	0.01	0.18	100.00	100.00	0.00	1111.50	1211.14	796249.00	94.31	340.09	264.00
1	2	1	5291.00	2886.00	179.10	0	Spot (Block1, Row1, Column2)	98.60	100.00	11.43	0.01	0.12	69.00	69.61	69.00	11.21	0.00	0.16	92.00	73.00	0.00	31.00	29.60	88739.00	2.58	76.47	76.00
1	3	1	5584.00	2889.00	147.00	-50	Spot (Block1, Row1, Column3)	88.29	87.00	10.69	0.01	0.12	69.00	69.26	69.00	8.90	0.00	0.13	86.00	53.00	0.00	18.00	19.29	52004.00	2.14	80.55	81.00
1	4	1	5888.00	2888.00	172.35	0	Spot (Block1, Row1, Column4)	100.19	99.00	13.03	0.01	0.13	72.00	71.95	72.00	8.91	0.00	0.12	94.00	79.00	0.00	27.00	28.19	82653.00	3.17	82.37	81.00
1	5	1	6189.00	2894.00	167.25	0	Spot (Block1, Row1, Column5)	101.67	101.00	12.08	0.00	0.12	72.00	72.45	72.00	9.53	0.00	0.13	95.00	78.00	0.00	29.00	29.67	79103.00	3.06	83.00	83.00
1	6	1	6472.00	2883.00	174.75	0	Spot (Block1, Row1, Column6)	120.46	119.00	22.81	0.01	0.19	74.00	73.85	74.00	10.67	0.00	0.14	97.00	86.00	0.00	45.00	46.46	102750.00	4.37	89.31	88.00
1	7	1	6788.00	2906.00	148.30	0	Spot (Block1, Row1, Column7)	290.35	285.00	88.88	0.01	0.31	76.00	77.61	76.00	15.10	0.01	0.19	100.00	100.00	0.00	209.00	214.35	175659.00	14.09	130.09	117.50
1	8	1	7072.00	2906.00	146.05	0	Spot (Block1, Row1, Column8)	4167.81	3960.00	1790.79	0.02	0.43	78.00	80.13	78.00	19.45	0.01	0.24	100.00	100.00	0.00	3882.00	4089.81	2429833.00	210.19	884.51	727.00
1	1	2	5019.00	3132.00	141.70	0	Spot (Block1, Row2, Column1)	77.53	77.00	9.14	0.00	0.12	67.00	67.20	67.00	12.20	0.00	0.18	38.00	5.00	0.00	10.00	10.53	42334.00	0.85	71.13	73.00
1	2	2	5276.00	3176.00	162.10	0	Spot (Block1, Row2, Column2)	90.17	90.00	10.72	0.00	0.12	67.00	66.61	67.00	8.98	0.00	0.13	91.00	69.00	0.00	23.00	23.17	65466.00	2.62	74.65	74.00
1	3	2	5582.00	3189.00	147.00	-50	Spot (Block1, Row2, Column3)	68.47	69.00	9.72	0.00	0.14	70.00	69.31	70.00	9.13	0.00	0.13	11.00	0.00	0.00	-1.00	-1.53	40190.00	-0.09	73.96	74.00
