ATF	1.0
30	28
"Checksum_ImageFile=4249d7522f01379a8445d4bbad78ad29"
"Checksum_ResultFile=2793bc2ae3d2f108245dc895497df104"
"Type=Mapix Results 2"
"DateTime=2021/05/03 11:20:03"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h19m50_785nmGain001.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h19m50_785nmGain001.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4775, 2680"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=25.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=1"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4988.00	2881.00	148.80	0	Spot (Block1, Row1, Column1)	5466.65	4993.00	2776.93	0.04	0.51	131.00	134.55	131.00	27.82	0.01	0.21	100.00	100.00	0.00	4862.00	5335.65	3312788.00	191.64	1365.07	1004.00
1	2	1	5284.00	2883.00	156.20	0	Spot (Block1, Row1, Column2)	295.51	290.00	77.07	0.01	0.26	132.00	135.05	132.00	20.90	0.01	0.15	100.00	99.00	0.00	158.00	163.51	197401.00	7.68	182.91	183.00
1	3	1	5592.00	2885.00	182.90	0	Spot (Block1, Row1, Column3)	209.28	201.00	36.13	0.02	0.17	132.00	133.79	132.00	16.89	0.01	0.13	99.00	93.00	0.00	69.00	77.28	196093.00	4.47	153.66	154.00
1	4	1	5885.00	2885.00	162.70	0	Spot (Block1, Row1, Column4)	278.72	293.00	59.12	0.02	0.21	137.00	139.09	137.00	16.18	0.01	0.12	99.00	98.00	0.00	156.00	141.72	205140.00	8.63	177.59	181.50
1	5	1	6192.00	2901.00	167.90	0	Spot (Block1, Row1, Column5)	265.52	262.00	64.85	0.01	0.24	141.00	143.78	141.00	17.77	0.01	0.12	99.00	97.00	0.00	121.00	124.52	208962.00	6.85	177.25	177.00
1	6	1	6486.00	2890.00	156.35	0	Spot (Block1, Row1, Column6)	345.69	328.00	99.87	0.02	0.29	145.00	147.16	145.00	18.49	0.01	0.13	99.00	97.00	0.00	183.00	200.69	232647.00	10.73	193.64	187.00
1	7	1	6789.00	2899.00	143.50	0	Spot (Block1, Row1, Column7)	1148.49	1138.50	500.83	0.00	0.44	154.00	159.18	154.00	40.19	0.01	0.25	100.00	100.00	0.00	984.50	994.49	645450.00	24.61	410.11	331.00
1	8	1	7073.00	2901.00	145.75	0	Spot (Block1, Row1, Column8)	18096.14	17091.00	8378.64	0.02	0.46	164.00	171.64	164.00	58.61	0.02	0.34	100.00	100.00	0.00	16927.00	17932.14	10477668.00	305.82	3606.78	2641.00
1	1	2	4985.00	3184.00	147.00	-50	Spot (Block1, Row2, Column1)	139.29	138.00	12.10	0.00	0.09	126.00	128.64	126.00	19.39	0.01	0.15	31.00	2.00	0.00	12.00	13.29	81904.00	0.55	139.51	138.00
1	2	2	5282.00	3188.00	136.80	0	Spot (Block1, Row2, Column2)	251.10	262.00	37.58	0.02	0.15	124.00	126.86	124.00	16.24	0.01	0.13	100.00	100.00	0.00	138.00	127.10	126553.00	7.65	179.26	182.00
1	3	2	5591.00	3208.00	194.10	0	Spot (Block1, Row2, Column3)	147.64	148.00	16.64	0.00	0.11	127.00	133.41	127.00	38.37	0.02	0.29	15.00	0.00	0.00	21.00	20.64	156939.00	0.37	134.99	134.00
1	4	2	5905.00	3186.00	186.05	0	Spot (Block1, Row2, Column4)	210.77	210.00	27.16	0.00	0.13	134.00	137.29	134.00	19.69	0.01	0.14	98.00	92.00	0.00	76.00	76.77	205080.00	3.73	166.53	169.00
1	5	2	6188.00	3186.00	183.55	0	Spot (Block1, Row2, Column5)	737.51	708.50	189.92	0.02	0.26	139.00	143.59	139.00	22.18	0.01	0.15	100.00	100.00	0.00	569.50	598.51	697689.00	26.78	299.93	275.00
1	6	2	6479.00	3183.00	176.65	0	Spot (Block1, Row2, Column6)	207.58	203.00	33.06	0.01	0.16	147.00	152.23	147.00	30.08	0.02	0.20	88.00	40.00	0.00	56.00	60.58	180803.00	1.84	164.17	167.00
1	7	2	6791.00	3188.00	158.70	0	Spot (Block1, Row2, Column7)	179.47	178.00	15.03	0.00	0.08	151.00	152.12	151.00	20.56	0.00	0.14	68.00	21.00	0.00	27.00	28.47	125453.00	1.33	166.34	170.00
1	8	2	7085.00	3197.00	147.00	-50	Spot (Block1, Row2, Column8)	173.69	178.00	21.12	0.01	0.12	155.00	158.36	155.00	39.13	0.01	0.25	9.00	0.00	0.00	23.00	18.69	101785.00	0.39	158.99	161.00
