ATF	1.0
30	28
"Checksum_ImageFile=d82db3d1584c1130a0055fe04f521d4d"
"Checksum_ResultFile=174b2258c9aa97677c861efc7104b893"
"Type=Mapix Results 2"
"DateTime=2021/05/03 11:27:59"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h27m47_785nmGain005.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h27m47_785nmGain005.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4775, 2680"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=27.1"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=5"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4989.00	2878.00	149.50	0	Spot (Block1, Row1, Column1)	12246.21	11353.00	6317.01	0.03	0.52	215.00	225.40	215.00	49.90	0.02	0.22	100.00	100.00	0.00	11138.00	12031.21	7470190.00	240.91	2948.70	2010.00
1	2	1	5288.00	2879.00	147.20	0	Spot (Block1, Row1, Column2)	617.33	552.00	226.30	0.05	0.37	224.00	231.44	224.00	31.45	0.01	0.14	100.00	100.00	0.00	328.00	393.33	362989.00	12.27	339.02	313.00
1	3	1	5591.00	2882.00	170.50	0	Spot (Block1, Row1, Column3)	398.35	387.00	93.70	0.01	0.24	229.00	235.34	229.00	28.76	0.01	0.12	97.00	91.00	0.00	158.00	169.35	322267.00	5.67	273.68	278.00
1	4	1	5885.00	2884.00	147.55	0	Spot (Block1, Row1, Column4)	602.85	594.00	154.15	0.01	0.26	239.00	244.96	239.00	30.45	0.01	0.12	100.00	99.00	0.00	355.00	363.85	357488.00	11.75	336.72	315.00
1	5	1	6194.00	2891.00	148.45	0	Spot (Block1, Row1, Column5)	528.07	482.50	152.41	0.04	0.29	253.00	254.99	253.00	30.12	0.00	0.12	99.00	97.00	0.00	229.50	275.07	317897.00	9.07	329.12	310.00
1	6	1	6489.00	2890.00	147.90	0	Spot (Block1, Row1, Column6)	686.69	611.00	220.05	0.05	0.32	268.00	263.64	268.00	30.68	0.01	0.12	100.00	100.00	0.00	343.00	418.69	409954.00	13.79	379.72	362.00
1	7	1	6789.00	2897.00	143.80	0	Spot (Block1, Row1, Column7)	2524.93	2338.00	1192.34	0.03	0.47	279.00	284.69	279.00	81.68	0.01	0.29	100.00	100.00	0.00	2059.00	2245.93	1419009.00	27.43	818.58	663.00
1	8	1	7074.00	2898.00	146.25	0	Spot (Block1, Row1, Column8)	40369.28	39341.00	17738.88	0.01	0.44	290.00	306.85	290.00	118.21	0.02	0.39	100.00	100.00	14.63	39051.00	40079.28	23454632.00	338.92	7283.48	5458.50
1	1	2	4958.00	3163.00	136.25	0	Spot (Block1, Row2, Column1)	239.13	233.00	23.58	0.01	0.10	212.00	217.01	212.00	40.51	0.01	0.19	24.00	1.00	0.00	21.00	27.13	119324.00	0.55	226.78	222.50
1	2	2	5284.00	3181.00	126.45	0	Spot (Block1, Row2, Column2)	535.62	515.00	107.41	0.02	0.20	214.00	216.58	214.00	21.91	0.01	0.10	100.00	100.00	0.00	301.00	321.62	227102.00	14.56	315.67	301.00
1	3	2	5574.00	3199.00	146.30	0	Spot (Block1, Row2, Column3)	276.63	282.00	24.55	0.01	0.09	219.00	229.14	219.00	65.88	0.02	0.29	44.00	0.00	0.00	63.00	57.63	161827.00	0.72	243.55	232.00
1	4	2	5890.00	3182.00	163.55	0	Spot (Block1, Row2, Column4)	457.46	477.00	91.45	0.02	0.20	228.00	234.91	228.00	28.55	0.01	0.12	100.00	99.00	0.00	249.00	229.46	338981.00	7.79	303.44	301.00
1	5	2	6189.00	3183.00	184.15	0	Spot (Block1, Row2, Column5)	1573.25	1580.50	484.33	0.00	0.31	246.00	252.12	246.00	36.43	0.01	0.14	100.00	100.00	0.00	1334.50	1327.25	1507173.00	36.27	589.20	554.00
1	6	2	6487.00	3190.00	158.10	0	Spot (Block1, Row2, Column6)	427.54	406.00	87.23	0.02	0.20	267.00	270.63	267.00	52.35	0.01	0.19	90.00	75.00	0.00	139.00	160.54	295002.00	3.00	305.87	300.00
1	7	2	6803.00	3187.00	167.60	0	Spot (Block1, Row2, Column7)	333.43	323.00	40.93	0.01	0.12	271.00	268.08	271.00	35.06	0.00	0.13	74.00	37.00	0.00	52.00	62.43	259405.00	1.86	294.16	298.50
1	8	2	7086.00	3194.00	147.00	-50	Spot (Block1, Row2, Column8)	306.65	301.00	38.70	0.01	0.13	277.00	283.03	277.00	78.59	0.01	0.28	15.00	0.00	0.00	24.00	29.65	180615.00	0.30	290.81	290.00
1	1	3	4987.00	3477.00	142.00	0	Spot (Block1, Row3, Column1)	941.26	900.50	469.26	0.02	0.50	208.00	210.71	208.00	20.05	0.01	0.10	100.00	100.00	0.00	692.50	733.26	512047.00	36.43	422.13	383.00
