ATF	1.0
30	28
"Checksum_ImageFile=9e459e22b491b7b254a7e07d92e81a0b"
"Checksum_ResultFile=829f1090908fce9cdc9f37200c6e176b"
"Type=Mapix Results 2"
"DateTime=2021/05/03 11:35:55"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h35m43_785nmGain010.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h35m43_785nmGain010.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4775, 2675"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=28.3"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4989.00	2874.00	150.50	0	Spot (Block1, Row1, Column1)	18386.18	16570.00	9721.74	0.05	0.53	299.00	311.54	299.00	66.34	0.02	0.21	100.00	100.00	0.00	16271.00	18087.18	11344272.00	272.45	3903.03	3068.00
1	2	1	5286.00	2878.00	145.60	0	Spot (Block1, Row1, Column2)	925.05	875.00	300.79	0.02	0.33	306.00	318.10	306.00	50.14	0.02	0.16	100.00	100.00	0.00	569.00	619.05	536528.00	12.11	481.98	463.50
1	3	1	5593.00	2880.00	152.20	0	Spot (Block1, Row1, Column3)	604.64	575.00	160.00	0.02	0.26	308.00	321.64	308.00	40.78	0.02	0.13	99.00	99.00	0.00	267.00	296.64	385759.00	6.94	393.51	404.00
1	4	1	5885.00	2883.00	142.00	0	Spot (Block1, Row1, Column4)	915.27	914.00	235.64	0.00	0.26	315.00	331.67	315.00	45.70	0.02	0.14	100.00	99.00	0.00	599.00	600.27	502482.00	12.77	492.45	472.50
1	5	1	6192.00	2885.00	152.35	0	Spot (Block1, Row1, Column5)	739.81	675.00	270.47	0.04	0.37	329.00	348.57	329.00	51.89	0.03	0.15	97.00	90.00	0.00	346.00	410.81	471259.00	7.54	426.18	413.00
1	6	1	6488.00	2889.00	146.90	0	Spot (Block1, Row1, Column6)	1061.05	981.50	356.50	0.03	0.34	370.00	359.44	370.00	51.60	0.01	0.14	100.00	100.00	0.00	611.50	691.05	621778.00	13.60	529.99	490.00
1	7	1	6791.00	2895.00	143.95	0	Spot (Block1, Row1, Column7)	3814.05	3557.50	1909.72	0.03	0.50	386.00	393.13	386.00	139.72	0.01	0.36	100.00	100.00	0.00	3171.50	3428.05	2158755.00	24.48	1105.85	999.00
1	8	1	7076.00	2895.00	146.95	0	Spot (Block1, Row1, Column8)	50406.04	57133.00	16389.06	0.05	0.33	393.00	421.57	393.00	173.49	0.03	0.41	100.00	100.00	42.11	56740.00	50013.04	29689356.00	288.11	10218.98	8175.00
1	1	2	4978.00	3167.00	181.50	0	Spot (Block1, Row2, Column1)	341.04	328.00	35.56	0.02	0.10	294.00	297.31	294.00	50.77	0.00	0.17	37.00	5.00	0.00	34.00	47.04	315460.00	0.86	315.63	311.50
1	2	2	5282.00	3179.00	124.50	0	Spot (Block1, Row2, Column2)	782.45	793.00	193.36	0.01	0.25	295.00	295.32	295.00	27.51	0.00	0.09	100.00	100.00	0.00	498.00	487.45	321585.00	17.71	432.01	406.00
