ATF	1.0
30	28
"Checksum_ImageFile=66b5ca351c2928eb3ed058fc9c3e2a9b"
"Checksum_ResultFile=a31e83c4bc1b298ab4e1b51eea83fda9"
"Type=Mapix Results 2"
"DateTime=2021/05/03 11:43:50"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h43m39_785nmGain020.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h43m39_785nmGain020.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4775, 2675"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=29.4"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=20"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4990.00	2873.00	150.85	0	Spot (Block1, Row1, Column1)	31339.38	27715.00	16127.76	0.05	0.51	488.00	493.85	488.00	124.66	0.01	0.25	100.00	100.00	0.97	27227.00	30851.38	19461764.00	247.43	6359.36	4464.00
1	2	1	5286.00	2876.00	144.05	0	Spot (Block1, Row1, Column2)	1559.06	1510.00	532.24	0.01	0.34	494.00	505.25	494.00	90.12	0.01	0.18	100.00	100.00	0.00	1016.00	1065.06	874632.00	11.69	818.22	770.00
1	3	1	5591.00	2879.00	147.20	0	Spot (Block1, Row1, Column3)	1052.05	1007.00	284.12	0.02	0.27	499.00	518.00	499.00	84.75	0.02	0.16	100.00	97.00	0.00	508.00	553.05	621762.00	6.30	667.56	651.00
1	4	1	5885.00	2882.00	141.50	0	Spot (Block1, Row1, Column4)	1598.82	1510.50	446.98	0.02	0.28	513.00	543.56	513.00	89.66	0.03	0.16	100.00	100.00	0.00	997.50	1085.82	869756.00	11.77	864.59	809.00
1	5	1	6195.00	2885.00	151.75	0	Spot (Block1, Row1, Column5)	1259.52	1101.00	492.56	0.06	0.39	579.00	567.53	579.00	95.87	0.01	0.17	94.00	89.00	0.00	522.00	680.52	797279.00	7.22	734.32	725.50
1	6	1	6490.00	2886.00	147.60	0	Spot (Block1, Row1, Column6)	1858.96	1687.00	740.02	0.04	0.40	584.00	572.54	584.00	96.90	0.01	0.17	100.00	99.00	0.00	1103.00	1274.96	1106083.00	13.28	875.20	846.50
1	7	1	6793.00	2894.00	144.80	0	Spot (Block1, Row1, Column7)	6580.16	5987.00	3353.65	0.04	0.51	594.00	628.60	594.00	230.53	0.02	0.37	100.00	100.00	0.00	5393.00	5986.16	3757270.00	25.82	1837.32	1493.00
1	8	1	7078.00	2894.00	148.70	0	Spot (Block1, Row1, Column8)	59696.55	65535.00	10319.47	0.04	0.17	605.00	683.62	605.00	285.56	0.05	0.42	100.00	100.00	67.27	64930.00	59091.55	36116708.00	206.66	14919.17	12576.00
1	1	2	5005.00	3156.00	213.00	0	Spot (Block1, Row2, Column1)	502.01	501.00	61.92	0.00	0.12	473.00	468.69	473.00	97.91	0.00	0.21	11.00	1.00	0.00	28.00	29.01	648089.00	0.34	469.89	490.00
1	2	2	5286.00	3177.00	125.85	0	Spot (Block1, Row2, Column2)	1318.10	1311.50	268.96	0.00	0.20	479.00	465.55	479.00	58.29	0.01	0.13	100.00	100.00	0.00	832.50	839.10	550964.00	14.62	710.58	688.00
