ATF	1.0
30	28
"Checksum_ImageFile=d11ab158d15249d6345cac5d8312d845"
"Checksum_ResultFile=b8ee6381d180f11891f164d4d6680fb2"
"Type=Mapix Results 2"
"DateTime=2021/05/03 11:51:47"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h51m35_785nmGain025.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h51m35_785nmGain025.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4775, 2675"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=30.1"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=25"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4990.00	2873.00	150.65	0	Spot (Block1, Row1, Column1)	36430.02	33810.00	18082.38	0.03	0.50	573.00	582.72	573.00	151.10	0.01	0.26	100.00	100.00	10.16	33237.00	35857.02	22586672.00	237.25	7758.17	5421.00
1	2	1	5287.00	2878.00	144.65	0	Spot (Block1, Row1, Column2)	1863.98	1836.00	598.42	0.01	0.32	589.00	594.03	589.00	104.96	0.00	0.18	100.00	100.00	0.00	1247.00	1274.98	1055015.00	12.10	916.42	850.00
1	3	1	5592.00	2881.00	151.75	0	Spot (Block1, Row1, Column3)	1236.39	1193.50	370.15	0.02	0.30	596.00	612.36	596.00	95.01	0.01	0.16	99.00	91.00	0.00	597.50	640.39	778923.00	6.57	748.13	723.00
1	4	1	5885.00	2881.00	142.85	0	Spot (Block1, Row1, Column4)	1942.27	1918.00	578.38	0.01	0.30	605.00	638.99	605.00	99.89	0.02	0.16	100.00	100.00	0.00	1313.00	1337.27	1077962.00	13.05	1008.63	988.00
1	5	1	6193.00	2888.00	146.85	0	Spot (Block1, Row1, Column5)	1617.06	1563.00	546.53	0.01	0.34	654.00	662.54	654.00	111.00	0.01	0.17	100.00	94.00	0.00	909.00	963.06	945981.00	8.60	907.68	875.00
1	6	1	6490.00	2884.00	149.95	0	Spot (Block1, Row1, Column6)	2181.64	1986.00	824.24	0.04	0.38	671.00	666.11	671.00	112.00	0.00	0.17	99.00	99.00	0.00	1315.00	1510.64	1332982.00	13.53	1035.76	960.00
1	7	1	6793.00	2894.00	144.55	0	Spot (Block1, Row1, Column7)	7840.34	7743.00	3725.47	0.01	0.48	692.00	732.43	692.00	252.82	0.02	0.35	100.00	100.00	0.00	7051.00	7148.34	4476836.00	28.11	2223.59	1953.00
1	8	1	7078.00	2894.00	150.20	0	Spot (Block1, Row1, Column8)	61546.87	65535.00	8410.70	0.03	0.14	714.00	798.77	714.00	307.29	0.05	0.38	100.00	100.00	73.95	64821.00	60832.87	38036288.00	197.69	14611.20	11895.00
1	1	2	4994.00	3159.00	226.40	0	Spot (Block1, Row2, Column1)	606.68	595.00	69.45	0.01	0.11	525.00	558.07	525.00	116.83	0.03	0.21	24.00	3.00	0.00	70.00	81.68	894859.00	0.42	563.92	578.00
1	2	2	5285.00	3178.00	130.15	0	Spot (Block1, Row2, Column2)	1517.87	1490.00	357.92	0.01	0.24	528.00	553.20	528.00	68.25	0.02	0.12	100.00	100.00	0.00	962.00	989.87	690629.00	14.13	832.14	810.00
1	3	2	5596.00	3186.00	148.95	0	Spot (Block1, Row2, Column3)	705.98	689.00	111.63	0.01	0.16	581.00	574.46	581.00	78.84	0.00	0.14	63.00	31.00	0.00	108.00	124.98	429234.00	1.67	630.64	593.00
1	4	2	5896.00	3181.00	157.55	0	Spot (Block1, Row2, Column4)	1351.16	1325.50	254.84	0.01	0.19	597.00	620.67	597.00	102.57	0.02	0.17	100.00	99.00	0.00	728.50	754.16	924195.00	7.12	846.41	839.00
1	5	2	6192.00	3179.00	184.80	0	Spot (Block1, Row2, Column5)	4751.96	4622.00	1476.17	0.01	0.31	616.00	659.77	616.00	133.13	0.03	0.20	100.00	100.00	0.00	4006.00	4135.96	4561884.00	30.74	1767.96	1573.50
1	6	2	6487.00	3183.00	148.70	0	Spot (Block1, Row2, Column6)	1350.68	1283.00	340.00	0.02	0.25	682.00	706.75	682.00	193.44	0.02	0.27	94.00	77.00	0.00	601.00	668.68	818513.00	3.33	848.40	829.00
1	7	2	6787.00	3187.00	158.05	0	Spot (Block1, Row2, Column7)	918.87	891.00	189.92	0.01	0.21	683.00	702.25	683.00	133.33	0.01	0.19	60.00	39.00	0.00	208.00	235.87	633104.00	1.62	754.62	711.00
1	8	2	7089.00	3189.00	147.00	-50	Spot (Block1, Row2, Column8)	791.54	782.00	187.42	0.01	0.24	691.00	749.91	691.00	246.93	0.04	0.33	23.00	1.00	0.00	91.00	100.54	469386.00	0.17	743.55	717.00
1	1	3	4991.00	3472.00	142.20	0	Spot (Block1, Row3, Column1)	2883.01	2591.00	1869.45	0.05	0.65	512.00	537.55	512.00	62.88	0.02	0.12	100.00	100.00	0.00	2079.00	2371.01	1577006.00	37.30	1198.56	1060.50
1	2	3	5283.00	3482.00	172.40	0	Spot (Block1, Row3, Column2)	673.79	680.00	90.55	0.00	0.13	515.00	543.59	515.00	67.28	0.02	0.12	90.00	56.00	0.00	165.00	158.79	556552.00	1.94	583.36	589.00
1	3	3	5587.00	3480.00	147.00	-50	Spot (Block1, Row3, Column3)	3839.40	1257.00	8805.48	0.48	2.29	572.00	565.92	572.00	90.65	0.00	0.16	94.00	91.00	0.68	685.00	3267.40	2257570.00	36.11	981.73	714.50
1	4	3	5882.00	3482.00	147.65	0	Spot (Block1, Row3, Column4)	3386.83	3067.00	1790.01	0.04	0.53	588.00	585.64	588.00	87.96	0.00	0.15	100.00	100.00	0.00	2479.00	2798.83	2038874.00	31.84	1171.04	1071.00
1	5	3	6167.00	3493.00	118.15	0	Spot (Block1, Row3, Column5)	4007.44	1016.00	9191.96	0.60	2.29	595.00	623.75	595.00	168.34	0.02	0.27	80.00	57.00	0.27	421.00	3412.44	1486761.00	20.10	1012.63	1007.00
1	6	3	6489.00	3483.00	201.30	0	Spot (Block1, Row3, Column6)	9729.49	7849.00	5801.88	0.09	0.60	669.00	719.29	669.00	237.69	0.03	0.33	100.00	100.00	0.00	7180.00	9060.49	11179182.00	37.91	2868.99	2875.00
1	7	3	6797.00	3494.00	148.35	0	Spot (Block1, Row3, Column7)	1607.77	1554.00	588.11	0.01	0.37	612.00	669.68	612.00	175.60	0.04	0.26	99.00	81.00	0.00	942.00	995.77	964663.00	5.34	871.61	822.00
1	8	3	7092.00	3495.00	154.05	0	Spot (Block1, Row3, Column8)	2821.48	2729.00	965.96	0.01	0.34	672.00	672.30	672.00	121.23	0.00	0.18	100.00	100.00	0.00	2057.00	2149.48	1831141.00	17.73	1260.75	1136.00
1	1	4	4987.00	3775.00	146.50	0	Spot (Block1, Row4, Column1)	3140.78	2912.00	1620.35	0.03	0.52	508.00	533.80	508.00	67.65	0.02	0.13	100.00	100.00	0.00	2404.00	2632.78	1834214.00	38.54	1091.25	960.00
1	2	4	5283.00	3779.00	186.75	0	Spot (Block1, Row4, Column2)	733.30	705.00	124.42	0.02	0.17	513.00	543.32	513.00	89.34	0.02	0.16	86.00	61.00	0.00	192.00	220.30	721571.00	2.13	608.41	587.00
