ATF	1.0
30	28
"Checksum_ImageFile=0054869750ca320489ac87e77d456def"
"Checksum_ResultFile=55e7b54b38749b4af7ce6ecec7dbdd93"
"Type=Mapix Results 2"
"DateTime=2021/05/03 11:59:46"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h59m31_785nmGain050.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_11h59m31_785nmGain050.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4775, 2675"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=30.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=50"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4991.00	2874.00	153.35	0	Spot (Block1, Row1, Column1)	50032.02	56068.00	16612.97	0.05	0.33	976.00	1007.82	976.00	239.47	0.01	0.24	100.00	100.00	42.81	55092.00	49056.02	32370952.00	204.72	10583.98	8353.50
1	2	1	5288.00	2878.00	147.75	0	Spot (Block1, Row1, Column2)	3187.79	3087.00	1102.55	0.01	0.35	1004.00	1032.16	1004.00	164.80	0.01	0.16	100.00	99.00	0.00	2083.00	2183.79	1899925.00	13.08	1561.09	1501.00
1	3	1	5594.00	2881.00	145.10	0	Spot (Block1, Row1, Column3)	2179.77	2133.00	596.50	0.01	0.27	1013.00	1045.99	1013.00	133.98	0.01	0.13	100.00	99.00	0.00	1120.00	1166.77	1249009.00	8.46	1339.03	1316.50
1	4	1	5887.00	2881.00	141.90	0	Spot (Block1, Row1, Column4)	3338.28	3313.00	914.02	0.00	0.27	1093.00	1115.91	1093.00	148.76	0.01	0.13	100.00	100.00	0.00	2220.00	2245.28	1816024.00	14.94	1760.19	1676.00
1	5	1	6192.00	2890.00	147.95	0	Spot (Block1, Row1, Column5)	2879.36	2622.00	1023.77	0.04	0.36	1180.00	1182.01	1180.00	154.86	0.00	0.13	100.00	97.00	0.00	1442.00	1699.36	1718976.00	10.96	1635.06	1565.00
1	6	1	6490.00	2886.00	148.65	0	Spot (Block1, Row1, Column6)	3841.58	3501.00	1432.04	0.04	0.37	1178.00	1186.05	1178.00	155.28	0.00	0.13	100.00	100.00	0.00	2323.00	2663.58	2320317.00	17.10	1895.69	1731.50
1	7	1	6793.00	2894.00	146.25	0	Spot (Block1, Row1, Column7)	13961.35	12580.00	6971.99	0.05	0.50	1202.00	1278.69	1202.00	340.48	0.03	0.27	100.00	100.00	0.00	11378.00	12759.35	8097583.00	37.25	3930.86	3193.00
1	8	1	7079.00	2894.00	155.70	0	Spot (Block1, Row1, Column8)	64165.39	65535.00	5700.03	0.01	0.09	1307.00	1397.27	1307.00	403.06	0.03	0.29	100.00	100.00	91.90	64228.00	62858.39	42798716.00	155.73	16783.99	14149.00
1	1	2	4972.00	3171.00	226.40	0	Spot (Block1, Row2, Column1)	1032.77	1003.00	106.54	0.01	0.10	913.00	951.61	913.00	177.63	0.02	0.19	24.00	4.00	0.00	90.00	119.77	1518168.00	0.46	976.55	982.50
1	2	2	5285.00	3177.00	129.20	0	Spot (Block1, Row2, Column2)	2546.26	2557.50	547.25	0.00	0.21	945.00	959.37	945.00	100.34	0.01	0.10	100.00	100.00	0.00	1612.50	1601.26	1145815.00	15.82	1437.32	1405.00
1	3	2	5592.00	3187.00	195.95	0	Spot (Block1, Row2, Column3)	1164.90	1129.00	140.91	0.01	0.12	987.00	1031.98	987.00	446.48	0.02	0.43	2.00	0.00	0.00	142.00	177.90	1266243.00	0.30	1068.83	1069.00
1	4	2	5896.00	3179.00	161.65	0	Spot (Block1, Row2, Column4)	2371.60	2344.00	489.29	0.01	0.21	1068.00	1078.17	1068.00	158.14	0.00	0.15	99.00	99.00	0.00	1276.00	1303.60	1717035.00	8.18	1424.98	1415.00
1	5	2	6192.00	3180.00	185.35	0	Spot (Block1, Row2, Column5)	8390.15	8004.00	2470.87	0.02	0.29	1113.00	1155.02	1113.00	207.47	0.02	0.18	100.00	100.00	0.00	6891.00	7277.15	8113273.00	34.87	3024.20	2735.00
1	6	2	6487.00	3187.00	155.35	0	Spot (Block1, Row2, Column6)	2244.49	2144.00	559.56	0.02	0.25	1192.00	1249.58	1192.00	304.87	0.02	0.24	93.00	74.00	0.00	952.00	1052.49	1481364.00	3.26	1423.95	1373.50
1	7	2	6783.00	3185.00	154.35	0	Spot (Block1, Row2, Column7)	1637.01	1590.00	283.71	0.01	0.17	1190.00	1234.79	1190.00	200.66	0.02	0.16	77.00	49.00	0.00	400.00	447.01	1068966.00	2.00	1361.15	1327.00
1	8	2	7090.00	3190.00	147.00	-50	Spot (Block1, Row2, Column8)	1420.65	1390.00	295.15	0.01	0.21	1273.00	1323.12	1273.00	321.74	0.02	0.24	17.00	2.00	0.00	117.00	147.65	836761.00	0.30	1359.95	1407.50
1	1	3	4991.00	3473.00	144.15	0	Spot (Block1, Row3, Column1)	4924.93	4503.00	2887.85	0.04	0.59	908.00	932.74	908.00	97.53	0.01	0.10	100.00	100.00	0.00	3595.00	4016.93	2772738.00	40.93	2017.45	1853.00
1	2	3	5289.00	3481.00	154.90	0	Spot (Block1, Row3, Column2)	1181.03	1182.00	149.01	0.00	0.13	925.00	1013.52	925.00	816.36	0.04	0.81	0.00	0.00	0.00	257.00	256.03	778296.00	0.21	1064.31	1027.00
1	3	3	5582.00	3484.00	77.75	0	Spot (Block1, Row3, Column3)	17375.03	5656.50	22004.68	0.49	1.27	977.00	1067.59	977.00	835.65	0.04	0.78	86.00	67.00	9.03	4679.50	16398.03	2502004.00	19.51	5103.42	2417.00
1	4	3	5881.00	3484.00	148.45	0	Spot (Block1, Row3, Column4)	5997.75	5753.00	3089.09	0.02	0.52	987.00	1020.87	987.00	209.02	0.01	0.20	100.00	100.00	0.00	4766.00	5010.75	3616645.00	23.81	2144.99	1828.00
1	5	3	6166.00	3495.00	116.00	0	Spot (Block1, Row3, Column5)	6866.52	1778.00	13464.26	0.59	1.96	1010.00	1093.62	1010.00	293.73	0.03	0.27	93.00	58.00	2.25	768.00	5856.52	2437613.00	19.65	1772.67	1589.00
1	6	3	6489.00	3483.00	201.75	0	Spot (Block1, Row3, Column6)	17638.74	14186.00	10304.99	0.09	0.58	1190.00	1285.33	1190.00	402.09	0.03	0.31	100.00	100.00	0.00	12996.00	16448.74	20372752.00	40.67	4983.52	4890.50
1	7	3	6800.00	3491.00	147.30	0	Spot (Block1, Row3, Column7)	2818.70	2682.00	1033.44	0.02	0.37	1149.00	1200.32	1149.00	288.83	0.02	0.24	96.00	82.00	0.00	1533.00	1669.70	1665853.00	5.60	1605.46	1465.00
1	8	3	7093.00	3497.00	152.70	0	Spot (Block1, Row3, Column8)	5035.30	4905.00	1614.96	0.01	0.32	1180.00	1188.29	1180.00	179.07	0.00	0.15	100.00	100.00	0.00	3725.00	3855.30	3212523.00	21.48	2325.44	2142.50
1	1	4	4989.00	3775.00	147.05	0	Spot (Block1, Row4, Column1)	5583.15	5175.00	2842.92	0.03	0.51	901.00	924.91	901.00	100.94	0.01	0.11	100.00	100.00	0.00	4274.00	4682.15	3288476.00	46.15	1984.17	1856.50
1	2	4	5286.00	3783.00	175.80	0	Spot (Block1, Row4, Column2)	1335.51	1316.00	183.87	0.01	0.14	916.00	953.40	916.00	145.86	0.02	0.15	93.00	72.00	0.00	400.00	419.51	1152546.00	2.62	1067.52	1059.00
1	3	4	5589.00	3783.00	148.50	0	Spot (Block1, Row4, Column3)	30596.84	28086.00	18114.89	0.04	0.59	976.00	1030.34	976.00	739.84	0.02	0.72	100.00	100.00	3.81	27110.00	29620.84	18449916.00	39.96	6730.17	5216.00
1	4	4	5871.00	3779.00	194.10	0	Spot (Block1, Row4, Column4)	1194.82	1177.00	151.40	0.01	0.13	981.00	990.96	981.00	137.77	0.00	0.14	61.00	31.00	0.00	196.00	213.82	1273682.00	1.48	1025.88	1012.50
1	5	4	6164.00	3775.00	159.45	0	Spot (Block1, Row4, Column5)	1796.99	1478.50	1419.91	0.08	0.79	995.00	1020.75	995.00	158.15	0.01	0.15	86.00	64.00	0.00	483.50	801.99	1254302.00	4.91	1207.96	1118.00
1	6	4	6494.00	3781.00	192.05	0	Spot (Block1, Row4, Column6)	8822.71	8856.00	2242.18	0.00	0.25	1086.00	1141.11	1086.00	302.96	0.02	0.27	100.00	100.00	0.00	7770.00	7736.71	9184446.00	25.36	2998.18	2768.50
1	7	4	6785.00	3785.00	151.00	0	Spot (Block1, Row4, Column7)	2329.36	2133.50	770.47	0.04	0.33	1094.00	1108.99	1094.00	167.70	0.01	0.15	99.00	91.00	0.00	1039.50	1235.36	1453521.00	7.28	1370.19	1325.00
1	8	4	7085.00	3791.00	166.90	0	Spot (Block1, Row4, Column8)	1499.16	1439.00	258.79	0.02	0.17	1098.00	1126.51	1098.00	162.08	0.01	0.14	80.00	53.00	0.00	341.00	401.16	1155855.00	2.30	1213.78	1200.00
1	1	5	4991.00	4075.00	142.90	0	Spot (Block1, Row5, Column1)	6649.05	6236.00	2883.30	0.03	0.43	904.00	968.08	904.00	229.86	0.03	0.24	100.00	100.00	0.00	5332.00	5745.05	3696871.00	24.71	2145.51	1904.50
1	2	5	5285.00	4076.00	154.50	0	Spot (Block1, Row5, Column2)	4536.94	4490.50	1453.84	0.00	0.32	921.00	953.61	921.00	117.89	0.02	0.12	100.00	100.00	0.00	3569.50	3615.94	2985306.00	30.40	1743.14	1539.00
1	3	5	5588.00	4083.00	153.65	0	Spot (Block1, Row5, Column3)	2434.77	2334.00	629.93	0.02	0.26	971.00	976.17	971.00	131.16	0.00	0.13	100.00	99.00	0.00	1363.00	1463.77	1570426.00	11.12	1395.84	1354.50
1	4	5	5887.00	4079.00	150.10	0	Spot (Block1, Row5, Column4)	2855.81	2564.00	1223.12	0.05	0.43	984.00	998.20	984.00	175.31	0.01	0.18	100.00	98.00	0.00	1580.00	1871.81	1767747.00	10.60	1410.90	1355.00
1	5	5	6190.00	4083.00	146.05	0	Spot (Block1, Row5, Column5)	23556.67	21848.50	12960.21	0.03	0.55	1003.00	1044.48	1003.00	198.54	0.02	0.19	100.00	100.00	0.17	20845.50	22553.67	13662870.00	113.39	5083.98	3827.00
1	6	5	6488.00	4083.00	152.65	0	Spot (Block1, Row5, Column6)	2117.27	1980.00	583.80	0.03	0.28	1011.00	1058.78	1011.00	205.05	0.02	0.19	99.00	96.00	0.00	969.00	1106.27	1344466.00	5.16	1355.63	1289.00
1	7	5	6787.00	4088.00	179.65	0	Spot (Block1, Row5, Column7)	3631.32	3605.00	1163.01	0.00	0.32	1078.00	1088.03	1078.00	162.48	0.00	0.15	100.00	100.00	0.00	2527.00	2553.32	3293604.00	15.65	1784.61	1766.00
1	8	5	7093.00	4090.00	145.50	0	Spot (Block1, Row5, Column8)	4049.93	3596.50	1807.25	0.05	0.45	1096.00	1128.48	1096.00	160.84	0.01	0.14	100.00	100.00	0.00	2500.50	2953.93	2332759.00	18.16	1824.32	1718.00
1	1	6	4986.00	4381.00	200.95	0	Spot (Block1, Row6, Column1)	14225.35	11714.00	8546.34	0.08	0.60	926.00	1039.12	926.00	347.46	0.05	0.33	100.00	100.00	0.00	10788.00	13299.35	16245349.00	37.95	4299.65	4285.00
