ATF	1.0
30	28
"Checksum_ImageFile=ddbddc73698f444c52f9ba81b5e50ff3"
"Checksum_ResultFile=5c6e43e8f4fadd7cb9338eb489d642c8"
"Type=Mapix Results 2"
"DateTime=2021/05/03 12:07:43"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_12h07m31_785nmGain075.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_12h07m31_785nmGain075.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4775, 2675"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=31.0"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=75"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4992.00	2874.00	155.20	0	Spot (Block1, Row1, Column1)	55832.60	65535.00	13215.04	0.07	0.24	1317.00	1380.83	1317.00	320.86	0.02	0.23	100.00	100.00	55.30	64218.00	54515.60	36849820.00	169.70	13923.56	11290.50
1	2	1	5288.00	2878.00	144.75	0	Spot (Block1, Row1, Column2)	4475.95	4507.00	1423.25	0.00	0.32	1383.00	1420.54	1383.00	238.88	0.01	0.17	100.00	100.00	0.00	3124.00	3092.95	2555769.00	12.79	2188.18	2073.00
1	3	1	5596.00	2881.00	148.55	0	Spot (Block1, Row1, Column3)	2954.35	2818.50	764.04	0.02	0.26	1412.00	1445.71	1412.00	181.07	0.01	0.13	100.00	97.00	0.00	1406.50	1542.35	1784430.00	8.33	1822.88	1788.00
1	4	1	5887.00	2881.00	140.80	0	Spot (Block1, Row1, Column4)	4559.68	4480.00	1277.10	0.01	0.28	1502.00	1529.64	1502.00	199.08	0.01	0.13	100.00	100.00	0.00	2978.00	3057.68	2457667.00	15.22	2406.34	2255.50
1	5	1	6195.00	2888.00	149.40	0	Spot (Block1, Row1, Column5)	3785.04	3561.00	1242.55	0.03	0.33	1586.00	1609.55	1586.00	192.33	0.01	0.12	100.00	100.00	0.00	1975.00	2199.04	2297518.00	11.31	2155.76	2104.00
1	6	1	6491.00	2886.00	146.60	0	Spot (Block1, Row1, Column6)	5281.62	4667.00	1916.64	0.05	0.36	1592.00	1618.49	1592.00	193.95	0.01	0.12	100.00	100.00	0.00	3075.00	3689.62	3089750.00	18.89	2685.36	2431.00
1	7	1	6794.00	2894.00	146.80	0	Spot (Block1, Row1, Column7)	18566.88	17772.00	8899.24	0.02	0.48	1679.00	1747.53	1679.00	391.26	0.02	0.22	100.00	100.00	0.00	16093.00	16887.88	10935894.00	42.99	5254.58	4763.00
1	8	1	7080.00	2893.00	159.75	0	Spot (Block1, Row1, Column8)	64262.43	65535.00	5593.34	0.01	0.09	1806.00	1898.48	1806.00	479.38	0.02	0.25	100.00	100.00	92.55	63729.00	62456.43	44855608.00	130.09	18774.74	16190.50
1	1	2	4985.00	3178.00	186.80	0	Spot (Block1, Row2, Column1)	1499.90	1487.00	144.70	0.00	0.10	1284.00	1308.34	1284.00	197.94	0.01	0.15	51.00	10.00	0.00	203.00	215.90	1468403.00	0.97	1400.58	1365.00
1	2	2	5285.00	3177.00	125.75	0	Spot (Block1, Row2, Column2)	3647.94	3687.50	734.48	0.00	0.20	1298.00	1317.64	1298.00	126.49	0.01	0.10	100.00	100.00	0.00	2389.50	2349.94	1524840.00	18.42	2026.35	1905.50
1	3	2	5592.00	3171.00	169.60	0	Spot (Block1, Row2, Column3)	1642.97	1601.00	184.38	0.01	0.11	1368.00	1416.81	1368.00	550.87	0.02	0.39	5.00	0.00	0.00	233.00	274.97	1319306.00	0.41	1514.86	1488.00
1	4	2	5899.00	3179.00	165.25	0	Spot (Block1, Row2, Column4)	3181.12	3146.00	661.82	0.00	0.21	1438.00	1473.58	1438.00	206.61	0.01	0.14	100.00	99.00	0.00	1708.00	1743.12	2404928.00	8.26	1941.52	1963.00
1	5	2	6193.00	3179.00	187.05	0	Spot (Block1, Row2, Column5)	11335.39	11001.00	3326.97	0.01	0.29	1518.00	1586.76	1518.00	279.52	0.02	0.18	100.00	100.00	0.00	9483.00	9817.39	11131350.00	34.88	4123.42	3689.00
1	6	2	6490.00	3184.00	148.80	0	Spot (Block1, Row2, Column6)	3193.67	3118.00	705.93	0.01	0.22	1606.00	1710.79	1606.00	418.82	0.03	0.24	98.00	84.00	0.00	1512.00	1587.67	1919398.00	3.54	2067.43	2007.00
1	7	2	6795.00	3178.00	167.60	0	Spot (Block1, Row2, Column7)	2195.01	2133.00	345.27	0.01	0.16	1653.00	1686.11	1653.00	254.46	0.01	0.15	76.00	48.00	0.00	480.00	542.01	1703327.00	2.00	1836.08	1800.00
1	8	2	7091.00	3189.00	147.00	-50	Spot (Block1, Row2, Column8)	1911.39	1856.00	394.78	0.01	0.21	1723.00	1792.34	1723.00	371.58	0.02	0.21	15.00	2.00	0.00	133.00	188.39	1125810.00	0.32	1900.55	1908.50
1	1	3	4992.00	3472.00	143.95	0	Spot (Block1, Row3, Column1)	6731.81	6665.00	3443.46	0.00	0.51	1248.50	1268.37	1248.50	117.19	0.01	0.09	100.00	100.00	0.00	5416.50	5483.31	3749620.00	46.62	2913.26	2530.50
1	2	3	5279.00	3483.00	164.05	0	Spot (Block1, Row3, Column2)	1586.32	1579.00	169.52	0.00	0.11	1285.00	1375.55	1285.00	1028.10	0.03	0.75	0.00	0.00	0.00	294.00	301.32	1183392.00	0.21	1399.42	1394.00
1	3	3	5584.00	3483.00	77.25	0	Spot (Block1, Row3, Column3)	21150.94	7901.50	23445.90	0.43	1.11	1337.00	1465.76	1337.00	1033.88	0.04	0.71	97.00	73.00	12.68	6564.50	19813.94	3003434.00	19.04	6268.71	3090.00
1	4	3	5881.00	3483.00	148.40	0	Spot (Block1, Row3, Column4)	8183.16	7631.00	4068.11	0.03	0.50	1382.00	1421.64	1382.00	294.79	0.01	0.21	100.00	100.00	0.00	6249.00	6801.16	4926265.00	22.94	3081.98	2467.00
1	5	3	6167.00	3495.00	116.50	0	Spot (Block1, Row3, Column5)	8700.61	2424.00	15478.42	0.56	1.78	1407.00	1508.34	1407.00	373.84	0.03	0.25	82.00	61.00	4.19	1017.00	7293.61	3114819.00	19.24	2355.06	2198.00
1	6	3	6490.00	3483.00	203.35	0	Spot (Block1, Row3, Column6)	23665.08	19009.00	13699.39	0.10	0.58	1613.00	1759.69	1613.00	532.67	0.04	0.30	100.00	100.00	0.09	17396.00	22052.08	27806468.00	41.12	6928.81	6936.00
1	7	3	6800.00	3492.00	151.45	0	Spot (Block1, Row3, Column7)	3766.34	3607.00	1310.65	0.02	0.35	1581.00	1646.89	1581.00	385.58	0.02	0.23	97.00	86.00	0.00	2026.00	2185.34	2387861.00	5.50	2043.71	1994.50
1	8	3	7093.00	3496.00	153.25	0	Spot (Block1, Row3, Column8)	6895.36	6561.50	2127.95	0.02	0.31	1597.00	1626.96	1597.00	218.96	0.01	0.13	100.00	100.00	0.00	4964.50	5298.36	4426822.00	24.06	3183.01	2959.00
1	1	4	4989.00	3775.00	147.95	0	Spot (Block1, Row4, Column1)	7689.02	7382.00	3770.12	0.02	0.49	1259.00	1277.31	1259.00	129.20	0.01	0.10	100.00	100.00	0.00	6123.00	6430.02	4559586.00	49.63	2706.63	2408.50
1	2	4	5286.00	3780.00	185.95	0	Spot (Block1, Row4, Column2)	1779.73	1752.00	235.36	0.01	0.13	1285.00	1305.13	1285.00	171.01	0.01	0.13	93.00	69.00	0.00	467.00	494.73	1729900.00	2.78	1447.85	1443.00
1	3	4	5589.00	3782.00	149.90	0	Spot (Block1, Row4, Column3)	38825.01	38252.00	20225.08	0.01	0.52	1311.00	1409.76	1311.00	936.78	0.03	0.66	100.00	100.00	20.00	36941.00	37514.01	23877488.00	39.94	8430.91	6718.00
1	4	4	5871.00	3774.00	197.35	0	Spot (Block1, Row4, Column4)	1615.79	1577.00	202.52	0.01	0.13	1364.00	1380.37	1364.00	179.78	0.01	0.13	54.00	29.00	0.00	213.00	251.79	1778984.00	1.31	1439.66	1419.00
1	5	4	6164.00	3773.00	152.90	0	Spot (Block1, Row4, Column5)	2533.21	2078.00	1925.62	0.09	0.76	1387.00	1423.08	1387.00	199.81	0.01	0.14	94.00	77.00	0.00	691.00	1146.21	1623787.00	5.56	1753.20	1661.00
1	6	4	6494.00	3781.00	192.45	0	Spot (Block1, Row4, Column6)	11972.95	11998.00	3064.35	0.00	0.26	1498.00	1568.88	1498.00	378.82	0.02	0.24	100.00	100.00	0.00	10500.00	10474.95	12583566.00	27.46	4046.15	3614.00
1	7	4	6786.00	3783.00	156.25	0	Spot (Block1, Row4, Column7)	3058.45	2817.00	902.69	0.04	0.30	1497.00	1524.50	1497.00	216.01	0.01	0.14	99.00	94.00	0.00	1320.00	1561.45	2058335.00	7.10	1842.41	1821.50
1	8	4	7088.00	3791.00	149.05	0	Spot (Block1, Row4, Column8)	2212.85	2157.00	317.07	0.01	0.14	1521.00	1554.13	1521.00	201.08	0.01	0.13	96.00	80.00	0.00	636.00	691.85	1352050.00	3.28	1817.38	1836.00
1	1	5	4992.00	4075.00	142.95	0	Spot (Block1, Row5, Column1)	8938.43	8148.00	3738.70	0.04	0.42	1271.00	1346.17	1271.00	322.12	0.02	0.24	100.00	100.00	0.00	6877.00	7667.43	4969769.00	23.57	3123.06	2832.50
