ATF	1.0
30	28
"Checksum_ImageFile=f13b57a3523c90bff41f73895c3fa370"
"Checksum_ResultFile=f663c5f39964382b8527916445e06ca0"
"Type=Mapix Results 2"
"DateTime=2021/05/03 12:15:40"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_12h15m28_785nmGain100.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0135_12860-V2 A01-D12_IgA_785\Joseph_2021-05-03_12h15m28_785nmGain100.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4780, 2675"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=31.2"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=100"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4992.00	2874.00	158.30	0	Spot (Block1, Row1, Column1)	58861.25	65535.00	10499.27	0.05	0.18	1797.00	1878.23	1797.00	395.94	0.02	0.21	100.00	100.00	63.19	63738.00	57064.25	40614620.00	143.92	15287.90	14180.00
1	2	1	5290.00	2878.00	147.75	0	Spot (Block1, Row1, Column2)	5576.02	5595.00	1595.39	0.00	0.29	1875.00	1916.28	1875.00	290.60	0.01	0.15	100.00	100.00	0.00	3720.00	3701.02	3323309.00	12.59	2829.60	2764.00
1	3	1	5597.00	2883.00	151.95	0	Spot (Block1, Row1, Column3)	3707.01	3560.00	870.80	0.02	0.23	1923.00	1956.60	1923.00	226.85	0.01	0.12	100.00	99.00	0.00	1637.00	1784.01	2342829.00	7.72	2423.11	2425.50
1	4	1	5888.00	2881.00	144.45	0	Spot (Block1, Row1, Column4)	5556.12	5601.00	1348.20	0.00	0.24	2025.00	2065.77	2025.00	237.13	0.01	0.11	100.00	100.00	0.00	3576.00	3531.12	3139206.00	14.72	3023.41	2894.00
1	5	1	6194.00	2888.00	150.00	0	Spot (Block1, Row1, Column5)	4762.92	4503.00	1412.25	0.02	0.30	2125.00	2171.63	2125.00	255.34	0.01	0.12	100.00	100.00	0.00	2378.00	2637.92	2929197.00	10.15	2873.12	2877.00
1	6	1	6491.00	2888.00	148.50	0	Spot (Block1, Row1, Column6)	6613.51	6146.50	2135.34	0.03	0.32	2163.00	2193.39	2163.00	249.59	0.01	0.11	100.00	100.00	0.00	3983.50	4450.51	3994562.00	17.71	3363.53	3220.00
1	7	1	6795.00	2895.00	148.35	0	Spot (Block1, Row1, Column7)	22894.03	21755.50	10484.63	0.02	0.46	2299.00	2363.95	2299.00	447.19	0.01	0.19	100.00	100.00	0.00	19456.50	20595.03	13690630.00	45.91	6896.05	6358.00
1	8	1	7080.00	2894.00	165.05	0	Spot (Block1, Row1, Column8)	63641.90	65535.00	6649.88	0.01	0.10	2434.00	2535.06	2434.00	558.64	0.02	0.22	100.00	100.00	89.99	63101.00	61207.90	48304684.00	109.38	17659.66	16053.00
1	1	2	4980.00	3168.00	226.50	0	Spot (Block1, Row2, Column1)	1939.38	1911.00	195.70	0.01	0.10	1745.00	1793.78	1745.00	278.29	0.01	0.16	25.00	3.00	0.00	166.00	194.38	2860586.00	0.52	1824.40	1795.00
1	2	2	5286.00	3178.00	129.20	0	Spot (Block1, Row2, Column2)	4633.38	4564.00	873.27	0.01	0.19	1766.50	1787.69	1766.50	147.59	0.01	0.08	100.00	100.00	0.00	2797.50	2866.88	2080387.00	19.28	2754.59	2675.00
