ATF	1.0
30	28
"Checksum_ImageFile=6a9d315c9b832965773bb943ab6b2d20"
"Checksum_ResultFile=720adeea62b6ac52663b779e74a20de3"
"Type=Mapix Results 2"
"DateTime=2021/04/01 17:40:09"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_17h39m57_5µm_785nmGain000.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_17h39m57_5µm_785nmGain000.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=4500, 2400"
"ImageSize=16300.0, 70500.0"
"JpegOrigin=4720, 2635"
"JpegBrightness=48"
"JpegContrast=21"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=28.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=0"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4947.00	2829.00	154.70	0	Spot (Block1, Row1, Column1)	1701.79	1529.50	886.50	0.05	0.52	59.00	60.08	59.00	17.19	0.01	0.29	100.00	100.00	0.00	1470.50	1642.79	1116373.00	95.49	380.45	271.00
1	2	1	5217.00	2844.00	148.15	0	Spot (Block1, Row1, Column2)	74.09	74.00	11.58	0.00	0.16	54.00	54.72	54.00	14.29	0.01	0.26	65.00	28.00	0.00	20.00	20.09	44160.00	1.36	64.28	65.00
1	3	1	5549.00	2813.00	220.20	0	Spot (Block1, Row1, Column3)	61.84	62.00	9.51	0.00	0.15	55.00	54.23	55.00	11.25	0.01	0.21	35.00	3.00	0.00	7.00	6.84	85900.00	0.68	53.97	54.00
1	4	1	5837.00	2846.00	147.00	-50	Spot (Block1, Row1, Column4)	54.62	54.00	8.10	0.00	0.15	56.00	55.17	56.00	10.77	0.01	0.20	7.00	0.00	0.00	-2.00	-1.38	32333.00	-0.05	58.97	61.00
1	5	1	6116.00	2863.00	87.15	0	Spot (Block1, Row1, Column5)	73.45	74.00	9.06	0.00	0.12	52.00	52.29	52.00	11.49	0.00	0.22	89.00	49.00	0.00	22.00	21.45	13441.00	1.84	62.77	62.00
1	6	1	6422.00	2846.00	127.40	0	Spot (Block1, Row1, Column6)	66.34	66.00	8.33	0.00	0.13	50.00	51.18	50.00	11.28	0.01	0.22	75.00	21.00	0.00	16.00	16.34	28792.00	1.34	55.11	56.00
1	7	1	6743.00	2834.00	183.00	0	Spot (Block1, Row1, Column7)	77.77	78.00	11.59	0.00	0.15	50.00	50.71	50.00	11.00	0.01	0.22	91.00	70.00	0.00	28.00	27.77	73336.00	2.46	60.15	59.00
1	8	1	6992.00	2927.00	172.40	0	Spot (Block1, Row1, Column8)	59.12	59.00	6.60	0.00	0.11	51.00	51.03	51.00	10.86	0.00	0.21	37.00	0.00	0.00	8.00	8.12	48596.00	0.74	54.24	53.50
1	1	2	4936.00	3140.00	147.00	-50	Spot (Block1, Row2, Column1)	47.23	47.00	6.62	0.00	0.14	58.00	57.29	58.00	12.10	0.01	0.21	0.00	0.00	0.00	-11.00	-10.77	27817.00	-0.83	50.48	51.00
1	2	2	5236.00	3142.00	147.00	-50	Spot (Block1, Row2, Column2)	60.90	61.00	6.43	0.00	0.11	54.00	53.18	54.00	10.28	0.01	0.19	29.00	1.00	0.00	7.00	6.90	35991.00	0.75	58.92	60.00
1	3	2	5536.00	3144.00	147.00	-50	Spot (Block1, Row2, Column3)	56.20	56.00	7.06	0.00	0.13	52.00	51.57	52.00	9.48	0.00	0.18	24.00	1.00	0.00	4.00	4.20	33047.00	0.49	50.10	50.00
1	4	2	5819.00	3195.00	266.80	0	Spot (Block1, Row2, Column4)	54.39	56.00	8.09	0.01	0.15	51.00	51.14	51.00	9.78	0.00	0.19	24.00	1.00	0.00	5.00	3.39	113019.00	0.33	48.42	46.00
1	5	2	6135.00	3148.00	147.00	-50	Spot (Block1, Row2, Column5)	53.44	55.00	9.68	0.01	0.18	50.00	50.21	50.00	10.75	0.00	0.21	26.00	1.00	0.00	5.00	3.44	31372.00	0.30	52.25	53.00
1	6	2	6435.00	3150.00	147.00	-50	Spot (Block1, Row2, Column6)	41.30	40.00	9.87	0.01	0.24	48.00	48.75	48.00	10.60	0.01	0.22	6.00	0.00	0.00	-8.00	-6.70	24327.00	-0.70	48.81	49.00
1	7	2	6762.00	3186.00	223.35	0	Spot (Block1, Row2, Column7)	55.90	56.00	7.69	0.00	0.14	49.00	49.54	49.00	10.42	0.00	0.21	33.00	3.00	0.00	7.00	6.90	79717.00	0.61	51.18	50.50
1	8	2	7035.00	3154.00	147.00	-50	Spot (Block1, Row2, Column8)	50.75	51.00	7.97	0.00	0.16	50.00	50.27	50.00	10.45	0.00	0.21	11.00	0.00	0.00	1.00	0.75	29840.00	0.05	52.25	54.00
1	1	3	4928.00	3418.00	169.60	0	Spot (Block1, Row3, Column1)	76.58	77.00	11.77	0.00	0.15	56.00	55.33	56.00	10.03	0.01	0.18	82.00	52.00	0.00	21.00	20.58	61262.00	2.12	66.13	68.00
