ATF	1.0
30	28
"Checksum_ImageFile=7b4e2bbfed20a4be73736a4386e00c27"
"Checksum_ResultFile=9b785d42103d50d6e86343cea1ffa67b"
"Type=Mapix Results 2"
"DateTime=2021/04/01 17:48:01"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_17h47m49_5µm_785nmGain001.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_17h47m49_5µm_785nmGain001.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4725, 2625"
"JpegBrightness=41"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=29.3"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=1"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4946.00	2828.00	153.90	0	Spot (Block1, Row1, Column1)	6870.31	6192.50	3846.05	0.05	0.56	77.00	81.97	77.00	43.53	0.03	0.53	100.00	100.00	0.00	6115.50	6793.31	4465700.00	155.93	1249.51	964.50
1	2	1	5236.00	2824.00	176.65	0	Spot (Block1, Row1, Column2)	121.49	112.00	33.55	0.04	0.28	67.00	68.80	67.00	21.54	0.01	0.31	91.00	55.00	0.00	45.00	54.49	105936.00	2.45	86.42	86.00
1	3	1	5563.00	2840.00	198.75	0	Spot (Block1, Row1, Column3)	75.46	76.00	12.62	0.00	0.17	63.00	63.78	63.00	34.27	0.01	0.54	2.00	0.00	0.00	13.00	12.46	84437.00	0.34	64.78	68.00
1	4	1	5841.00	2835.00	147.00	-50	Spot (Block1, Row1, Column4)	59.57	60.00	11.19	0.00	0.19	62.00	61.24	62.00	10.70	0.01	0.17	12.00	0.00	0.00	-2.00	-2.43	35088.00	-0.16	59.40	60.00
1	5	1	6135.00	2846.00	177.05	0	Spot (Block1, Row1, Column5)	96.76	95.00	17.60	0.01	0.18	60.00	59.09	60.00	10.77	0.01	0.18	96.00	81.00	0.00	35.00	36.76	84956.00	3.50	72.02	74.00
1	6	1	6453.00	2838.00	158.65	0	Spot (Block1, Row1, Column6)	89.54	89.00	10.76	0.00	0.12	59.00	58.62	59.00	10.33	0.00	0.18	96.00	82.00	0.00	30.00	30.54	62410.00	2.99	71.98	71.00
1	7	1	6743.00	2842.00	168.15	0	Spot (Block1, Row1, Column7)	152.07	166.50	40.88	0.04	0.27	60.00	59.07	60.00	10.78	0.01	0.18	100.00	100.00	0.00	106.50	92.07	120135.00	8.62	85.30	85.00
1	8	1	7043.00	2843.00	147.00	-50	Spot (Block1, Row1, Column8)	69.53	71.00	12.38	0.01	0.18	63.00	62.28	63.00	10.85	0.00	0.17	41.00	8.00	0.00	8.00	6.53	40953.00	0.67	59.27	59.00
1	1	2	4939.00	3129.00	147.00	-50	Spot (Block1, Row2, Column1)	73.14	72.00	8.20	0.01	0.11	72.00	74.47	72.00	29.51	0.01	0.40	0.00	0.00	0.00	0.00	1.14	42931.00	-0.05	75.37	74.00
1	2	2	5230.00	3127.00	144.45	0	Spot (Block1, Row2, Column2)	89.83	89.00	10.40	0.00	0.12	63.00	62.74	63.00	10.62	0.00	0.17	95.00	68.00	0.00	26.00	26.83	50936.00	2.55	76.50	76.00
1	3	2	5539.00	3133.00	147.00	-50	Spot (Block1, Row2, Column3)	63.67	64.00	8.95	0.00	0.14	59.00	58.84	59.00	9.17	0.00	0.16	28.00	5.00	0.00	5.00	4.67	37438.00	0.53	61.90	60.00
1	4	2	5838.00	3147.00	187.75	0	Spot (Block1, Row2, Column4)	72.66	72.00	8.45	0.00	0.12	57.00	56.92	57.00	9.64	0.00	0.17	75.00	28.00	0.00	15.00	15.66	72147.00	1.63	65.00	66.00
1	5	2	6136.00	3127.00	203.05	0	Spot (Block1, Row2, Column5)	72.39	73.00	9.51	0.00	0.13	56.00	55.64	56.00	9.84	0.00	0.18	74.00	38.00	0.00	17.00	16.39	84483.00	1.70	61.52	62.00
1	6	2	6440.00	3139.00	147.00	-50	Spot (Block1, Row2, Column6)	46.96	45.00	10.00	0.02	0.21	57.00	56.65	57.00	10.11	0.00	0.18	2.00	0.00	0.00	-12.00	-10.04	27658.00	-0.96	53.18	54.00
1	7	2	6740.00	3141.00	147.00	-50	Spot (Block1, Row2, Column7)	64.88	65.00	9.97	0.00	0.15	59.00	58.79	59.00	10.51	0.00	0.18	38.00	4.00	0.00	6.00	5.88	38344.00	0.58	62.68	64.00
1	8	2	7041.00	3143.00	147.00	-50	Spot (Block1, Row2, Column8)	57.52	57.00	9.64	0.00	0.17	60.00	58.77	60.00	10.63	0.01	0.18	10.00	0.00	0.00	-3.00	-2.48	33766.00	-0.12	55.20	54.00
1	1	3	4936.00	3424.00	160.35	0	Spot (Block1, Row3, Column1)	166.14	168.00	53.80	0.00	0.32	69.00	69.61	69.00	13.15	0.00	0.19	99.00	96.00	0.00	99.00	97.14	118129.00	7.34	96.54	93.00
1	2	3	5237.00	3431.00	147.00	-50	Spot (Block1, Row3, Column2)	62.60	63.00	8.19	0.00	0.13	60.00	59.66	60.00	10.27	0.00	0.17	17.00	0.00	0.00	3.00	2.60	37062.00	0.29	60.26	60.00
1	3	3	5520.00	3415.00	150.95	0	Spot (Block1, Row3, Column3)	72.08	72.00	8.63	0.00	0.12	59.00	57.76	59.00	8.68	0.01	0.15	69.00	33.00	0.00	13.00	13.08	44977.00	1.65	61.52	61.00
1	4	3	5834.00	3421.00	133.50	0	Spot (Block1, Row3, Column4)	70.28	70.00	8.89	0.00	0.13	57.00	56.13	57.00	9.16	0.01	0.16	64.00	31.00	0.00	13.00	13.28	33593.00	1.55	62.79	62.00
1	5	3	6160.00	3393.00	247.30	0	Spot (Block1, Row3, Column5)	61.23	62.00	10.06	0.01	0.16	54.00	53.37	54.00	9.37	0.01	0.18	45.00	12.00	0.00	8.00	7.23	108310.00	0.84	55.71	55.00
1	6	3	6438.00	3439.00	147.00	-50	Spot (Block1, Row3, Column6)	66.36	67.00	6.87	0.00	0.10	56.00	56.26	56.00	10.86	0.00	0.19	50.00	4.00	0.00	11.00	10.36	39151.00	0.93	63.76	65.00
1	7	3	6735.00	3445.00	158.75	0	Spot (Block1, Row3, Column7)	87.23	87.00	8.66	0.00	0.10	57.00	56.81	57.00	11.19	0.00	0.20	98.00	81.00	0.00	30.00	30.23	60366.00	2.72	75.26	74.00
1	8	3	7039.00	3443.00	147.00	-50	Spot (Block1, Row3, Column8)	62.28	63.00	8.99	0.00	0.14	56.00	55.85	56.00	10.52	0.00	0.19	32.00	2.00	0.00	7.00	6.28	36747.00	0.61	57.58	60.00
1	1	4	4931.00	3728.00	155.40	0	Spot (Block1, Row4, Column1)	284.61	227.00	160.49	0.10	0.56	69.00	69.75	69.00	13.64	0.00	0.20	99.00	94.00	0.00	158.00	215.61	188984.00	15.75	126.31	104.50
1	2	4	5207.00	3749.00	210.75	0	Spot (Block1, Row4, Column2)	74.08	75.00	11.82	0.01	0.16	59.00	58.14	59.00	11.56	0.01	0.20	58.00	27.00	0.00	16.00	15.08	93486.00	1.38	63.42	64.00
1	3	4	5526.00	3735.00	164.80	0	Spot (Block1, Row4, Column3)	140.72	125.00	52.30	0.05	0.37	58.00	57.75	58.00	10.18	0.00	0.18	98.00	96.00	0.00	67.00	82.72	106242.00	8.15	80.02	85.00
1	4	4	5836.00	3735.00	147.00	-50	Spot (Block1, Row4, Column4)	56.57	58.00	8.21	0.01	0.15	58.00	57.39	58.00	10.57	0.00	0.18	3.00	0.00	0.00	0.00	-1.43	33262.00	-0.08	58.64	60.00
1	5	4	6136.00	3737.00	147.00	-50	Spot (Block1, Row4, Column5)	50.99	50.00	8.95	0.01	0.18	54.00	53.84	54.00	10.43	0.00	0.19	7.00	0.00	0.00	-4.00	-3.01	30133.00	-0.27	49.56	50.00
