ATF	1.0
30	28
"Checksum_ImageFile=4f7957fbf15778c8fbc1887f0cea6c85"
"Checksum_ResultFile=b7583c3d75cd8c934c250145ed216ed7"
"Type=Mapix Results 2"
"DateTime=2021/04/01 17:56:03"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_17h55m51_5µm_785nmGain005.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_17h55m51_5µm_785nmGain005.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4725, 2625"
"JpegBrightness=38"
"JpegContrast=14"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=29.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=5"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4946.00	2827.00	154.85	0	Spot (Block1, Row1, Column1)	14663.47	12899.00	8359.88	0.06	0.57	104.00	115.39	104.00	88.20	0.05	0.76	100.00	100.00	0.00	12795.00	14559.47	9648566.00	164.95	2451.02	1794.50
1	2	1	5232.00	2829.00	152.30	0	Spot (Block1, Row1, Column2)	240.94	211.00	92.33	0.06	0.38	82.00	88.25	82.00	40.34	0.03	0.46	94.00	83.00	0.00	129.00	158.94	153960.00	3.78	129.27	111.00
1	3	1	5561.00	2831.00	173.55	0	Spot (Block1, Row1, Column3)	106.72	103.00	20.85	0.02	0.20	73.00	76.83	73.00	86.80	0.02	1.13	6.00	0.00	0.00	30.00	33.72	89963.00	0.34	84.50	85.00
1	4	1	5844.00	2834.00	147.00	-50	Spot (Block1, Row1, Column4)	78.70	79.00	14.94	0.00	0.19	72.00	72.23	72.00	12.47	0.00	0.17	38.00	13.00	0.00	7.00	6.70	46355.00	0.52	81.08	82.00
1	5	1	6141.00	2842.00	161.35	0	Spot (Block1, Row1, Column5)	168.26	172.00	61.93	0.01	0.37	70.00	69.73	70.00	12.11	0.00	0.17	100.00	96.00	0.00	102.00	98.26	120981.00	8.13	92.39	92.00
1	6	1	6442.00	2838.00	170.95	0	Spot (Block1, Row1, Column6)	119.87	113.00	25.50	0.03	0.21	69.00	69.50	69.00	11.86	0.00	0.17	99.00	92.00	0.00	44.00	50.87	97336.00	4.25	86.75	87.00
1	7	1	6737.00	2839.00	142.50	0	Spot (Block1, Row1, Column7)	324.05	302.50	91.04	0.03	0.28	73.00	72.90	73.00	13.91	0.00	0.19	100.00	100.00	0.00	229.50	251.05	179524.00	18.05	144.07	122.00
1	8	1	7044.00	2842.00	147.00	-50	Spot (Block1, Row1, Column8)	76.58	77.00	10.37	0.00	0.14	74.00	74.54	74.00	25.04	0.00	0.34	0.00	0.00	0.00	3.00	2.58	45029.00	0.08	74.46	72.00
1	1	2	4941.00	3128.00	147.00	-50	Spot (Block1, Row2, Column1)	95.32	95.00	9.28	0.00	0.10	93.00	98.11	93.00	52.10	0.02	0.53	0.00	0.00	0.00	2.00	2.32	55954.00	-0.05	89.53	89.00
1	2	2	5234.00	3129.00	129.75	0	Spot (Block1, Row2, Column2)	168.17	177.00	27.93	0.02	0.17	73.00	73.52	73.00	14.07	0.00	0.19	100.00	99.00	0.00	104.00	95.17	75171.00	6.72	103.88	104.00
1	3	2	5542.00	3132.00	147.00	-50	Spot (Block1, Row2, Column3)	65.46	65.00	7.38	0.00	0.11	66.00	65.07	66.00	10.85	0.01	0.17	7.00	0.00	0.00	-1.00	-0.54	39016.00	0.04	63.32	65.00
1	4	2	5839.00	3142.00	195.60	0	Spot (Block1, Row2, Column4)	87.37	87.00	11.02	0.00	0.13	65.00	63.52	65.00	10.94	0.01	0.17	85.00	51.00	0.00	22.00	22.37	94705.00	2.18	70.83	70.50
1	5	2	6163.00	3124.00	207.30	0	Spot (Block1, Row2, Column5)	82.24	80.00	14.16	0.01	0.17	63.00	62.07	63.00	10.35	0.01	0.17	73.00	39.00	0.00	17.00	19.24	100740.00	1.95	70.03	70.00
1	6	2	6519.00	3092.00	238.50	0	Spot (Block1, Row2, Column6)	65.59	66.00	9.00	0.00	0.14	63.00	62.44	63.00	10.75	0.00	0.17	19.00	1.00	0.00	3.00	2.59	107306.00	0.29	60.60	62.00
1	7	2	6742.00	3140.00	147.00	-50	Spot (Block1, Row2, Column7)	78.29	79.00	11.17	0.00	0.14	65.00	64.28	65.00	12.08	0.00	0.19	53.00	18.00	0.00	14.00	13.29	46036.00	1.16	67.02	70.00
1	8	2	7043.00	3142.00	147.00	-50	Spot (Block1, Row2, Column8)	61.06	62.00	9.28	0.01	0.15	66.00	64.97	66.00	11.92	0.01	0.18	2.00	0.00	0.00	-4.00	-4.94	36393.00	-0.33	57.91	59.00
1	1	3	4936.00	3427.00	153.10	0	Spot (Block1, Row3, Column1)	314.71	275.00	169.06	0.06	0.54	88.00	91.57	88.00	29.37	0.02	0.32	97.00	92.00	0.00	187.00	226.71	202041.00	7.60	156.07	126.00
