ATF	1.0
30	28
"Checksum_ImageFile=ec90e2f5ab885cc6b5b2328d1bd699dd"
"Checksum_ResultFile=471b9c339425bba2e250e4ccf7cac95b"
"Type=Mapix Results 2"
"DateTime=2021/04/01 18:03:59"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h03m47_785nmGain010.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h03m47_785nmGain010.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4730, 2625"
"JpegBrightness=35"
"JpegContrast=15"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=30.2"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4946.00	2828.00	155.15	0	Spot (Block1, Row1, Column1)	21360.15	18916.00	12255.57	0.05	0.57	126.00	145.03	126.00	138.31	0.06	0.95	100.00	100.00	0.45	18790.00	21234.15	14161777.00	153.38	3533.19	2358.00
1	2	1	5229.00	2831.00	149.15	0	Spot (Block1, Row1, Column2)	327.23	288.00	153.59	0.06	0.47	97.50	108.39	97.50	57.73	0.05	0.53	98.00	69.00	0.00	190.50	229.73	197976.00	3.79	171.19	142.00
1	3	1	5543.00	2821.00	158.10	0	Spot (Block1, Row1, Column3)	141.42	128.00	34.42	0.04	0.24	84.00	90.46	84.00	147.14	0.03	1.63	0.00	0.00	0.00	44.00	57.42	97719.00	0.35	105.32	101.00
1	4	1	5886.00	2808.00	189.00	0	Spot (Block1, Row1, Column4)	91.78	89.00	11.43	0.01	0.12	82.00	82.80	82.00	15.68	0.00	0.19	30.00	4.00	0.00	7.00	9.78	92604.00	0.57	85.55	83.00
1	5	1	6145.00	2834.00	165.65	0	Spot (Block1, Row1, Column5)	192.23	184.00	69.33	0.02	0.36	82.00	81.39	82.00	14.79	0.00	0.18	100.00	91.00	0.00	102.00	110.23	145905.00	7.50	105.06	104.00
1	6	1	6438.00	2846.00	151.30	0	Spot (Block1, Row1, Column6)	185.92	193.00	31.55	0.02	0.17	79.00	79.47	79.00	13.99	0.00	0.18	99.00	97.00	0.00	114.00	106.92	116388.00	7.61	115.23	111.00
1	7	1	6739.00	2841.00	142.95	0	Spot (Block1, Row1, Column7)	450.23	434.00	152.87	0.02	0.34	81.00	81.97	81.00	14.36	0.01	0.18	100.00	100.00	0.00	353.00	369.23	249875.00	25.64	177.13	172.50
1	8	1	7091.00	2804.00	182.60	0	Spot (Block1, Row1, Column8)	100.47	100.00	9.45	0.00	0.09	89.00	90.02	89.00	38.33	0.00	0.43	0.00	0.00	0.00	11.00	11.47	94038.00	0.27	93.07	94.00
1	1	2	4942.00	3129.00	147.00	-50	Spot (Block1, Row2, Column1)	111.52	111.00	10.54	0.00	0.09	113.00	119.75	113.00	93.49	0.03	0.78	0.00	0.00	0.00	-2.00	-1.48	65685.00	-0.09	110.89	110.00
1	2	2	5235.00	3131.00	126.10	0	Spot (Block1, Row2, Column2)	219.19	207.00	38.83	0.02	0.18	83.00	86.56	83.00	17.01	0.02	0.20	100.00	98.00	0.00	124.00	136.19	92281.00	7.80	130.40	121.00
1	3	2	5543.00	3133.00	147.00	-50	Spot (Block1, Row2, Column3)	77.94	78.00	8.53	0.00	0.11	74.00	74.54	74.00	10.25	0.00	0.14	22.00	2.00	0.00	4.00	3.94	45986.00	0.33	82.45	83.00
1	4	2	5852.00	3138.00	174.65	0	Spot (Block1, Row2, Column4)	114.05	111.00	19.91	0.01	0.17	71.00	71.52	71.00	10.49	0.00	0.15	99.00	90.00	0.00	40.00	43.05	96941.00	4.05	86.69	87.00
1	5	2	6135.00	3120.00	223.60	0	Spot (Block1, Row2, Column5)	98.30	96.00	16.00	0.01	0.16	71.00	71.74	71.00	10.79	0.00	0.15	87.00	58.00	0.00	25.00	27.30	141059.00	2.46	83.70	83.00
1	6	2	6444.00	3139.00	147.00	-50	Spot (Block1, Row2, Column6)	75.63	76.00	9.86	0.00	0.13	72.00	71.29	72.00	10.97	0.00	0.15	25.00	2.00	0.00	4.00	3.63	44546.00	0.40	78.35	77.00
1	7	2	6696.00	3151.00	196.35	0	Spot (Block1, Row2, Column7)	85.67	85.00	12.95	0.00	0.15	71.00	70.88	71.00	12.08	0.00	0.17	54.00	20.00	0.00	14.00	14.67	93294.00	1.22	77.59	77.00
1	8	2	7044.00	3143.00	147.00	-50	Spot (Block1, Row2, Column8)	69.14	69.00	8.19	0.00	0.12	75.00	75.07	75.00	12.38	0.00	0.16	0.00	0.00	0.00	-6.00	-5.86	40653.00	-0.48	70.67	70.00
1	1	3	4934.00	3424.00	155.90	0	Spot (Block1, Row3, Column1)	441.45	339.00	288.90	0.11	0.65	110.00	111.44	110.00	37.47	0.01	0.34	98.00	88.00	0.00	229.00	331.45	295331.00	8.81	194.28	151.00
1	2	3	5241.00	3431.00	147.00	-50	Spot (Block1, Row3, Column2)	80.51	80.00	9.19	0.00	0.11	79.00	80.55	79.00	13.34	0.01	0.17	11.00	0.00	0.00	1.00	1.51	47260.00	-0.00	81.49	80.00
1	3	3	5539.00	3426.00	138.15	0	Spot (Block1, Row3, Column3)	138.94	119.00	105.31	0.07	0.76	71.00	71.21	71.00	11.65	0.00	0.16	98.00	89.00	0.00	48.00	67.94	71554.00	5.82	98.85	96.00
1	4	3	5825.00	3412.00	183.10	0	Spot (Block1, Row3, Column4)	85.92	86.00	13.42	0.00	0.16	67.00	66.92	67.00	11.41	0.00	0.17	68.00	39.00	0.00	19.00	18.92	80678.00	1.66	75.53	75.00
1	5	3	6138.00	3429.00	142.50	0	Spot (Block1, Row3, Column5)	90.25	90.00	8.96	0.00	0.10	69.00	68.61	69.00	10.07	0.00	0.15	89.00	55.00	0.00	21.00	21.25	49907.00	2.15	79.27	79.00
1	6	3	6443.00	3443.00	178.25	0	Spot (Block1, Row3, Column6)	96.49	95.00	11.86	0.01	0.12	70.00	69.31	70.00	11.09	0.00	0.16	90.00	58.00	0.00	25.00	26.49	86071.00	2.45	80.74	81.00
