ATF	1.0
30	28
"Checksum_ImageFile=ca75fe37fec1a0982e6b1032c085afc0"
"Checksum_ResultFile=0be6a53d10ead6eeccc89775eb897b5d"
"Type=Mapix Results 2"
"DateTime=2021/04/01 18:11:56"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h11m44_785nmGain020.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h11m44_785nmGain020.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4725, 2630"
"JpegBrightness=33"
"JpegContrast=16"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=30.4"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=20"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4946.00	2827.00	155.85	0	Spot (Block1, Row1, Column1)	34705.63	32031.00	18381.62	0.03	0.53	184.00	205.90	184.00	232.36	0.05	1.13	100.00	100.00	8.85	31847.00	34521.63	23148708.00	148.48	5776.03	3681.00
1	2	1	5233.00	2828.00	146.55	0	Spot (Block1, Row1, Column2)	523.72	477.00	243.26	0.04	0.46	126.00	141.60	126.00	93.08	0.05	0.66	95.00	76.00	0.00	351.00	397.72	307949.00	4.11	246.01	198.50
1	3	1	5550.00	2828.00	150.80	0	Spot (Block1, Row1, Column3)	195.59	192.00	59.52	0.01	0.30	102.00	115.14	102.00	236.71	0.05	2.06	2.00	0.00	0.00	90.00	93.59	120872.00	0.34	141.80	127.00
1	4	1	5830.00	2836.00	148.05	0	Spot (Block1, Row1, Column4)	122.57	120.00	13.77	0.01	0.11	96.00	99.85	96.00	19.44	0.02	0.19	69.00	16.00	0.00	24.00	26.57	73299.00	1.17	107.34	109.00
1	5	1	6146.00	2837.00	153.95	0	Spot (Block1, Row1, Column5)	312.42	263.50	156.53	0.07	0.50	97.00	99.11	97.00	17.04	0.01	0.17	100.00	98.00	0.00	166.50	215.42	203072.00	12.52	145.40	132.00
1	6	1	6442.00	2843.00	148.85	0	Spot (Block1, Row1, Column6)	254.33	261.00	65.44	0.01	0.26	99.00	100.29	99.00	17.97	0.01	0.18	100.00	99.00	0.00	162.00	155.33	154633.00	8.57	150.14	134.50
1	7	1	6741.00	2840.00	143.05	0	Spot (Block1, Row1, Column7)	771.82	758.50	258.81	0.01	0.34	103.00	104.62	103.00	19.20	0.01	0.18	100.00	100.00	0.00	655.50	668.82	430673.00	34.74	285.62	205.00
1	8	1	7044.00	2845.00	147.00	-50	Spot (Block1, Row1, Column8)	101.21	103.00	18.00	0.01	0.18	105.00	109.25	105.00	89.75	0.02	0.82	0.00	0.00	0.00	-2.00	-3.79	59512.00	-0.09	101.51	100.00
1	1	2	4940.00	3131.00	147.00	-50	Spot (Block1, Row2, Column1)	143.39	143.00	15.25	0.00	0.11	155.00	166.98	155.00	159.11	0.03	0.95	0.00	0.00	0.00	-12.00	-11.61	84885.00	-0.15	142.04	143.50
1	2	2	5235.00	3134.00	132.00	0	Spot (Block1, Row2, Column2)	310.29	296.00	77.10	0.02	0.25	106.00	109.46	106.00	24.06	0.01	0.22	100.00	100.00	0.00	190.00	204.29	144906.00	8.35	176.41	180.00
1	3	2	5541.00	3135.00	147.00	-50	Spot (Block1, Row2, Column3)	93.58	93.00	9.35	0.00	0.10	90.00	90.48	90.00	13.56	0.00	0.15	16.00	0.00	0.00	3.00	3.58	55214.00	0.23	95.45	93.00
1	4	2	5848.00	3132.00	155.55	0	Spot (Block1, Row2, Column4)	180.40	185.00	27.12	0.01	0.15	84.00	84.92	84.00	12.31	0.00	0.14	100.00	97.00	0.00	101.00	96.40	119428.00	7.76	120.08	114.00
1	5	2	6148.00	3134.00	196.20	0	Spot (Block1, Row2, Column5)	155.47	153.00	31.64	0.01	0.20	85.00	84.70	85.00	11.57	0.00	0.14	99.00	95.00	0.00	68.00	70.47	168687.00	6.12	108.22	104.00
1	6	2	6441.00	3141.00	147.00	-50	Spot (Block1, Row2, Column6)	90.75	92.00	11.45	0.01	0.13	85.00	84.90	85.00	11.82	0.00	0.14	32.00	4.00	0.00	7.00	5.75	53541.00	0.49	87.46	89.00
