ATF	1.0
30	28
"Checksum_ImageFile=1c27d2104ddac81e4aca045fc87c1132"
"Checksum_ResultFile=12d7f503049b97dc976f398b31ddd34a"
"Type=Mapix Results 2"
"DateTime=2021/04/01 18:19:53"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h19m41_5µm_785nmGain025.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h19m41_5µm_785nmGain025.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4730, 2630"
"JpegBrightness=37"
"JpegContrast=14"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=30.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=25"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4946.00	2827.00	156.40	0	Spot (Block1, Row1, Column1)	38373.95	35857.00	19370.48	0.03	0.50	197.00	227.62	197.00	267.63	0.06	1.18	100.00	100.00	17.56	35660.00	38176.95	25787412.00	142.53	6124.52	4053.50
1	2	1	5229.00	2826.00	156.75	0	Spot (Block1, Row1, Column2)	554.98	476.00	330.29	0.07	0.60	137.00	159.74	137.00	106.49	0.07	0.67	88.00	63.00	0.00	339.00	417.98	375723.00	3.71	262.43	213.50
1	3	1	5542.00	2831.00	154.65	0	Spot (Block1, Row1, Column3)	219.57	197.00	64.21	0.05	0.29	112.00	128.43	112.00	331.93	0.06	2.58	0.00	0.00	0.00	85.00	107.57	144260.00	0.27	153.95	134.00
1	4	1	5860.00	2826.00	144.80	0	Spot (Block1, Row1, Column4)	126.58	122.00	15.97	0.02	0.13	107.00	111.95	107.00	23.30	0.02	0.21	28.00	10.00	0.00	15.00	19.58	72401.00	0.63	119.43	119.00
1	5	1	6149.00	2840.00	159.65	0	Spot (Block1, Row1, Column5)	333.08	271.00	176.44	0.09	0.53	105.00	107.74	105.00	18.88	0.01	0.18	99.00	94.00	0.00	166.00	228.08	233489.00	11.94	149.94	143.50
1	6	1	6441.00	2842.00	151.40	0	Spot (Block1, Row1, Column6)	300.55	298.00	64.57	0.00	0.21	103.00	104.86	103.00	17.30	0.01	0.17	99.00	99.00	0.00	195.00	197.55	188446.00	11.31	166.01	175.00
1	7	1	6738.00	2840.00	144.50	0	Spot (Block1, Row1, Column7)	844.41	826.00	323.81	0.01	0.38	108.00	110.91	108.00	21.24	0.01	0.19	100.00	100.00	0.00	718.00	736.41	482159.00	34.54	269.21	255.50
1	8	1	7046.00	2844.00	147.00	-50	Spot (Block1, Row1, Column8)	128.63	127.00	14.64	0.01	0.11	116.00	122.10	116.00	66.40	0.02	0.54	0.00	0.00	0.00	11.00	12.63	75632.00	0.10	115.64	117.00
1	1	2	4943.00	3131.00	147.00	-50	Spot (Block1, Row2, Column1)	160.16	161.00	15.85	0.00	0.10	172.00	182.86	172.00	181.78	0.03	0.99	0.00	0.00	0.00	-11.00	-11.84	94497.00	-0.12	166.54	171.00
1	2	2	5232.00	3131.00	132.65	0	Spot (Block1, Row2, Column2)	374.02	389.00	109.52	0.02	0.29	117.00	122.64	117.00	29.54	0.02	0.24	100.00	99.00	0.00	272.00	257.02	176910.00	8.51	195.23	191.50
1	3	2	5543.00	3134.00	147.00	-50	Spot (Block1, Row2, Column3)	97.85	98.00	9.94	0.00	0.10	98.00	99.13	98.00	15.25	0.00	0.15	6.00	0.00	0.00	0.00	-0.15	57729.00	-0.08	96.79	97.00
1	4	2	5842.00	3136.00	172.55	0	Spot (Block1, Row2, Column4)	178.89	188.00	27.41	0.02	0.15	93.00	93.90	93.00	17.59	0.00	0.19	98.00	89.00	0.00	95.00	85.89	148657.00	4.83	118.96	116.00
1	5	2	6152.00	3130.00	209.85	0	Spot (Block1, Row2, Column5)	168.68	161.00	51.01	0.02	0.30	91.00	90.90	91.00	11.45	0.00	0.13	97.00	92.00	0.00	70.00	77.68	211361.00	6.80	111.08	109.50
1	6	2	6471.00	3130.00	138.50	0	Spot (Block1, Row2, Column6)	99.92	99.00	7.01	0.00	0.07	90.00	90.44	90.00	10.97	0.00	0.12	45.00	5.00	0.00	9.00	9.92	51860.00	0.86	93.47	94.00
1	7	2	6741.00	3147.00	161.40	0	Spot (Block1, Row2, Column7)	123.78	121.00	17.80	0.01	0.14	91.00	92.02	91.00	13.46	0.00	0.15	87.00	57.00	0.00	30.00	32.78	89372.00	2.36	103.48	103.00
