ATF	1.0
30	28
"Checksum_ImageFile=78082db91162349540478b6cdb95b5d3"
"Checksum_ResultFile=4a8a1e6687c5ca963fb5a9ce6891d842"
"Type=Mapix Results 2"
"DateTime=2021/04/01 18:27:50"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h27m38_5µm_785nmGain050.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h27m38_5µm_785nmGain050.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4730, 2630"
"JpegBrightness=28"
"JpegContrast=19"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=30.7"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=50"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4946.00	2828.00	159.30	0	Spot (Block1, Row1, Column1)	49819.44	59636.00	17609.99	0.08	0.35	311.00	362.25	311.00	400.22	0.07	1.10	100.00	100.00	45.38	59325.00	49508.44	35023340.00	123.58	9045.05	6204.50
1	2	1	5232.00	2830.00	149.55	0	Spot (Block1, Row1, Column2)	950.59	887.50	469.38	0.03	0.49	222.00	247.79	222.00	176.52	0.05	0.71	92.00	72.00	0.00	665.50	728.59	583664.00	3.98	458.86	328.00
1	3	1	5551.00	2829.00	145.85	0	Spot (Block1, Row1, Column3)	361.61	354.00	112.43	0.01	0.31	172.00	200.43	172.00	558.94	0.07	2.79	0.00	0.00	0.00	182.00	189.61	209008.00	0.29	237.07	214.50
1	4	1	5842.00	2825.00	142.65	0	Spot (Block1, Row1, Column4)	214.29	211.00	23.03	0.01	0.11	164.00	164.71	164.00	34.19	0.00	0.21	74.00	22.00	0.00	47.00	50.29	119146.00	1.45	187.76	188.00
1	5	1	6145.00	2836.00	152.80	0	Spot (Block1, Row1, Column5)	580.79	503.00	288.93	0.06	0.50	155.00	158.64	155.00	31.08	0.01	0.20	99.00	98.00	0.00	348.00	425.79	374029.00	13.58	238.57	220.00
1	6	1	6441.00	2843.00	142.85	0	Spot (Block1, Row1, Column6)	500.71	487.00	118.36	0.01	0.24	152.00	157.90	152.00	31.51	0.02	0.20	100.00	100.00	0.00	335.00	348.71	276895.00	10.88	255.32	233.00
1	7	1	6738.00	2839.00	143.50	0	Spot (Block1, Row1, Column7)	1429.77	1380.50	464.17	0.02	0.32	159.00	165.32	159.00	34.56	0.02	0.21	100.00	100.00	0.00	1221.50	1270.77	803529.00	36.58	510.04	394.00
1	8	1	7045.00	2845.00	147.00	-50	Spot (Block1, Row1, Column8)	189.64	189.00	15.38	0.00	0.08	174.00	185.08	174.00	150.19	0.03	0.81	0.00	0.00	0.00	15.00	15.64	112456.00	0.03	185.91	186.00
1	1	2	4942.00	3132.00	147.00	-50	Spot (Block1, Row2, Column1)	258.44	257.00	14.66	0.00	0.06	269.00	285.86	269.00	216.16	0.03	0.76	0.00	0.00	0.00	-12.00	-10.56	154032.00	-0.13	253.40	253.00
1	2	2	5235.00	3131.00	120.00	0	Spot (Block1, Row2, Column2)	658.55	637.00	177.28	0.01	0.27	175.00	182.59	175.00	45.24	0.02	0.25	100.00	100.00	0.00	462.00	483.55	246956.00	10.52	338.43	305.00
1	3	2	5503.00	3080.00	105.60	0	Spot (Block1, Row2, Column3)	164.51	165.00	9.25	0.00	0.06	142.00	147.05	142.00	26.00	0.02	0.18	32.00	0.00	0.00	23.00	22.51	47049.00	0.67	154.05	153.00
1	4	2	5848.00	3140.00	171.05	0	Spot (Block1, Row2, Column4)	286.34	297.00	53.27	0.02	0.19	132.00	135.45	132.00	36.42	0.01	0.27	99.00	90.00	0.00	165.00	154.34	233940.00	4.14	183.98	184.00
1	5	2	6147.00	3131.00	202.65	0	Spot (Block1, Row2, Column5)	260.60	259.00	65.70	0.00	0.25	127.00	128.66	127.00	17.67	0.01	0.14	98.00	98.00	0.00	132.00	133.60	303600.00	7.47	168.70	170.00
1	6	2	6443.00	3141.00	147.00	-50	Spot (Block1, Row2, Column6)	138.93	140.00	13.13	0.00	0.09	126.00	127.10	126.00	16.40	0.00	0.13	42.00	6.00	0.00	14.00	12.93	81971.00	0.72	126.98	126.00
1	7	2	6739.00	3141.00	169.15	0	Spot (Block1, Row2, Column7)	196.36	192.00	26.20	0.01	0.13	127.00	130.06	127.00	20.19	0.01	0.16	96.00	92.00	0.00	65.00	69.36	156501.00	3.28	151.45	148.00
1	8	2	7043.00	3145.00	147.00	-50	Spot (Block1, Row2, Column8)	139.14	138.00	12.78	0.00	0.09	137.00	139.77	137.00	21.31	0.01	0.15	10.00	0.00	0.00	1.00	2.14	81955.00	-0.03	138.71	138.00
1	1	3	4934.00	3427.00	151.75	0	Spot (Block1, Row3, Column1)	1405.48	1103.00	1005.62	0.11	0.72	233.00	257.48	233.00	133.79	0.04	0.52	97.00	90.00	0.00	870.00	1172.48	888261.00	8.58	596.36	350.00
1	2	3	5247.00	3432.00	159.95	0	Spot (Block1, Row3, Column2)	189.98	190.00	15.95	0.00	0.08	159.00	163.14	159.00	37.81	0.01	0.23	33.00	1.00	0.00	31.00	30.98	135269.00	0.71	171.64	169.00
1	3	3	5534.00	3424.00	143.50	0	Spot (Block1, Row3, Column3)	364.86	275.00	466.71	0.12	1.28	130.00	132.61	130.00	18.96	0.01	0.14	100.00	100.00	0.00	145.00	234.86	203955.00	12.25	190.58	191.00
1	4	3	5848.00	3453.00	188.90	0	Spot (Block1, Row3, Column4)	186.71	186.00	33.78	0.00	0.18	123.00	126.04	123.00	36.42	0.01	0.29	75.00	38.00	0.00	63.00	63.71	188205.00	1.67	146.11	143.00
1	5	3	6151.00	3432.00	166.30	0	Spot (Block1, Row3, Column5)	177.84	179.00	18.14	0.00	0.10	119.00	120.25	119.00	14.73	0.00	0.12	97.00	92.00	0.00	60.00	58.84	135867.00	3.91	144.17	138.00
1	6	3	6440.00	3442.00	184.80	0	Spot (Block1, Row3, Column6)	211.32	214.00	27.93	0.01	0.13	116.00	116.73	116.00	14.04	0.00	0.12	98.00	97.00	0.00	98.00	95.32	202440.00	6.74	147.77	144.50
1	7	3	6755.00	3448.00	155.45	0	Spot (Block1, Row3, Column7)	452.36	398.00	208.36	0.06	0.46	120.00	120.86	120.00	16.30	0.00	0.13	100.00	100.00	0.00	278.00	332.36	299917.00	20.34	189.33	191.50
1	8	3	7067.00	3458.00	159.10	0	Spot (Block1, Row3, Column8)	193.04	183.00	39.12	0.02	0.20	134.00	135.99	134.00	18.80	0.01	0.14	94.00	69.00	0.00	49.00	59.04	135126.00	3.03	155.87	156.50
1	1	4	4933.00	3728.00	153.40	0	Spot (Block1, Row4, Column1)	2824.55	2230.00	2011.31	0.10	0.71	268.00	271.60	268.00	89.60	0.01	0.33	99.00	98.00	0.00	1962.00	2556.55	1824659.00	28.49	910.24	472.00
1	2	4	5230.00	3735.00	181.25	0	Spot (Block1, Row4, Column2)	289.38	278.00	57.94	0.02	0.20	163.00	167.72	163.00	44.64	0.01	0.27	95.00	73.00	0.00	115.00	126.38	265655.00	2.73	206.19	205.00
1	3	4	5539.00	3735.00	150.40	0	Spot (Block1, Row4, Column3)	1363.69	1248.00	810.89	0.04	0.59	128.00	131.78	128.00	20.74	0.01	0.16	100.00	100.00	0.00	1120.00	1235.69	840032.00	59.39	378.55	283.00
1	4	4	5839.00	3738.00	147.00	-50	Spot (Block1, Row4, Column4)	117.32	117.00	8.13	0.00	0.07	120.00	120.84	120.00	16.09	0.00	0.13	1.00	0.00	0.00	-3.00	-2.68	69334.00	-0.22	116.03	115.00
1	5	4	6121.00	3723.00	112.45	0	Spot (Block1, Row4, Column5)	145.60	139.00	20.04	0.02	0.14	116.00	117.27	116.00	16.78	0.00	0.14	68.00	32.00	0.00	23.00	29.60	47756.00	1.69	134.21	131.00
1	6	4	6455.00	3737.00	212.25	0	Spot (Block1, Row4, Column6)	184.22	188.00	21.90	0.01	0.12	114.00	113.99	114.00	13.70	0.00	0.12	98.00	93.00	0.00	74.00	70.22	237281.00	5.13	135.87	134.00
1	7	4	6737.00	3743.00	158.80	0	Spot (Block1, Row4, Column7)	357.40	305.50	169.12	0.07	0.47	119.00	119.44	119.00	16.39	0.00	0.14	100.00	98.00	0.00	186.50	238.40	250177.00	14.52	169.16	175.50
1	8	4	7042.00	3749.00	161.20	0	Spot (Block1, Row4, Column8)	420.59	418.00	107.21	0.00	0.25	132.00	133.03	132.00	19.73	0.00	0.15	100.00	100.00	0.00	286.00	288.59	301565.00	14.57	197.71	191.00
1	1	5	4926.00	4033.00	147.90	0	Spot (Block1, Row5, Column1)	6046.16	4911.00	4620.88	0.09	0.76	291.00	303.03	291.00	118.31	0.02	0.39	100.00	100.00	0.00	4620.00	5755.16	3621652.00	48.54	1732.99	683.00
1	2	5	5223.00	4029.00	158.05	0	Spot (Block1, Row5, Column2)	503.34	457.00	191.01	0.04	0.38	170.00	178.88	170.00	75.58	0.02	0.42	94.00	86.00	0.00	287.00	333.34	345798.00	4.29	267.88	219.50
1	3	5	5532.00	4038.00	184.60	0	Spot (Block1, Row5, Column3)	217.01	213.00	39.73	0.01	0.18	130.00	133.89	130.00	23.60	0.01	0.18	94.00	86.00	0.00	83.00	87.01	206593.00	3.52	157.64	156.00
1	4	5	5832.00	4048.00	157.85	0	Spot (Block1, Row5, Column4)	174.62	174.00	25.49	0.00	0.15	123.00	124.48	123.00	17.04	0.01	0.14	92.00	76.00	0.00	51.00	51.62	120141.00	2.94	140.97	140.00
1	5	5	6143.00	4038.00	143.70	0	Spot (Block1, Row5, Column5)	2146.26	2030.00	886.11	0.02	0.41	122.00	124.44	122.00	21.74	0.01	0.17	100.00	100.00	0.00	1908.00	2024.26	1199758.00	93.01	635.27	474.00
1	6	5	6446.00	4063.00	192.35	0	Spot (Block1, Row5, Column6)	123.18	123.00	12.33	0.00	0.10	115.00	115.71	115.00	15.25	0.00	0.13	26.00	5.00	0.00	8.00	8.18	128728.00	0.49	117.92	118.00
1	7	5	6745.00	4040.00	179.90	0	Spot (Block1, Row5, Column7)	201.49	195.00	30.62	0.01	0.15	118.00	118.90	118.00	15.81	0.00	0.13	100.00	97.00	0.00	77.00	83.49	181740.00	5.22	147.42	147.00
1	8	5	7047.00	4044.00	148.30	0	Spot (Block1, Row5, Column8)	797.06	715.00	403.23	0.05	0.51	134.00	138.33	134.00	22.19	0.01	0.16	100.00	100.00	0.00	581.00	663.06	479031.00	29.69	261.04	254.00
1	1	6	4917.00	4330.00	199.45	0	Spot (Block1, Row6, Column1)	2572.44	1961.00	1795.45	0.12	0.70	343.00	336.73	343.00	119.99	0.01	0.36	100.00	100.00	0.00	1618.00	2229.44	2911998.00	18.63	795.90	767.50
1	2	6	5208.00	4329.00	189.10	0	Spot (Block1, Row6, Column2)	471.25	434.00	126.30	0.04	0.27	174.00	190.02	174.00	78.83	0.04	0.41	100.00	89.00	0.00	260.00	297.25	474546.00	3.57	279.29	283.00
1	3	6	5530.00	4338.00	144.90	0	Spot (Block1, Row6, Column3)	1329.42	1271.00	629.30	0.02	0.47	136.00	139.24	136.00	21.93	0.01	0.16	100.00	100.00	0.00	1135.00	1193.42	759099.00	54.26	395.90	284.00
1	4	6	5841.00	4337.00	159.85	0	Spot (Block1, Row6, Column4)	207.03	206.00	19.21	0.00	0.09	131.00	132.89	131.00	19.26	0.01	0.14	99.00	98.00	0.00	75.00	76.03	146162.00	3.85	161.52	167.00
1	5	6	6142.00	4335.00	141.55	0	Spot (Block1, Row6, Column5)	2664.21	2531.00	1000.80	0.02	0.38	129.00	133.30	129.00	23.58	0.01	0.18	100.00	100.00	0.00	2402.00	2535.21	1446665.00	107.35	781.18	649.00
1	6	6	6464.00	4350.00	209.75	0	Spot (Block1, Row6, Column6)	147.37	147.00	16.88	0.00	0.11	126.00	128.82	126.00	20.81	0.01	0.16	50.00	14.00	0.00	21.00	21.37	184656.00	0.89	133.18	131.50
1	7	6	6738.00	4345.00	153.30	0	Spot (Block1, Row6, Column7)	650.43	532.00	321.25	0.09	0.49	128.00	131.54	128.00	22.62	0.01	0.17	100.00	100.00	0.00	404.00	522.43	421478.00	22.94	237.23	208.00
1	8	6	7046.00	4345.00	146.80	0	Spot (Block1, Row6, Column8)	1055.39	1018.00	527.35	0.02	0.50	149.00	159.81	149.00	39.43	0.03	0.25	100.00	100.00	0.00	869.00	906.39	619511.00	22.71	350.77	286.00
