ATF	1.0
30	28
"Checksum_ImageFile=224d275084cb05d392dbcfcf019944e1"
"Checksum_ResultFile=dc05a8ef854e7ffc2a3c79855eed011e"
"Type=Mapix Results 2"
"DateTime=2021/04/01 18:35:47"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h35m35_5µm_785nmGain075.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h35m35_5µm_785nmGain075.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4730, 2625"
"JpegBrightness=18"
"JpegContrast=30"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=30.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=75"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4946.00	2827.00	162.50	0	Spot (Block1, Row1, Column1)	53915.29	65535.00	15276.10	0.08	0.28	416.00	476.71	416.00	566.64	0.06	1.19	100.00	100.00	53.84	65119.00	53499.29	39358508.00	94.31	10013.47	6987.50
1	2	1	5231.00	2830.00	151.65	0	Spot (Block1, Row1, Column2)	1228.17	1057.50	612.59	0.06	0.50	294.00	325.68	294.00	211.62	0.04	0.65	94.00	75.00	0.00	763.50	934.17	776201.00	4.26	576.65	462.00
1	3	1	5547.00	2826.00	155.50	0	Spot (Block1, Row1, Column3)	426.91	395.00	132.49	0.03	0.31	232.00	278.00	232.00	830.48	0.08	2.99	0.00	0.00	0.00	163.00	194.91	283893.00	0.18	299.35	284.00
1	4	1	5832.00	2832.00	138.20	0	Spot (Block1, Row1, Column4)	264.93	270.00	28.11	0.01	0.11	214.00	223.64	214.00	47.62	0.02	0.21	60.00	4.00	0.00	56.00	50.93	137764.00	0.87	234.70	233.00
1	5	1	6144.00	2837.00	154.45	0	Spot (Block1, Row1, Column5)	731.02	662.50	359.34	0.04	0.49	209.00	215.40	209.00	38.29	0.01	0.18	100.00	99.00	0.00	453.50	522.02	478090.00	13.47	327.95	299.00
1	6	1	6441.00	2841.00	146.00	0	Spot (Block1, Row1, Column6)	631.23	625.00	131.16	0.00	0.21	203.00	210.89	203.00	37.82	0.02	0.18	100.00	100.00	0.00	422.00	428.23	366115.00	11.11	348.77	312.00
1	7	1	6740.00	2840.00	145.10	0	Spot (Block1, Row1, Column7)	1816.39	1758.50	629.30	0.01	0.35	206.00	216.35	206.00	40.05	0.02	0.19	100.00	100.00	0.00	1552.50	1610.39	1042610.00	39.95	630.07	566.00
1	8	1	7045.00	2841.00	147.00	-50	Spot (Block1, Row1, Column8)	254.51	255.00	32.89	0.00	0.13	227.00	244.94	227.00	170.64	0.03	0.70	0.00	0.00	0.00	28.00	27.51	149652.00	0.06	245.10	243.00
1	1	2	4942.00	3127.00	147.00	-50	Spot (Block1, Row2, Column1)	327.92	326.00	16.40	0.00	0.05	354.00	384.58	354.00	317.40	0.04	0.83	0.00	0.00	0.00	-28.00	-26.08	195438.00	-0.18	343.07	343.50
1	2	2	5236.00	3131.00	122.20	0	Spot (Block1, Row2, Column2)	821.93	783.00	154.22	0.02	0.19	230.00	246.22	230.00	62.19	0.03	0.25	100.00	100.00	0.00	553.00	591.93	323017.00	9.26	449.17	438.50
1	3	2	5553.00	3076.00	216.65	0	Spot (Block1, Row2, Column3)	197.16	197.00	13.16	0.00	0.07	190.00	192.83	190.00	26.26	0.01	0.14	6.00	0.00	0.00	7.00	7.16	264783.00	0.16	190.79	192.00
1	4	2	5849.00	3136.00	158.85	0	Spot (Block1, Row2, Column4)	409.85	395.00	71.96	0.02	0.18	180.00	182.26	180.00	35.95	0.01	0.20	100.00	99.00	0.00	215.00	229.85	284023.00	6.33	262.07	267.00
1	5	2	6150.00	3133.00	194.50	0	Spot (Block1, Row2, Column5)	334.80	321.00	64.77	0.02	0.19	177.00	178.38	177.00	19.61	0.00	0.11	100.00	99.00	0.00	144.00	157.80	358234.00	7.98	232.81	227.00
1	6	2	6443.00	3137.00	147.00	-50	Spot (Block1, Row2, Column6)	188.39	191.00	16.42	0.01	0.09	175.00	173.93	175.00	18.31	0.00	0.11	43.00	4.00	0.00	16.00	13.39	112282.00	0.79	177.08	177.50
1	7	2	6728.00	3150.00	157.15	0	Spot (Block1, Row2, Column7)	246.23	246.50	32.83	0.00	0.13	173.00	173.53	173.00	22.25	0.00	0.13	94.00	78.00	0.00	73.50	73.23	168420.00	3.27	202.61	202.00
1	8	2	7043.00	3141.00	147.00	-50	Spot (Block1, Row2, Column8)	188.28	187.00	16.63	0.00	0.09	185.00	187.94	185.00	25.29	0.01	0.13	10.00	0.00	0.00	2.00	3.28	110523.00	0.01	193.27	190.50
