ATF	1.0
30	28
"Checksum_ImageFile=1f3fb6c758f800b00feb8026c99b067b"
"Checksum_ResultFile=997dda89540c0b3e906ba0b8c6d8f60c"
"Type=Mapix Results 2"
"DateTime=2021/04/01 18:43:46"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h43m33_5µm_785nmGain100.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0136_12860A01-D12_IgGgamma_785\Joseph_2021-04-01_18h43m33_5µm_785nmGain100.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4730, 2630"
"JpegBrightness=9"
"JpegContrast=62"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=30.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=100"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4947.00	2828.00	165.50	0	Spot (Block1, Row1, Column1)	56991.80	65535.00	13333.93	0.06	0.23	622.00	688.62	622.00	538.84	0.04	0.78	100.00	100.00	61.14	64913.00	56369.80	42972216.00	104.49	12329.69	9212.00
1	2	1	5233.00	2829.00	148.15	0	Spot (Block1, Row1, Column2)	1648.80	1523.50	693.79	0.03	0.42	449.00	508.80	449.00	286.01	0.05	0.56	97.00	80.00	0.00	1074.50	1199.80	982684.00	3.99	842.50	680.00
1	3	1	5545.00	2830.00	149.50	0	Spot (Block1, Row1, Column3)	669.55	660.00	152.53	0.01	0.23	379.00	431.37	379.00	826.42	0.06	1.92	0.00	0.00	0.00	281.00	290.55	407759.00	0.29	487.16	464.00
1	4	1	5851.00	2829.00	163.30	0	Spot (Block1, Row1, Column4)	441.86	438.00	27.22	0.00	0.06	365.00	376.57	365.00	58.84	0.01	0.16	68.00	9.00	0.00	73.00	76.86	326977.00	1.11	404.98	403.00
1	5	1	6144.00	2837.00	149.95	0	Spot (Block1, Row1, Column5)	1008.52	950.00	379.80	0.03	0.38	360.00	367.32	360.00	50.17	0.01	0.14	100.00	100.00	0.00	590.00	648.52	621250.00	12.78	539.41	495.00
1	6	1	6442.00	2844.00	143.70	0	Spot (Block1, Row1, Column6)	900.83	889.00	147.72	0.01	0.16	362.00	366.90	362.00	45.02	0.01	0.12	100.00	100.00	0.00	527.00	538.83	507169.00	11.86	529.77	492.50
1	7	1	6741.00	2840.00	145.05	0	Spot (Block1, Row1, Column7)	2305.52	2265.00	675.48	0.01	0.29	379.00	380.00	379.00	52.78	0.00	0.14	100.00	100.00	0.00	1886.00	1926.52	1323371.00	36.48	883.26	771.00
1	8	1	7045.00	2844.00	147.00	-50	Spot (Block1, Row1, Column8)	415.66	416.00	20.03	0.00	0.05	398.00	415.21	398.00	196.78	0.02	0.47	0.00	0.00	0.00	18.00	17.66	244411.00	0.00	406.99	410.00
1	1	2	4942.00	3131.00	147.00	-50	Spot (Block1, Row2, Column1)	507.58	504.00	23.74	0.00	0.05	549.00	585.89	549.00	362.75	0.03	0.62	0.00	0.00	0.00	-45.00	-41.42	300486.00	-0.22	511.19	509.00
1	2	2	5234.00	3130.00	125.15	0	Spot (Block1, Row2, Column2)	1095.27	1018.00	257.08	0.03	0.23	397.00	413.52	397.00	76.23	0.02	0.18	100.00	100.00	0.00	621.00	698.27	461109.00	8.94	640.62	594.50
