ATF	1.0
30	28
"Checksum_ImageFile=8671359337f015cac304236f9d3a1c1f"
"Checksum_ResultFile=9c40f1a49e55b3352ee29546612d3d6f"
"Type=Mapix Results 2"
"DateTime=2021/04/02 11:12:20"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h12m08_5µm_785nmGain000.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h12m08_5µm_785nmGain000.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=4500, 2400"
"ImageSize=16300.0, 70500.0"
"JpegOrigin=4665, 2815"
"JpegBrightness=47"
"JpegContrast=19"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=25.3"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=0"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4884.00	3011.00	151.55	0	Spot (Block1, Row1, Column1)	1804.03	1784.00	774.07	0.00	0.43	88.00	90.58	88.00	16.65	0.01	0.18	100.00	100.00	0.00	1696.00	1716.03	1138342.00	102.94	500.35	359.00
1	2	1	5173.00	3014.00	162.90	0	Spot (Block1, Row1, Column2)	172.02	181.00	29.03	0.02	0.17	82.00	83.39	82.00	14.42	0.01	0.17	99.00	97.00	0.00	99.00	90.02	126432.00	6.15	109.88	110.00
1	3	1	5482.00	3023.00	151.20	0	Spot (Block1, Row1, Column3)	563.26	484.00	315.28	0.07	0.56	80.00	81.09	80.00	11.00	0.01	0.14	100.00	100.00	0.00	404.00	483.26	353164.00	43.82	168.75	168.00
1	4	1	5780.00	3026.00	167.85	0	Spot (Block1, Row1, Column4)	159.56	164.00	32.96	0.01	0.21	82.00	83.11	82.00	13.19	0.01	0.16	97.00	93.00	0.00	82.00	77.56	124455.00	5.80	100.62	103.00
1	5	1	6081.00	3021.00	151.05	0	Spot (Block1, Row1, Column5)	1499.25	1227.50	1017.30	0.09	0.68	81.00	82.71	81.00	15.34	0.01	0.19	100.00	100.00	0.00	1146.50	1418.25	938533.00	92.34	321.64	264.50
1	6	1	6375.00	3024.00	147.75	0	Spot (Block1, Row1, Column6)	666.92	601.00	320.36	0.05	0.48	81.00	83.37	81.00	17.79	0.01	0.21	100.00	100.00	0.00	520.00	585.92	396817.00	32.81	208.03	180.00
1	7	1	6672.00	3024.00	145.50	0	Spot (Block1, Row1, Column7)	4212.91	3849.00	1979.50	0.04	0.47	81.00	84.49	81.00	20.66	0.02	0.24	100.00	100.00	0.00	3768.00	4131.91	2422426.00	199.80	928.97	776.00
1	8	1	6983.00	3023.00	170.30	0	Spot (Block1, Row1, Column8)	194.40	197.00	40.67	0.01	0.21	78.00	79.14	78.00	15.26	0.01	0.19	100.00	98.00	0.00	119.00	116.40	157270.00	7.55	109.03	108.00
1	1	2	4880.00	3316.00	147.00	-50	Spot (Block1, Row2, Column1)	75.45	76.00	8.38	0.00	0.11	83.00	84.71	83.00	16.11	0.01	0.19	0.00	0.00	0.00	-7.00	-7.55	44590.00	-0.57	78.51	78.00
1	2	2	5179.00	3315.00	128.15	0	Spot (Block1, Row2, Column2)	769.15	726.00	243.57	0.03	0.32	79.00	80.10	79.00	13.32	0.01	0.17	100.00	100.00	0.00	647.00	690.15	333044.00	51.75	241.21	245.50
