ATF	1.0
30	28
"Checksum_ImageFile=3a89b3ebf857f257b3e7c79be52b4d5f"
"Checksum_ResultFile=38874c4ac25af685fdafd5391cc96b5d"
"Type=Mapix Results 2"
"DateTime=2021/04/02 11:20:12"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h20m00_5µm_785nmGain001.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h20m00_5µm_785nmGain001.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4665, 2810"
"JpegBrightness=44"
"JpegContrast=12"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=26.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=1"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4883.00	3008.00	153.50	0	Spot (Block1, Row1, Column1)	7234.67	6465.00	3678.22	0.05	0.51	174.00	184.58	174.00	59.44	0.03	0.32	100.00	100.00	0.00	6291.00	7060.67	4680833.00	118.62	1560.86	1038.00
1	2	1	5179.00	3015.00	152.30	0	Spot (Block1, Row1, Column2)	581.63	562.00	200.44	0.01	0.34	146.00	155.92	146.00	38.99	0.03	0.25	100.00	100.00	0.00	416.00	435.63	371083.00	10.92	240.17	222.00
1	3	1	5483.00	3019.00	145.90	0	Spot (Block1, Row1, Column3)	2405.97	2069.00	1530.25	0.07	0.64	154.00	156.24	154.00	25.19	0.01	0.16	100.00	100.00	0.00	1915.00	2251.97	1388243.00	89.30	626.00	537.50
1	4	1	5779.00	3019.00	150.80	0	Spot (Block1, Row1, Column4)	487.15	465.00	151.88	0.02	0.31	159.00	162.51	159.00	29.99	0.01	0.18	100.00	99.00	0.00	306.00	328.15	302033.00	10.82	229.83	215.00
1	5	1	6082.00	3016.00	148.65	0	Spot (Block1, Row1, Column5)	6455.60	5235.00	4809.90	0.09	0.75	162.00	164.74	162.00	30.45	0.01	0.18	100.00	100.00	0.00	5073.00	6293.60	3918547.00	206.63	1184.51	842.50
1	6	1	6376.00	3020.00	144.55	0	Spot (Block1, Row1, Column6)	2844.87	2482.00	1541.74	0.06	0.54	158.00	162.79	158.00	41.04	0.01	0.25	100.00	100.00	0.00	2324.00	2686.87	1627263.00	65.35	708.93	634.00
1	7	1	6672.00	3020.00	145.75	0	Spot (Block1, Row1, Column7)	18043.87	16061.50	9847.30	0.05	0.55	157.00	162.73	157.00	53.19	0.02	0.33	100.00	100.00	0.00	15904.50	17886.87	10465444.00	336.14	3489.81	2657.00
1	8	1	6984.00	3021.00	154.20	0	Spot (Block1, Row1, Column8)	720.44	698.00	225.99	0.01	0.31	142.00	147.44	142.00	36.00	0.02	0.24	100.00	100.00	0.00	556.00	578.44	471166.00	15.92	301.40	270.00
1	1	2	4880.00	3312.00	147.00	-50	Spot (Block1, Row2, Column1)	145.86	145.00	14.56	0.00	0.10	151.00	164.22	151.00	45.07	0.04	0.27	0.00	0.00	0.00	-6.00	-5.14	85619.00	-0.41	139.69	142.00
1	2	2	5179.00	3311.00	126.25	0	Spot (Block1, Row2, Column2)	2960.41	2669.00	1062.56	0.05	0.36	139.00	146.61	139.00	30.32	0.02	0.21	100.00	100.00	0.00	2530.00	2821.41	1255214.00	92.79	738.47	670.50
1	3	2	5473.00	3305.00	187.10	0	Spot (Block1, Row2, Column3)	174.32	178.00	18.57	0.01	0.11	145.00	152.11	145.00	32.30	0.02	0.21	51.00	0.00	0.00	33.00	29.32	172055.00	0.69	155.46	156.50
1	4	2	5785.00	3320.00	157.00	0	Spot (Block1, Row2, Column4)	1869.54	1765.00	608.59	0.02	0.33	155.00	160.26	155.00	35.16	0.01	0.22	100.00	100.00	0.00	1610.00	1714.54	1261937.00	48.61	543.51	510.50
1	5	2	6083.00	3319.00	183.40	0	Spot (Block1, Row2, Column5)	3455.46	3367.00	1207.70	0.01	0.35	157.00	161.97	157.00	36.94	0.01	0.23	100.00	100.00	0.00	3210.00	3298.46	3275777.00	89.16	914.01	753.00
1	6	2	6370.00	3315.00	166.65	0	Spot (Block1, Row2, Column6)	334.23	326.00	78.52	0.01	0.23	161.00	166.16	161.00	45.19	0.01	0.27	93.00	86.00	0.00	165.00	173.23	257357.00	3.72	200.03	196.00
1	7	2	6683.00	3323.00	153.95	0	Spot (Block1, Row2, Column7)	782.42	701.00	326.67	0.05	0.42	157.00	161.79	157.00	46.03	0.01	0.28	100.00	100.00	0.00	544.00	625.42	509353.00	13.48	286.27	268.00
1	8	2	6985.00	3301.00	182.35	0	Spot (Block1, Row2, Column8)	165.38	168.00	15.04	0.01	0.09	141.00	144.74	141.00	19.80	0.01	0.14	66.00	14.00	0.00	27.00	24.38	154630.00	1.04	157.63	162.00
1	1	3	4884.00	3612.00	146.70	0	Spot (Block1, Row3, Column1)	3011.99	2553.00	2015.43	0.07	0.67	140.00	147.59	140.00	28.11	0.02	0.19	100.00	100.00	0.00	2413.00	2871.99	1771050.00	101.89	703.04	473.00
1	2	3	5164.00	3612.00	175.05	0	Spot (Block1, Row3, Column2)	204.25	206.00	22.67	0.00	0.11	144.00	149.95	144.00	27.04	0.02	0.18	91.00	65.00	0.00	62.00	60.25	173816.00	2.01	165.44	163.00
1	3	3	5480.00	3618.00	153.90	0	Spot (Block1, Row3, Column3)	256.01	266.50	50.54	0.02	0.20	154.00	155.99	154.00	26.31	0.01	0.17	97.00	78.00	0.00	112.50	102.01	167944.00	3.80	192.14	190.00
1	4	3	5779.00	3615.00	147.60	0	Spot (Block1, Row3, Column4)	1613.44	1522.00	765.64	0.03	0.47	156.00	157.45	156.00	25.83	0.00	0.16	100.00	100.00	0.00	1366.00	1457.44	956767.00	56.36	533.98	445.00
1	5	3	6081.00	3619.00	172.15	0	Spot (Block1, Row3, Column5)	241.87	211.00	215.21	0.06	0.89	155.00	161.97	155.00	43.77	0.02	0.27	73.00	27.00	0.00	56.00	86.87	200023.00	1.83	174.53	177.50
1	6	3	6380.00	3618.00	194.30	0	Spot (Block1, Row3, Column6)	1559.57	1268.00	907.49	0.09	0.58	172.00	178.30	172.00	45.50	0.02	0.26	100.00	100.00	0.00	1096.00	1387.57	1664060.00	30.36	497.90	494.50
1	7	3	6686.00	3625.00	146.95	0	Spot (Block1, Row3, Column7)	4590.22	4035.00	2867.72	0.06	0.62	171.00	173.38	171.00	35.16	0.01	0.20	100.00	100.00	0.00	3864.00	4419.22	2694457.00	125.60	947.22	689.00
1	8	3	6978.00	3629.00	156.15	0	Spot (Block1, Row3, Column8)	367.59	368.00	82.18	0.00	0.22	152.00	155.05	152.00	25.09	0.01	0.16	100.00	98.00	0.00	216.00	215.59	245918.00	8.47	209.47	200.00
1	1	4	4880.00	3910.00	144.50	0	Spot (Block1, Row4, Column1)	1628.95	1491.00	766.54	0.04	0.47	146.00	149.32	146.00	23.14	0.01	0.15	100.00	100.00	0.00	1345.00	1482.95	926870.00	63.94	456.85	343.00
1	2	4	5181.00	3911.00	163.90	0	Spot (Block1, Row4, Column2)	604.22	582.00	209.58	0.02	0.35	155.00	159.06	155.00	27.54	0.01	0.17	100.00	99.00	0.00	427.00	449.22	449539.00	16.16	261.40	269.00
