ATF	1.0
30	28
"Checksum_ImageFile=f5ce34bf3fd1e0012b7391f0c37d0717"
"Checksum_ResultFile=9711bddcb7e29a68505ad53239c467ad"
"Type=Mapix Results 2"
"DateTime=2021/04/02 11:28:08"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h27m56_5µm_785nmGain005.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h27m56_5µm_785nmGain005.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2810"
"JpegBrightness=43"
"JpegContrast=12"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=27.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=5"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4885.00	3006.00	153.40	0	Spot (Block1, Row1, Column1)	16327.03	14503.00	8580.59	0.05	0.53	296.00	339.05	296.00	120.53	0.06	0.36	100.00	100.00	0.00	14207.00	16031.03	10596245.00	132.65	3251.08	2132.50
1	2	1	5178.00	3011.00	150.45	0	Spot (Block1, Row1, Column2)	1240.10	1143.50	456.17	0.04	0.37	272.00	280.45	272.00	78.97	0.01	0.28	100.00	99.00	0.00	871.50	968.10	768865.00	12.15	505.71	461.50
1	3	1	5483.00	3016.00	147.30	0	Spot (Block1, Row1, Column3)	5380.10	4725.00	3436.39	0.06	0.64	258.00	264.00	258.00	43.60	0.01	0.17	100.00	100.00	0.00	4467.00	5122.10	3179637.00	117.34	1250.65	917.00
1	4	1	5779.00	3017.00	148.05	0	Spot (Block1, Row1, Column4)	1097.28	1004.50	438.37	0.04	0.40	271.00	276.97	271.00	61.71	0.01	0.22	100.00	100.00	0.00	733.50	826.28	651786.00	13.29	480.33	435.00
1	5	1	6083.00	3015.00	149.75	0	Spot (Block1, Row1, Column5)	14468.47	11516.00	11045.77	0.10	0.76	282.00	287.89	282.00	63.95	0.01	0.22	100.00	100.00	0.00	11234.00	14186.47	8825764.00	221.75	2579.42	1748.00
1	6	1	6376.00	3019.00	143.55	0	Spot (Block1, Row1, Column6)	6404.40	5499.00	3663.45	0.07	0.57	283.00	290.70	283.00	73.58	0.01	0.25	100.00	100.00	0.00	5216.00	6121.40	3586464.00	83.09	1750.10	1217.00
1	7	1	6673.00	3019.00	146.25	0	Spot (Block1, Row1, Column7)	38686.47	36143.00	18663.40	0.03	0.48	282.00	292.46	282.00	105.07	0.02	0.36	100.00	100.00	15.78	35861.00	38404.47	22554300.00	365.40	7520.34	6038.00
1	8	1	6988.00	3018.00	155.20	0	Spot (Block1, Row1, Column8)	1451.13	1391.50	544.32	0.02	0.38	264.00	265.07	264.00	66.68	0.00	0.25	100.00	100.00	0.00	1127.50	1187.13	963553.00	17.79	563.09	477.00
1	1	2	4881.00	3311.00	147.00	-50	Spot (Block1, Row2, Column1)	277.96	281.00	21.95	0.00	0.08	282.00	301.07	282.00	85.93	0.03	0.29	0.00	0.00	0.00	-1.00	-4.04	162886.00	-0.27	265.47	273.00
1	2	2	5179.00	3309.00	126.80	0	Spot (Block1, Row2, Column2)	6321.94	6151.00	2368.47	0.01	0.37	264.00	267.16	264.00	58.16	0.01	0.22	100.00	100.00	0.00	5887.00	6057.94	2712112.00	104.11	1563.82	1420.00
