ATF	1.0
30	28
"Checksum_ImageFile=40474b145c3683b56891bbebd139ffce"
"Checksum_ResultFile=0c83c9657e885ae0e9d763db67272038"
"Type=Mapix Results 2"
"DateTime=2021/04/02 11:36:05"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h35m53_785nmGain010.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h35m53_785nmGain010.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2805"
"JpegBrightness=40"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=29.1"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4885.00	3006.00	153.30	0	Spot (Block1, Row1, Column1)	24714.40	22456.00	13087.73	0.04	0.53	399.00	473.91	399.00	188.70	0.07	0.40	100.00	100.00	0.15	22057.00	24315.40	15965504.00	128.46	4926.39	3536.50
1	2	1	5179.00	3012.00	148.55	0	Spot (Block1, Row1, Column2)	1862.48	1850.00	701.92	0.00	0.38	372.00	389.12	372.00	121.59	0.02	0.31	100.00	100.00	0.00	1478.00	1490.48	1119350.00	12.12	731.15	659.00
1	3	1	5484.00	3017.00	147.40	0	Spot (Block1, Row1, Column3)	8222.76	7103.00	5431.80	0.06	0.66	369.00	373.41	369.00	73.95	0.01	0.20	100.00	100.00	0.00	6734.00	7853.76	4851429.00	106.15	1809.98	1374.50
1	4	1	5781.00	3021.00	148.80	0	Spot (Block1, Row1, Column4)	1580.30	1494.00	685.60	0.02	0.43	389.00	397.36	389.00	87.21	0.01	0.22	100.00	99.00	0.00	1105.00	1191.30	962402.00	13.56	677.80	587.00
1	5	1	6084.00	3015.00	151.00	0	Spot (Block1, Row1, Column5)	21612.13	17365.00	16654.78	0.10	0.77	395.00	407.24	395.00	92.57	0.01	0.23	100.00	100.00	0.32	16970.00	21217.13	13507582.00	229.07	3396.74	2515.00
1	6	1	6378.00	3018.00	144.25	0	Spot (Block1, Row1, Column6)	9721.59	8476.00	5529.09	0.06	0.57	391.00	397.18	391.00	111.54	0.01	0.28	100.00	100.00	0.00	8085.00	9330.59	5453811.00	83.60	2563.00	2012.00
1	7	1	6674.00	3019.00	147.45	0	Spot (Block1, Row1, Column7)	48660.91	52770.00	17391.38	0.04	0.36	390.00	403.71	390.00	157.74	0.02	0.39	100.00	100.00	39.70	52380.00	48270.91	28807444.00	305.92	9886.09	7826.00
1	8	1	6987.00	3019.00	154.50	0	Spot (Block1, Row1, Column8)	2286.29	2209.00	827.51	0.01	0.36	349.00	363.92	349.00	97.31	0.02	0.27	100.00	100.00	0.00	1860.00	1937.29	1488378.00	19.76	876.45	733.00
1	1	2	4881.00	3310.00	147.00	-50	Spot (Block1, Row2, Column1)	367.63	371.00	29.79	0.00	0.08	380.00	416.61	380.00	145.82	0.04	0.35	0.00	0.00	0.00	-9.00	-12.37	216901.00	-0.34	373.65	383.00
1	2	2	5180.00	3310.00	127.60	0	Spot (Block1, Row2, Column2)	9941.12	9574.00	3813.08	0.02	0.38	348.00	364.02	348.00	88.16	0.02	0.24	100.00	100.00	0.00	9226.00	9593.12	4304503.00	108.64	2218.38	1897.50
1	3	2	5484.00	3310.00	175.15	0	Spot (Block1, Row2, Column3)	465.82	456.50	79.80	0.01	0.17	367.00	372.80	367.00	86.23	0.01	0.23	50.00	18.00	0.00	89.50	98.82	400603.00	1.08	377.77	383.50
1	4	2	5786.00	3317.00	159.25	0	Spot (Block1, Row2, Column4)	6063.07	5733.50	2246.30	0.02	0.37	389.00	401.21	389.00	103.49	0.01	0.26	100.00	100.00	0.00	5344.50	5674.07	4256274.00	54.71	1528.81	1386.50
1	5	2	6084.00	3318.00	183.70	0	Spot (Block1, Row2, Column5)	11576.61	11117.50	4142.85	0.02	0.36	396.00	410.76	396.00	105.77	0.02	0.26	100.00	100.00	0.00	10721.50	11180.61	10974629.00	105.56	2986.23	2499.00
1	6	2	6373.00	3318.00	152.95	0	Spot (Block1, Row2, Column6)	1108.73	1011.00	393.39	0.04	0.35	400.00	421.81	400.00	134.54	0.02	0.32	99.00	91.00	0.00	611.00	708.73	708481.00	5.11	588.67	557.00
1	7	2	6685.00	3322.00	149.75	0	Spot (Block1, Row2, Column7)	2733.72	2464.00	1280.59	0.05	0.47	393.00	404.40	393.00	139.30	0.01	0.34	100.00	100.00	0.00	2071.00	2340.72	1686708.00	16.72	962.54	847.00
1	8	2	7006.00	3327.00	200.10	0	Spot (Block1, Row2, Column8)	380.39	390.00	46.11	0.01	0.12	361.00	359.75	361.00	54.75	0.00	0.15	10.00	1.00	0.00	29.00	19.39	432880.00	0.38	366.82	355.50
1	1	3	4885.00	3609.00	147.30	0	Spot (Block1, Row3, Column1)	10153.12	8717.00	6720.40	0.07	0.66	332.00	360.65	332.00	90.45	0.04	0.25	100.00	100.00	0.00	8385.00	9821.12	6020802.00	108.26	2062.29	1631.50
1	2	3	5184.00	3613.00	176.35	0	Spot (Block1, Row3, Column2)	542.25	516.50	104.35	0.02	0.19	353.00	364.05	353.00	75.64	0.01	0.21	80.00	54.00	0.00	163.50	189.25	470677.00	2.36	404.10	396.00
1	3	3	5470.00	3605.00	156.80	0	Spot (Block1, Row3, Column3)	724.47	655.50	251.75	0.04	0.35	380.00	375.09	380.00	65.35	0.01	0.17	97.00	81.00	0.00	275.50	344.47	489742.00	5.35	439.11	424.00
1	4	3	5780.00	3612.00	148.15	0	Spot (Block1, Row3, Column4)	5297.86	4955.00	2630.91	0.03	0.50	389.00	392.83	389.00	70.22	0.00	0.18	100.00	100.00	0.00	4566.00	4908.86	3168121.00	69.85	1500.95	1205.50
1	5	3	6092.00	3625.00	147.90	0	Spot (Block1, Row3, Column5)	741.74	596.00	893.59	0.10	1.20	393.00	411.95	393.00	137.68	0.02	0.33	71.00	38.00	0.00	203.00	348.74	442075.00	2.40	489.53	439.00
1	6	3	6382.00	3616.00	195.50	0	Spot (Block1, Row3, Column6)	5209.35	4139.50	3208.22	0.10	0.62	409.00	452.90	409.00	133.15	0.04	0.29	100.00	100.00	0.00	3730.50	4800.35	5615680.00	35.72	1515.66	1515.50
1	7	3	6688.00	3622.00	147.25	0	Spot (Block1, Row3, Column7)	15517.62	13565.00	10116.10	0.06	0.65	407.00	443.86	407.00	104.19	0.04	0.23	100.00	100.00	0.00	13158.00	15110.62	9232983.00	144.68	3050.41	2073.00
1	8	3	6976.00	3633.00	154.65	0	Spot (Block1, Row3, Column8)	1099.14	1039.00	385.14	0.02	0.35	389.00	388.56	389.00	75.30	0.00	0.19	99.00	96.00	0.00	650.00	710.14	724335.00	9.44	616.62	566.50
1	1	4	4882.00	3909.00	143.85	0	Spot (Block1, Row4, Column1)	5473.50	5035.00	2709.35	0.04	0.49	332.00	349.68	332.00	54.95	0.02	0.16	100.00	100.00	0.00	4703.00	5141.50	3076109.00	93.24	1527.11	1165.00
1	2	4	5185.00	3911.00	164.50	0	Spot (Block1, Row4, Column2)	1898.48	1845.00	736.40	0.01	0.39	383.00	382.78	383.00	79.89	0.00	0.21	100.00	99.00	0.00	1462.00	1515.48	1425756.00	18.97	711.83	679.50
