ATF	1.0
30	28
"Checksum_ImageFile=39f28f28678d6463d188358b964fe21f"
"Checksum_ResultFile=1fff67c489e6ebf2adb86fea971a907b"
"Type=Mapix Results 2"
"DateTime=2021/04/02 11:44:02"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h43m49_785nmGain020.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h43m49_785nmGain020.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2810"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=30.0"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=20"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4886.00	3005.00	154.55	0	Spot (Block1, Row1, Column1)	40466.28	38492.00	18876.81	0.02	0.47	630.00	773.88	630.00	331.86	0.09	0.43	100.00	100.00	20.09	37862.00	39836.28	26586472.00	119.61	8174.71	5199.00
1	2	1	5180.00	3012.00	152.80	0	Spot (Block1, Row1, Column2)	3137.53	2988.00	1251.40	0.02	0.40	584.00	620.37	584.00	206.60	0.03	0.33	100.00	99.00	0.00	2404.00	2553.53	2001746.00	12.18	1090.26	1019.00
1	3	1	5485.00	3017.00	147.85	0	Spot (Block1, Row1, Column3)	14389.90	12338.00	9632.84	0.07	0.67	580.00	594.86	580.00	127.00	0.01	0.21	100.00	100.00	0.00	11758.00	13809.90	8518821.00	108.62	3282.29	2339.00
1	4	1	5781.00	3019.00	148.35	0	Spot (Block1, Row1, Column4)	2765.91	2689.00	1161.32	0.01	0.42	597.00	631.30	597.00	153.86	0.02	0.24	100.00	100.00	0.00	2092.00	2168.91	1659548.00	13.87	1149.23	960.00
1	5	1	6085.00	3015.00	152.45	0	Spot (Block1, Row1, Column5)	33715.84	28686.00	23164.31	0.07	0.69	607.00	655.20	607.00	162.47	0.03	0.25	100.00	100.00	19.12	28079.00	33108.84	21510780.00	203.49	5132.78	4098.00
1	6	1	6379.00	3018.00	144.95	0	Spot (Block1, Row1, Column6)	17177.78	15097.00	9748.17	0.06	0.57	596.00	640.47	596.00	203.91	0.03	0.32	100.00	100.00	0.00	14501.00	16581.78	9842865.00	81.10	4059.06	3290.00
1	7	1	6675.00	3020.00	148.85	0	Spot (Block1, Row1, Column7)	59490.48	65535.00	10361.87	0.04	0.17	599.00	650.26	599.00	249.89	0.04	0.38	100.00	100.00	67.39	64936.00	58891.48	35575592.00	235.47	16230.67	12830.00
1	8	1	6988.00	3019.00	155.65	0	Spot (Block1, Row1, Column8)	3881.93	3594.50	1517.04	0.03	0.39	580.00	587.02	580.00	150.56	0.01	0.26	100.00	100.00	0.00	3014.50	3301.93	2585363.00	21.88	1348.04	1164.00
1	1	2	4882.00	3312.00	147.00	-50	Spot (Block1, Row2, Column1)	593.75	596.00	50.90	0.00	0.09	595.00	679.51	595.00	263.12	0.06	0.39	0.00	0.00	0.00	1.00	-1.25	353284.00	-0.33	586.87	598.00
1	2	2	5181.00	3309.00	127.70	0	Spot (Block1, Row2, Column2)	17423.15	16526.00	6584.31	0.02	0.38	581.00	592.71	581.00	154.47	0.01	0.26	100.00	100.00	0.00	15945.00	16842.15	7526800.00	108.96	3787.17	3364.50
1	3	2	5480.00	3314.00	156.25	0	Spot (Block1, Row2, Column3)	786.07	776.00	130.81	0.01	0.17	585.00	599.56	585.00	148.63	0.01	0.25	57.00	25.00	0.00	191.00	201.07	527450.00	1.25	636.96	616.00
1	4	2	5786.00	3316.00	159.50	0	Spot (Block1, Row2, Column4)	10683.28	10631.00	4030.58	0.00	0.38	600.00	647.74	600.00	180.92	0.03	0.28	100.00	100.00	0.00	10031.00	10083.28	7553078.00	55.47	2633.74	2408.00
1	5	2	6085.00	3318.00	184.20	0	Spot (Block1, Row2, Column5)	20272.04	20250.00	7320.20	0.00	0.36	610.00	673.34	610.00	187.54	0.04	0.28	100.00	100.00	0.00	19640.00	19662.04	19339526.00	104.50	4889.64	4075.00
1	6	2	6377.00	3319.00	154.00	0	Spot (Block1, Row2, Column6)	1820.29	1765.00	617.68	0.01	0.34	670.00	698.54	670.00	242.16	0.02	0.35	99.00	86.00	0.00	1095.00	1150.29	1179548.00	4.63	961.59	957.00
1	7	2	6685.00	3322.00	150.85	0	Spot (Block1, Row2, Column7)	4765.32	4326.00	2327.44	0.04	0.49	612.00	659.96	612.00	223.48	0.03	0.34	100.00	100.00	0.00	3714.00	4153.32	2973560.00	18.37	1535.38	1345.00
1	8	2	6987.00	3334.00	197.30	0	Spot (Block1, Row2, Column8)	630.57	602.00	96.27	0.02	0.15	586.00	581.32	586.00	100.58	0.00	0.17	34.00	4.00	0.00	16.00	44.57	695519.00	0.49	590.00	592.00
1	1	3	4885.00	3610.00	148.15	0	Spot (Block1, Row3, Column1)	17814.30	15824.00	11720.78	0.05	0.66	562.00	586.25	562.00	157.56	0.02	0.27	100.00	100.00	0.00	15262.00	17252.30	10599508.00	109.35	3646.00	2928.00
1	2	3	5189.00	3618.00	152.35	0	Spot (Block1, Row3, Column2)	961.14	965.00	178.59	0.00	0.19	586.00	594.09	586.00	128.71	0.01	0.22	91.00	71.00	0.00	379.00	375.14	612247.00	2.85	689.94	692.00
1	3	3	5476.00	3610.00	147.25	0	Spot (Block1, Row3, Column3)	1295.22	1196.00	415.06	0.03	0.32	591.00	607.45	591.00	123.99	0.01	0.20	99.00	91.00	0.00	605.00	704.22	764180.00	5.55	780.38	726.00
1	4	3	5780.00	3612.00	148.10	0	Spot (Block1, Row3, Column4)	9396.46	8769.00	4753.30	0.03	0.51	599.00	635.14	599.00	131.52	0.03	0.21	100.00	100.00	0.00	8170.00	8797.46	5619081.00	66.61	2640.62	1989.00
1	5	3	6091.00	3624.00	152.15	0	Spot (Block1, Row3, Column5)	1252.89	1027.00	1564.43	0.09	1.25	612.00	682.92	612.00	242.72	0.05	0.36	75.00	38.00	0.00	415.00	640.89	798093.00	2.35	748.02	716.00
1	6	3	6382.00	3617.00	195.85	0	Spot (Block1, Row3, Column6)	9005.21	7254.50	5711.76	0.09	0.63	694.00	756.45	694.00	232.94	0.04	0.31	100.00	100.00	0.00	6560.50	8311.21	9797672.00	35.41	2509.35	2426.50
1	7	3	6689.00	3623.00	148.10	0	Spot (Block1, Row3, Column7)	27389.59	24234.00	17773.46	0.05	0.65	695.00	736.14	695.00	188.70	0.02	0.26	100.00	100.00	1.17	23539.00	26694.59	16351588.00	141.25	5396.55	4113.00
1	8	3	6978.00	3633.00	157.80	0	Spot (Block1, Row3, Column8)	1865.52	1758.50	636.99	0.03	0.34	608.00	641.46	608.00	135.95	0.02	0.21	99.00	96.00	0.00	1150.50	1257.52	1279744.00	9.00	1027.00	941.00
1	1	4	4882.00	3908.00	144.95	0	Spot (Block1, Row4, Column1)	9750.97	9328.00	5153.53	0.02	0.53	563.00	569.98	563.00	95.50	0.01	0.17	100.00	100.00	0.00	8765.00	9187.97	5548301.00	96.13	2617.43	1893.00
1	2	4	5186.00	3911.00	163.90	0	Spot (Block1, Row4, Column2)	3264.12	3078.00	1252.62	0.03	0.38	595.00	625.16	595.00	145.96	0.02	0.23	100.00	100.00	0.00	2483.00	2669.12	2425242.00	18.08	1207.33	1179.00
1	3	4	5478.00	3915.00	148.15	0	Spot (Block1, Row4, Column3)	38112.05	37123.00	18927.08	0.01	0.50	601.00	649.88	601.00	168.47	0.03	0.26	100.00	100.00	11.54	36522.00	37511.05	22791072.00	222.36	8254.77	6297.00
1	4	4	5780.00	3913.00	177.00	0	Spot (Block1, Row4, Column4)	856.79	808.00	159.04	0.03	0.19	606.00	652.43	606.00	139.02	0.03	0.21	75.00	35.00	0.00	202.00	250.79	746264.00	1.47	720.78	699.00
1	5	4	6042.00	3926.00	83.90	0	Spot (Block1, Row4, Column5)	4489.93	1046.50	9467.06	0.63	2.11	664.00	700.71	664.00	277.94	0.02	0.40	73.00	37.00	0.60	382.50	3825.93	754308.00	13.63	1348.65	948.00
1	6	4	6383.00	3920.00	188.25	0	Spot (Block1, Row4, Column6)	22296.54	22186.00	7185.97	0.00	0.32	691.00	747.90	691.00	312.39	0.03	0.42	100.00	100.00	0.00	21495.00	21605.54	22229654.00	68.98	5319.75	4345.00
1	7	4	6680.00	3925.00	147.95	0	Spot (Block1, Row4, Column7)	17902.33	14140.00	14104.75	0.10	0.79	746.00	823.80	746.00	370.94	0.04	0.45	100.00	100.00	0.00	13394.00	17156.33	10687692.00	46.04	3481.34	2978.50
1	8	4	6976.00	3928.00	149.80	0	Spot (Block1, Row4, Column8)	4943.05	4508.50	2366.53	0.04	0.48	678.00	707.24	678.00	198.53	0.02	0.28	100.00	100.00	0.00	3830.50	4265.05	3044918.00	21.34	1720.82	1368.50
1	1	5	4883.00	4211.00	145.35	0	Spot (Block1, Row5, Column1)	8052.36	7331.00	4332.77	0.04	0.54	592.00	617.98	592.00	146.71	0.02	0.24	100.00	100.00	0.00	6739.00	7460.36	4646212.00	50.67	2137.51	1724.00
1	2	5	5178.00	4211.00	154.25	0	Spot (Block1, Row5, Column2)	2086.91	1980.00	605.93	0.02	0.29	621.00	694.70	621.00	229.40	0.05	0.33	100.00	98.00	0.00	1359.00	1465.91	1362754.00	6.07	1042.80	996.00
1	3	5	5480.00	4214.00	152.30	0	Spot (Block1, Row5, Column3)	14588.71	13098.00	8282.96	0.05	0.57	632.00	685.34	632.00	176.89	0.04	0.26	100.00	100.00	0.00	12466.00	13956.71	9322187.00	78.60	2932.35	2300.00
