ATF	1.0
30	28
"Checksum_ImageFile=f49f3a6cb643b0e7ce297489e74a2f26"
"Checksum_ResultFile=4dabe5ae38a1635947bea5a7fc28e66d"
"Type=Mapix Results 2"
"DateTime=2021/04/02 11:51:58"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h51m46_5µm_785nmGain025.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h51m46_5µm_785nmGain025.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2810"
"JpegBrightness=34"
"JpegContrast=15"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=30.7"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=25"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4886.00	3005.00	154.75	0	Spot (Block1, Row1, Column1)	44445.90	46168.00	18608.42	0.02	0.42	759.00	909.89	759.00	395.17	0.08	0.43	100.00	100.00	30.35	45409.00	43686.90	29290036.00	110.17	9844.35	6176.00
1	2	1	5181.00	3013.00	150.05	0	Spot (Block1, Row1, Column2)	3799.66	3744.50	1469.71	0.01	0.39	680.00	727.00	680.00	242.66	0.03	0.33	100.00	100.00	0.00	3064.50	3119.66	2340592.00	12.66	1395.19	1291.00
1	3	1	5486.00	3017.00	147.80	0	Spot (Block1, Row1, Column3)	17024.43	14762.50	11326.62	0.06	0.67	685.00	700.43	685.00	142.48	0.01	0.20	100.00	100.00	0.00	14077.50	16339.43	10214658.00	114.57	3605.91	2761.50
1	4	1	5782.00	3019.00	149.45	0	Spot (Block1, Row1, Column4)	3352.40	3081.00	1455.84	0.04	0.43	702.00	753.56	702.00	185.68	0.03	0.25	100.00	100.00	0.00	2379.00	2650.40	2048316.00	14.00	1354.35	1262.00
1	5	1	6085.00	3014.00	152.85	0	Spot (Block1, Row1, Column5)	37054.92	34566.50	23717.27	0.03	0.64	709.00	768.40	709.00	184.75	0.03	0.24	100.00	100.00	29.04	33857.50	36345.92	23863476.00	196.41	5897.17	4345.00
1	6	1	6379.00	3019.00	145.65	0	Spot (Block1, Row1, Column6)	20288.58	18240.00	11571.36	0.05	0.57	703.00	756.14	703.00	255.60	0.03	0.34	100.00	100.00	0.69	17537.00	19585.58	11767374.00	76.42	4681.90	3697.00
1	7	1	6675.00	3020.00	150.50	0	Spot (Block1, Row1, Column7)	61106.65	65535.00	8557.54	0.03	0.14	705.00	764.56	705.00	319.09	0.04	0.42	100.00	100.00	71.84	64830.00	60401.65	37764228.00	189.10	15664.16	11609.00
1	8	1	6989.00	3020.00	156.40	0	Spot (Block1, Row1, Column8)	4638.96	4302.00	1752.07	0.03	0.38	679.00	687.69	679.00	179.68	0.01	0.26	100.00	100.00	0.00	3623.00	3959.96	3112745.00	21.99	1602.60	1412.00
1	1	2	4883.00	3311.00	147.00	-50	Spot (Block1, Row2, Column1)	702.76	698.00	79.43	0.00	0.11	695.00	800.44	695.00	310.64	0.06	0.39	0.00	0.00	0.00	3.00	7.76	415332.00	-0.31	711.07	707.00
1	2	2	5181.00	3309.00	128.15	0	Spot (Block1, Row2, Column2)	20801.98	20404.50	8262.86	0.01	0.40	677.00	693.31	677.00	180.55	0.01	0.26	100.00	100.00	0.00	19727.50	20124.98	9111266.00	111.38	4515.67	4037.00
