ATF	1.0
30	28
"Checksum_ImageFile=3c34e7aa13fe24741debac10d6e903fb"
"Checksum_ResultFile=269113d1a5235a3a0903e74acdf7906d"
"Type=Mapix Results 2"
"DateTime=2021/04/02 11:59:55"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h59m43_5µm_785nmGain050.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_11h59m43_5µm_785nmGain050.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2810"
"JpegBrightness=14"
"JpegContrast=38"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=31.1"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=50"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4887.00	3006.00	156.90	0	Spot (Block1, Row1, Column1)	56908.05	65535.00	12534.82	0.06	0.22	1315.00	1619.26	1315.00	716.20	0.09	0.44	100.00	100.00	59.32	64220.00	55593.05	38470176.00	77.20	15363.87	11197.00
1	2	1	5181.00	3013.00	150.45	0	Spot (Block1, Row1, Column2)	6846.70	6705.00	2616.16	0.01	0.38	1193.00	1302.24	1193.00	434.85	0.04	0.33	100.00	100.00	0.00	5512.00	5653.70	4238106.00	12.75	2551.23	2445.50
1	3	1	5486.00	3017.00	148.45	0	Spot (Block1, Row1, Column3)	30348.00	26866.00	19471.77	0.05	0.64	1200.00	1249.61	1200.00	242.64	0.02	0.19	100.00	100.00	5.12	25666.00	29148.00	18390912.00	119.93	6540.18	5160.50
1	4	1	5783.00	3018.00	151.00	0	Spot (Block1, Row1, Column4)	5917.21	5471.00	2471.59	0.03	0.42	1264.00	1319.61	1264.00	302.73	0.02	0.23	99.00	99.00	0.00	4207.00	4653.21	3698256.00	15.19	2265.21	2079.50
1	5	1	6086.00	3015.00	156.40	0	Spot (Block1, Row1, Column5)	46054.52	58022.00	21705.80	0.10	0.47	1280.00	1350.03	1280.00	324.09	0.02	0.24	100.00	100.00	45.32	56742.00	44774.52	30994912.00	137.94	8981.86	7377.00
1	6	1	6379.00	3018.00	146.80	0	Spot (Block1, Row1, Column6)	35584.56	33347.00	16920.79	0.03	0.48	1275.00	1338.57	1275.00	417.98	0.02	0.31	100.00	100.00	9.51	32072.00	34309.56	20959360.00	81.93	8366.29	7412.00
1	7	1	6676.00	3019.00	155.45	0	Spot (Block1, Row1, Column7)	64534.26	65535.00	4392.64	0.01	0.07	1277.00	1355.11	1277.00	543.94	0.03	0.40	100.00	100.00	93.05	64258.00	63257.26	42722072.00	116.15	17500.83	14419.00
1	8	1	6989.00	3020.00	156.70	0	Spot (Block1, Row1, Column8)	8252.03	7748.00	3051.44	0.03	0.37	1185.00	1214.23	1185.00	274.40	0.01	0.23	100.00	100.00	0.00	6563.00	7067.03	5553618.00	25.65	2818.82	2507.00
1	1	2	4883.00	3311.00	147.00	-50	Spot (Block1, Row2, Column1)	1227.61	1201.00	105.14	0.01	0.09	1204.00	1414.54	1204.00	553.03	0.07	0.39	0.00	0.00	0.00	-3.00	23.61	723062.00	-0.34	1230.54	1197.50
1	2	2	5182.00	3309.00	129.05	0	Spot (Block1, Row2, Column2)	37238.79	36605.00	14036.68	0.01	0.38	1180.00	1226.30	1180.00	319.60	0.02	0.26	100.00	100.00	1.35	35425.00	36058.79	16608500.00	112.68	8045.35	7762.50
