ATF	1.0
30	28
"Checksum_ImageFile=9fc324e77989354845820a1f3e601d98"
"Checksum_ResultFile=0a03d25bf4c91d4c35416e0a98b9d721"
"Type=Mapix Results 2"
"DateTime=2021/04/02 12:07:52"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_12h07m40_5µm_785nmGain075.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_12h07m40_5µm_785nmGain075.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2810"
"JpegBrightness=48"
"JpegContrast=11"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=31.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=75"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4887.00	3005.00	160.80	0	Spot (Block1, Row1, Column1)	60022.32	65535.00	10203.26	0.04	0.17	1797.00	2157.34	1797.00	905.08	0.08	0.42	100.00	100.00	68.16	63738.00	58225.32	42976380.00	63.93	15809.78	12577.00
1	2	1	5182.00	3013.00	152.20	0	Spot (Block1, Row1, Column2)	9000.21	8715.00	3361.81	0.01	0.37	1606.00	1743.11	1606.00	551.65	0.04	0.32	100.00	100.00	0.00	7109.00	7394.21	5697134.00	13.16	3174.06	3009.00
1	3	1	5487.00	3016.00	151.10	0	Spot (Block1, Row1, Column3)	37186.33	34990.00	21181.85	0.03	0.57	1618.00	1696.07	1618.00	331.68	0.02	0.20	100.00	100.00	20.80	33372.00	35568.33	23241552.00	107.00	8398.19	7790.00
1	4	1	5782.00	3018.00	149.65	0	Spot (Block1, Row1, Column4)	7964.31	7792.00	3036.39	0.01	0.38	1719.00	1809.74	1719.00	428.27	0.02	0.24	100.00	100.00	0.00	6073.00	6245.31	4913981.00	14.37	3202.79	2934.00
1	5	1	6086.00	3014.00	158.55	0	Spot (Block1, Row1, Column5)	50488.98	65535.00	19539.39	0.11	0.39	1752.00	1837.99	1752.00	435.71	0.02	0.24	100.00	100.00	55.43	63783.00	48736.98	34888160.00	111.66	11646.65	10227.00
1	6	1	6380.00	3019.00	148.05	0	Spot (Block1, Row1, Column6)	44027.11	45122.00	17137.15	0.01	0.39	1720.00	1812.68	1720.00	480.35	0.02	0.26	100.00	100.00	22.26	43402.00	42307.11	26108212.00	87.88	11131.71	9674.50
1	7	1	6677.00	3019.00	158.85	0	Spot (Block1, Row1, Column7)	64581.03	65535.00	4492.82	0.01	0.07	1728.00	1833.47	1728.00	619.45	0.03	0.34	100.00	100.00	93.39	63807.00	62853.03	44948828.00	101.30	19474.79	17027.50
1	8	1	6990.00	3019.00	157.35	0	Spot (Block1, Row1, Column8)	11116.19	10618.00	3986.15	0.02	0.36	1603.00	1657.74	1603.00	332.16	0.01	0.20	100.00	100.00	0.00	9015.00	9513.19	7514542.00	28.48	4007.23	3626.00
1	1	2	4883.00	3311.00	147.00	-50	Spot (Block1, Row2, Column1)	1663.14	1594.00	185.58	0.02	0.11	1641.00	1901.88	1641.00	718.34	0.06	0.38	0.00	0.00	0.00	-47.00	22.14	974600.00	-0.33	1689.67	1686.00
1	2	2	5183.00	3309.00	130.60	0	Spot (Block1, Row2, Column2)	47185.43	48673.00	15689.96	0.01	0.33	1587.00	1656.66	1587.00	416.92	0.02	0.25	100.00	100.00	23.53	47086.00	45598.43	21658184.00	109.20	10778.68	10343.00
