ATF	1.0
30	28
"Checksum_ImageFile=ec4c3b3fa5e7b3ef65a8bda91383e01f"
"Checksum_ResultFile=aaa949d33d8290dcff47c4731987e616"
"Type=Mapix Results 2"
"DateTime=2021/04/02 12:15:50"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_12h15m38_5µm_785nmGain100.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0137_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_12h15m38_5µm_785nmGain100.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4670, 2810"
"JpegBrightness=46"
"JpegContrast=11"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=31.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=100"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4888.00	3005.00	164.95	0	Spot (Block1, Row1, Column1)	62006.24	65535.00	8505.03	0.02	0.14	2423.00	2863.98	2423.00	1126.08	0.07	0.39	100.00	100.00	77.16	63112.00	59583.24	46691156.00	52.52	17337.85	14290.00
1	2	1	5182.00	3012.00	156.15	0	Spot (Block1, Row1, Column2)	11159.24	10887.50	4015.86	0.01	0.36	2191.00	2353.65	2191.00	724.93	0.03	0.31	100.00	100.00	0.00	8696.50	8968.24	7521327.00	12.15	3989.79	3978.50
1	3	1	5488.00	3017.00	154.40	0	Spot (Block1, Row1, Column3)	42063.19	43563.50	20906.70	0.02	0.50	2214.00	2283.27	2214.00	402.48	0.01	0.18	100.00	100.00	32.42	41349.50	39849.19	27509492.00	98.84	9743.83	8603.50
1	4	1	5783.00	3019.00	151.85	0	Spot (Block1, Row1, Column4)	9928.63	9653.00	3626.74	0.01	0.37	2317.00	2421.88	2317.00	536.66	0.02	0.22	100.00	100.00	0.00	7336.00	7611.63	6274892.00	13.99	4093.18	3732.00
1	5	1	6087.00	3015.00	163.30	0	Spot (Block1, Row1, Column5)	53231.05	65535.00	17358.77	0.09	0.33	2389.00	2487.13	2389.00	575.15	0.02	0.23	100.00	100.00	58.51	63146.00	50842.05	39391324.00	88.23	12657.83	12121.00
1	6	1	6381.00	3019.00	150.75	0	Spot (Block1, Row1, Column6)	49298.12	52758.50	16081.27	0.03	0.33	2328.00	2450.02	2328.00	611.62	0.02	0.25	100.00	100.00	35.85	50430.50	46970.12	30663640.00	76.60	12025.14	10476.00
1	7	1	6678.00	3019.00	165.60	0	Spot (Block1, Row1, Column7)	63895.62	65535.00	6110.64	0.01	0.10	2327.00	2450.14	2327.00	749.60	0.02	0.31	100.00	100.00	91.22	63208.00	61568.62	48752840.00	81.97	18023.97	15897.50
1	8	1	6990.00	3020.00	158.35	0	Spot (Block1, Row1, Column8)	13711.51	13308.00	4407.21	0.01	0.32	2184.00	2243.15	2184.00	413.05	0.01	0.18	100.00	100.00	0.00	11124.00	11527.51	9419805.00	27.76	4998.70	4615.00
1	1	2	4884.00	3311.00	147.00	-50	Spot (Block1, Row2, Column1)	2281.21	2284.00	169.45	0.00	0.07	2261.00	2566.09	2261.00	890.98	0.05	0.35	0.00	0.00	0.00	23.00	20.21	1339068.00	-0.32	2261.87	2281.00
1	2	2	5183.00	3309.00	134.15	0	Spot (Block1, Row2, Column2)	52399.93	59106.00	15049.48	0.05	0.29	2172.00	2262.18	2172.00	530.98	0.02	0.23	100.00	100.00	40.78	56934.00	50227.93	25571300.00	94.43	12599.08	12160.00
1	3	2	5491.00	3315.00	171.20	0	Spot (Block1, Row2, Column3)	2834.41	2799.00	426.75	0.01	0.15	2211.00	2318.30	2211.00	539.43	0.02	0.23	56.00	16.00	0.00	588.00	623.41	2312880.00	0.96	2391.30	2332.50
1	4	2	5789.00	3316.00	163.75	0	Spot (Block1, Row2, Column4)	39593.64	40648.50	14170.48	0.01	0.36	2338.00	2506.34	2338.00	672.45	0.03	0.27	100.00	100.00	3.37	38310.50	37255.64	29378496.00	55.15	9825.94	9057.50
1	5	2	6087.00	3318.00	189.65	0	Spot (Block1, Row2, Column5)	57523.11	65535.00	11437.32	0.06	0.20	2431.00	2573.81	2431.00	667.16	0.02	0.26	100.00	100.00	54.07	63104.00	55092.11	58616600.00	82.36	14891.42	13141.50
1	6	2	6379.00	3321.00	155.85	0	Spot (Block1, Row2, Column6)	6740.59	6757.50	1921.39	0.00	0.29	2529.00	2681.44	2529.00	851.30	0.03	0.32	99.00	89.00	0.00	4228.50	4211.59	4502714.00	4.77	3525.70	3485.00
1	7	2	6688.00	3322.00	155.60	0	Spot (Block1, Row2, Column7)	17307.77	16112.00	7608.98	0.03	0.44	2424.00	2518.92	2424.00	722.39	0.02	0.29	100.00	100.00	0.00	13688.00	14883.77	11544285.00	20.47	5560.68	5348.00
1	8	2	6992.00	3322.00	204.45	0	Spot (Block1, Row2, Column8)	2423.29	2404.00	284.08	0.00	0.12	2214.00	2274.27	2214.00	328.09	0.01	0.14	31.00	7.00	0.00	190.00	209.29	2864329.00	0.45	2300.98	2276.50
1	1	3	4887.00	3608.00	155.05	0	Spot (Block1, Row3, Column1)	45563.19	50033.00	20125.21	0.04	0.44	2110.00	2248.13	2110.00	573.33	0.03	0.26	100.00	100.00	39.73	47923.00	43453.19	30163036.00	75.55	10357.85	9274.50
1	2	3	5186.00	3614.00	156.50	0	Spot (Block1, Row3, Column2)	3607.86	3527.00	589.56	0.01	0.16	2194.00	2287.74	2194.00	482.84	0.02	0.21	98.00	78.00	0.00	1333.00	1413.86	2435304.00	2.73	2722.93	2718.50
1	3	3	5478.00	3611.00	149.15	0	Spot (Block1, Row3, Column3)	4806.71	4608.00	1322.60	0.02	0.28	2294.00	2346.33	2294.00	425.49	0.01	0.18	99.00	96.00	0.00	2314.00	2512.71	2946514.00	5.78	2940.66	2883.50
1	4	3	5783.00	3612.00	151.95	0	Spot (Block1, Row3, Column4)	33212.12	32754.00	15141.70	0.01	0.46	2373.00	2452.81	2373.00	467.80	0.01	0.19	100.00	100.00	2.22	30381.00	30839.12	20956860.00	65.75	8973.75	8081.00
1	5	3	6095.00	3628.00	151.85	0	Spot (Block1, Row3, Column5)	4639.03	3863.00	5147.42	0.08	1.11	2446.00	2616.66	2446.00	826.94	0.03	0.32	70.00	39.00	0.16	1417.00	2193.03	2941143.00	2.45	2882.38	2666.00
1	6	3	6384.00	3617.00	200.35	0	Spot (Block1, Row3, Column6)	32775.77	27844.50	18141.13	0.07	0.55	2703.00	2902.25	2703.00	818.68	0.03	0.28	100.00	100.00	9.62	25141.50	30072.77	37495580.00	36.49	9549.12	9390.50
1	7	3	6690.00	3623.00	157.55	0	Spot (Block1, Row3, Column7)	53100.88	65535.00	16906.92	0.09	0.32	2683.00	2808.43	2683.00	653.92	0.02	0.23	100.00	100.00	56.56	62852.00	50417.88	36427504.00	76.91	13356.77	11833.00
1	8	3	6980.00	3633.00	162.40	0	Spot (Block1, Row3, Column8)	6968.25	6689.50	2170.35	0.02	0.31	2399.00	2468.79	2399.00	468.68	0.01	0.19	100.00	97.00	0.00	4290.50	4569.25	5100761.00	9.60	3673.73	3286.00
1	1	4	4884.00	3908.00	148.95	0	Spot (Block1, Row4, Column1)	33942.98	32678.00	15643.43	0.02	0.46	2123.00	2215.27	2123.00	399.72	0.02	0.18	100.00	100.00	1.32	30555.00	31819.98	20603392.00	79.37	8759.78	7866.00
1	2	4	5187.00	3911.00	165.20	0	Spot (Block1, Row4, Column2)	12311.74	11929.00	4342.40	0.01	0.35	2328.00	2422.04	2328.00	478.69	0.02	0.20	100.00	100.00	0.00	9601.00	9983.74	9283055.00	20.66	4694.59	4615.00
1	3	4	5481.00	3915.00	157.85	0	Spot (Block1, Row4, Column3)	61852.46	65535.00	7995.31	0.03	0.13	2398.00	2511.65	2398.00	587.55	0.02	0.23	100.00	100.00	75.11	63137.00	59454.46	42493032.00	101.00	17570.38	15885.00
1	4	4	5783.00	3908.00	184.65	0	Spot (Block1, Row4, Column4)	3178.89	3064.00	477.08	0.02	0.15	2432.00	2534.04	2432.00	534.15	0.02	0.21	57.00	26.00	0.00	632.00	746.89	3054916.00	1.21	2715.35	2687.00
1	5	4	6042.00	3926.00	86.85	0	Spot (Block1, Row4, Column5)	13237.90	4974.50	17616.45	0.43	1.33	2516.00	2655.47	2516.00	770.51	0.02	0.29	91.00	67.00	5.85	2458.50	10721.90	2488726.00	13.73	4781.90	3726.50
1	6	4	6385.00	3919.00	193.45	0	Spot (Block1, Row4, Column6)	60373.16	65535.00	9135.73	0.04	0.15	2675.00	2886.73	2675.00	962.93	0.03	0.33	100.00	100.00	63.40	62860.00	57698.16	63513240.00	59.70	16371.55	14213.00
1	7	4	6682.00	3925.00	155.90	0	Spot (Block1, Row4, Column7)	43606.24	47371.00	21570.67	0.04	0.49	2868.50	3126.53	2868.50	1109.96	0.04	0.36	100.00	100.00	38.51	44502.50	40737.74	29216372.00	36.47	10426.24	9588.00
1	8	4	6978.00	3928.00	154.80	0	Spot (Block1, Row4, Column8)	17422.99	16994.50	7797.95	0.01	0.45	2608.00	2713.65	2608.00	615.49	0.02	0.23	100.00	100.00	0.00	14386.50	14814.99	11464327.00	23.90	5941.79	5085.00
1	1	5	4885.00	4211.00	148.80	0	Spot (Block1, Row5, Column1)	28168.32	26438.00	13592.14	0.03	0.48	2256.00	2392.37	2256.00	579.18	0.03	0.24	100.00	100.00	0.33	24182.00	25912.32	16985500.00	44.50	7983.12	7278.00
1	2	5	5180.00	4210.00	162.35	0	Spot (Block1, Row5, Column2)	7592.08	7610.00	2094.94	0.00	0.28	2479.00	2657.20	2479.00	807.31	0.03	0.30	100.00	98.00	0.00	5131.00	5113.08	5564997.00	6.11	3684.99	3675.00
1	3	5	5482.00	4214.00	157.95	0	Spot (Block1, Row5, Column3)	45008.14	47030.00	18566.05	0.02	0.41	2506.00	2619.12	2506.00	585.34	0.02	0.22	100.00	100.00	30.43	44524.00	42502.14	31055824.00	72.42	10601.81	10094.00
1	4	5	5775.00	4220.00	151.15	0	Spot (Block1, Row5, Column4)	18403.74	17211.00	9127.48	0.03	0.50	2507.00	2584.42	2507.00	532.73	0.01	0.21	100.00	100.00	0.00	14704.00	15896.74	11447127.00	29.69	5697.63	5194.00
1	5	5	6083.00	4218.00	167.50	0	Spot (Block1, Row5, Column5)	64530.25	65535.00	4530.34	0.01	0.07	2605.00	2742.61	2605.00	634.14	0.02	0.23	100.00	100.00	93.11	62930.00	61925.25	50592232.00	97.44	20816.71	17516.50
1	6	5	6381.00	4215.00	156.30	0	Spot (Block1, Row5, Column6)	7654.65	7287.00	2429.81	0.02	0.32	2636.00	2870.09	2636.00	969.97	0.04	0.34	100.00	89.00	0.00	4651.00	5018.65	5136269.00	4.93	3853.57	3767.00
1	7	5	6686.00	4219.00	198.20	0	Spot (Block1, Row5, Column7)	55073.91	65535.00	15176.09	0.08	0.28	3017.00	3342.70	3017.00	1180.90	0.04	0.35	100.00	100.00	58.49	62518.00	52056.91	61297908.00	43.81	16004.91	15910.00
