ATF	1.0
30	28
"Checksum_ImageFile=a30332daafdbf8c8d6ecf3a29f926ee0"
"Checksum_ResultFile=0156e57cf2bd4aafe06259c722dce414"
"Type=Mapix Results 2"
"DateTime=2021/04/02 12:40:58"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_12h40m46_5µm_785nmGain000.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_12h40m46_5µm_785nmGain000.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=4500, 2400"
"ImageSize=16300.0, 70500.0"
"JpegOrigin=4550, 2735"
"JpegBrightness=48"
"JpegContrast=21"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=0"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4755.00	2935.00	153.70	0	Spot (Block1, Row1, Column1)	1448.01	1306.00	669.17	0.04	0.46	75.00	78.24	75.00	17.56	0.02	0.22	100.00	100.00	0.00	1231.00	1373.01	945550.00	78.01	339.77	274.50
1	2	1	5052.00	2947.00	173.00	0	Spot (Block1, Row1, Column2)	155.94	161.00	34.97	0.01	0.22	73.00	74.29	73.00	15.00	0.01	0.20	100.00	94.00	0.00	88.00	82.94	129432.00	5.44	95.86	96.00
1	3	1	5355.00	2943.00	153.50	0	Spot (Block1, Row1, Column3)	482.50	426.50	233.81	0.05	0.48	73.00	73.20	73.00	10.42	0.00	0.14	100.00	100.00	0.00	353.50	409.50	313626.00	39.28	152.92	157.50
1	4	1	5647.00	2949.00	165.20	0	Spot (Block1, Row1, Column4)	146.23	153.50	27.98	0.02	0.19	76.00	77.53	76.00	13.21	0.01	0.17	99.00	95.00	0.00	77.50	70.23	110548.00	5.20	99.46	99.00
1	5	1	5958.00	2944.00	149.25	0	Spot (Block1, Row1, Column5)	1341.65	1141.00	846.94	0.07	0.63	76.00	78.01	76.00	14.71	0.01	0.19	100.00	100.00	0.00	1065.00	1265.65	817063.00	85.93	326.32	253.00
1	6	1	6246.00	2934.00	145.70	0	Spot (Block1, Row1, Column6)	766.05	710.00	333.19	0.03	0.43	75.00	76.85	75.00	16.49	0.01	0.21	100.00	100.00	0.00	635.00	691.05	442010.00	41.79	257.41	173.00
1	7	1	6552.00	2945.00	147.25	0	Spot (Block1, Row1, Column7)	4072.68	3787.00	2112.62	0.03	0.52	75.00	77.59	75.00	20.24	0.01	0.26	100.00	100.00	0.00	3712.00	3997.68	2406955.00	197.38	890.27	748.00
1	8	1	6861.00	2934.00	164.55	0	Spot (Block1, Row1, Column8)	198.99	198.00	38.44	0.00	0.19	73.00	73.88	73.00	16.08	0.01	0.22	100.00	99.00	0.00	125.00	125.99	149637.00	7.78	111.80	108.00
1	1	2	4753.00	3239.00	147.00	-50	Spot (Block1, Row2, Column1)	69.51	68.00	10.20	0.01	0.15	75.00	75.90	75.00	14.50	0.01	0.19	3.00	0.00	0.00	-7.00	-5.49	40944.00	-0.44	72.55	72.00
1	2	2	5057.00	3240.00	129.05	0	Spot (Block1, Row2, Column2)	544.79	538.50	156.18	0.01	0.29	75.00	75.65	75.00	13.49	0.00	0.18	100.00	100.00	0.00	463.50	469.79	244065.00	34.77	200.22	186.50
1	3	2	5353.00	3240.00	147.00	-50	Spot (Block1, Row2, Column3)	81.65	84.00	10.38	0.01	0.13	75.00	75.79	75.00	11.96	0.00	0.16	34.00	2.00	0.00	9.00	6.65	48008.00	0.49	74.73	75.00
1	4	2	5659.00	3245.00	165.25	0	Spot (Block1, Row2, Column4)	409.82	399.50	137.69	0.01	0.34	78.00	80.07	78.00	13.03	0.01	0.16	100.00	100.00	0.00	321.50	331.82	309007.00	25.31	156.39	166.00
1	5	2	5958.00	3247.00	172.25	0	Spot (Block1, Row2, Column5)	997.69	994.00	330.18	0.00	0.33	80.00	81.67	80.00	14.77	0.01	0.18	100.00	100.00	0.00	914.00	917.69	821096.00	62.03	304.33	262.50
1	6	2	6249.00	3240.00	173.50	0	Spot (Block1, Row2, Column6)	115.53	114.00	17.16	0.01	0.15	78.00	79.58	78.00	15.88	0.01	0.20	92.00	61.00	0.00	36.00	37.53	97620.00	2.26	91.68	93.00
1	7	2	6555.00	3243.00	168.70	0	Spot (Block1, Row2, Column7)	186.71	189.00	40.70	0.01	0.22	76.00	77.36	76.00	15.77	0.01	0.20	99.00	97.00	0.00	113.00	110.71	147311.00	6.94	109.42	105.00
1	8	2	6898.00	3229.00	165.45	0	Spot (Block1, Row2, Column8)	81.80	83.00	8.65	0.01	0.11	72.00	72.58	72.00	10.08	0.00	0.14	51.00	10.00	0.00	11.00	9.80	62335.00	0.92	78.88	78.00
1	1	3	4753.00	3540.00	149.80	0	Spot (Block1, Row3, Column1)	705.04	651.00	359.91	0.03	0.51	72.00	73.19	72.00	11.31	0.01	0.15	100.00	100.00	0.00	579.00	633.04	432896.00	55.87	203.22	174.00
1	2	3	5064.00	3497.00	97.40	0	Spot (Block1, Row3, Column2)	88.66	90.00	8.40	0.01	0.09	74.00	75.14	74.00	11.98	0.01	0.16	69.00	14.00	0.00	16.00	14.66	21278.00	1.13	85.17	85.00
1	3	3	5355.00	3539.00	174.60	0	Spot (Block1, Row3, Column3)	99.15	97.00	18.10	0.01	0.18	74.00	74.78	74.00	12.28	0.00	0.16	75.00	46.00	0.00	23.00	25.15	84974.00	1.98	82.99	82.00
1	4	3	5655.00	3542.00	155.30	0	Spot (Block1, Row3, Column4)	354.61	352.00	117.75	0.00	0.33	78.00	78.18	78.00	11.94	0.00	0.15	100.00	100.00	0.00	274.00	276.61	234752.00	23.16	148.38	159.50
1	5	3	5908.00	3548.00	141.20	0	Spot (Block1, Row3, Column5)	92.98	93.00	9.86	0.00	0.11	79.00	80.64	79.00	14.63	0.01	0.18	48.00	5.00	0.00	14.00	13.98	50208.00	0.84	85.16	85.50
1	6	3	6256.00	3537.00	196.15	0	Spot (Block1, Row3, Column6)	400.80	379.00	166.71	0.02	0.42	81.00	82.71	81.00	16.82	0.01	0.20	100.00	100.00	0.00	298.00	319.80	436073.00	18.91	169.42	179.00
1	7	3	6558.00	3545.00	146.70	0	Spot (Block1, Row3, Column7)	1013.34	878.00	533.20	0.06	0.53	79.00	80.34	79.00	14.54	0.01	0.18	100.00	100.00	0.00	799.00	934.34	594833.00	64.17	270.16	186.00
