ATF	1.0
30	28
"Checksum_ImageFile=f27d813ce63e8ba245a472a1c8279898"
"Checksum_ResultFile=8496dc4986e78fe79c59c54b9628dec0"
"Type=Mapix Results 2"
"DateTime=2021/04/02 12:48:50"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_12h48m38_5µm_785nmGain001.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_12h48m38_5µm_785nmGain001.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4550, 2735"
"JpegBrightness=47"
"JpegContrast=11"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=1"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4756.00	2934.00	151.00	0	Spot (Block1, Row1, Column1)	6180.11	5561.00	3093.39	0.05	0.50	142.00	156.52	142.00	44.21	0.04	0.28	100.00	100.00	0.00	5419.00	6038.11	3868748.00	136.26	1586.44	1245.00
1	2	1	5050.00	2941.00	154.30	0	Spot (Block1, Row1, Column2)	565.65	566.00	183.50	0.00	0.32	145.00	150.45	145.00	32.26	0.02	0.21	100.00	99.00	0.00	421.00	420.65	372198.00	12.87	237.08	219.00
1	3	1	5353.00	2942.00	145.55	0	Spot (Block1, Row1, Column3)	2008.97	1782.00	1196.60	0.05	0.60	145.00	146.71	145.00	21.56	0.01	0.15	100.00	100.00	0.00	1637.00	1863.97	1161184.00	86.36	542.63	365.50
1	4	1	5648.00	2942.00	151.30	0	Spot (Block1, Row1, Column4)	474.54	478.00	160.25	0.00	0.34	152.00	155.33	152.00	29.26	0.01	0.19	100.00	99.00	0.00	326.00	322.54	297539.00	10.91	238.32	212.00
1	5	1	5959.00	2942.00	147.40	0	Spot (Block1, Row1, Column5)	5972.63	4761.00	4264.20	0.10	0.71	154.00	158.59	154.00	30.11	0.01	0.19	100.00	100.00	0.00	4607.00	5818.63	3541770.00	193.12	1126.39	756.00
1	6	1	6246.00	2932.00	145.75	0	Spot (Block1, Row1, Column6)	3211.29	2706.00	1780.40	0.07	0.55	150.00	156.37	150.00	42.97	0.02	0.27	100.00	100.00	0.00	2556.00	3061.29	1859336.00	71.10	909.36	482.00
1	7	1	6552.00	2944.00	147.05	0	Spot (Block1, Row1, Column7)	17470.95	16303.50	9674.95	0.03	0.55	147.00	155.19	147.00	51.13	0.02	0.33	100.00	100.00	0.00	16156.50	17323.95	10272921.00	338.64	3480.18	2596.00
1	8	1	6860.00	2939.00	156.75	0	Spot (Block1, Row1, Column8)	719.73	696.00	233.11	0.01	0.32	136.00	140.86	136.00	34.83	0.02	0.25	100.00	100.00	0.00	560.00	583.73	485818.00	16.62	279.79	263.00
1	1	2	4753.00	3238.00	147.00	-50	Spot (Block1, Row2, Column1)	139.37	138.00	16.37	0.00	0.12	140.00	146.38	140.00	29.79	0.02	0.20	1.00	0.00	0.00	-2.00	-0.63	82090.00	-0.24	132.46	133.00
1	2	2	5059.00	3239.00	125.80	0	Spot (Block1, Row2, Column2)	2264.09	2299.00	729.50	0.01	0.32	143.00	148.12	143.00	27.83	0.02	0.19	100.00	100.00	0.00	2156.00	2121.09	962238.00	76.04	590.95	554.00
