ATF	1.0
30	28
"Checksum_ImageFile=aa4a44a5d5a0b47e5619904bd8c6893d"
"Checksum_ResultFile=d3a7da91ad4d0df3a49c629f9fc16005"
"Type=Mapix Results 2"
"DateTime=2021/04/02 12:56:45"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_12h56m34_5µm_785nmGain005.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_12h56m34_5µm_785nmGain005.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4555, 2735"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.0"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=5"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4756.00	2932.00	151.10	0	Spot (Block1, Row1, Column1)	13860.72	12517.50	7202.66	0.04	0.52	266.00	287.00	266.00	87.44	0.03	0.30	100.00	100.00	0.00	12251.50	13594.72	8676813.00	155.24	3697.79	2510.50
1	2	1	5048.00	2938.00	149.35	0	Spot (Block1, Row1, Column2)	1184.58	1085.50	484.81	0.04	0.41	266.00	269.51	266.00	52.67	0.01	0.20	100.00	100.00	0.00	819.50	918.58	722593.00	17.37	511.87	474.00
1	3	1	5355.00	2941.00	147.40	0	Spot (Block1, Row1, Column3)	4558.40	3965.00	2819.34	0.06	0.62	270.00	268.69	270.00	35.64	0.00	0.13	100.00	100.00	0.00	3695.00	4288.40	2712246.00	120.35	1114.32	774.00
1	4	1	5651.00	2940.00	148.80	0	Spot (Block1, Row1, Column4)	1035.82	999.00	378.20	0.02	0.37	278.00	281.46	278.00	53.52	0.01	0.19	100.00	100.00	0.00	721.00	757.82	624597.00	14.09	454.42	409.00
1	5	1	5959.00	2940.00	148.45	0	Spot (Block1, Row1, Column5)	13176.12	10589.50	9515.88	0.09	0.72	280.00	283.18	280.00	59.05	0.00	0.21	100.00	100.00	0.00	10309.50	12896.12	7905671.00	218.33	2443.33	1819.00
1	6	1	6246.00	2932.00	146.85	0	Spot (Block1, Row1, Column6)	7151.74	6192.00	4252.29	0.06	0.59	275.00	279.32	275.00	100.13	0.01	0.36	100.00	100.00	0.00	5917.00	6876.74	4212376.00	68.64	2015.05	941.00
1	7	1	6552.00	2942.00	147.20	0	Spot (Block1, Row1, Column7)	38314.60	38033.00	20138.89	0.00	0.53	269.00	279.34	269.00	118.43	0.02	0.42	100.00	100.00	14.91	37764.00	38045.60	22873904.00	321.16	6646.22	4657.50
1	8	1	6860.00	2937.00	153.55	0	Spot (Block1, Row1, Column8)	1601.86	1544.00	641.88	0.02	0.40	251.00	258.55	251.00	72.88	0.01	0.28	100.00	100.00	0.00	1293.00	1350.86	1031598.00	18.43	598.60	505.00
1	1	2	4756.00	3236.00	147.00	-50	Spot (Block1, Row2, Column1)	261.20	270.00	22.79	0.01	0.09	262.00	265.20	262.00	50.39	0.01	0.19	0.00	0.00	0.00	8.00	-0.80	153326.00	-0.08	263.26	268.00
1	2	2	5058.00	3238.00	126.50	0	Spot (Block1, Row2, Column2)	5062.28	4731.00	1746.39	0.03	0.34	255.00	261.63	255.00	51.49	0.01	0.20	100.00	100.00	0.00	4476.00	4807.28	2161592.00	93.24	1238.64	1101.50
1	3	2	5367.00	3233.00	184.50	0	Spot (Block1, Row2, Column3)	325.29	314.00	45.25	0.02	0.14	262.00	266.63	262.00	51.69	0.01	0.19	50.00	26.00	0.00	52.00	63.29	309680.00	1.13	272.12	273.50
1	4	2	5661.00	3241.00	158.30	0	Spot (Block1, Row2, Column4)	3627.93	3538.00	1316.46	0.01	0.36	282.00	289.45	282.00	61.11	0.01	0.21	100.00	100.00	0.00	3256.00	3345.93	2499647.00	54.63	1023.94	948.00
1	5	2	5959.00	3243.00	172.60	0	Spot (Block1, Row2, Column5)	8651.37	8461.00	3382.70	0.01	0.39	290.00	297.42	290.00	63.78	0.01	0.21	100.00	100.00	0.00	8171.00	8361.37	7197937.00	130.97	2071.17	1752.00
1	6	2	6248.00	3240.00	154.30	0	Spot (Block1, Row2, Column6)	690.30	665.00	218.27	0.02	0.32	282.00	284.03	282.00	83.55	0.00	0.29	99.00	86.00	0.00	383.00	408.30	453529.00	4.86	381.34	374.50
1	7	2	6557.00	3239.00	150.70	0	Spot (Block1, Row2, Column7)	1541.93	1395.50	756.10	0.04	0.49	257.00	264.91	257.00	81.86	0.01	0.31	100.00	99.00	0.00	1138.50	1284.93	959082.00	15.60	548.07	451.50
1	8	2	6904.00	3236.00	158.85	0	Spot (Block1, Row2, Column8)	276.10	281.00	23.38	0.01	0.08	243.00	249.01	243.00	30.63	0.01	0.12	64.00	7.00	0.00	38.00	33.10	192166.00	0.88	262.69	272.00
1	1	3	4755.00	3538.00	148.45	0	Spot (Block1, Row3, Column1)	6628.78	5743.00	4305.83	0.06	0.65	248.00	254.07	248.00	36.95	0.01	0.15	100.00	100.00	0.00	5495.00	6380.78	3990528.00	172.52	1460.03	1093.50
