ATF	1.0
30	28
"Checksum_ImageFile=23a5afb2f8cbcb1b952fccccf3079b8e"
"Checksum_ResultFile=11943889b869f31c861e8f67288f213c"
"Type=Mapix Results 2"
"DateTime=2021/04/02 13:04:41"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h04m29_785nmGain010.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h04m29_785nmGain010.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4550, 2735"
"JpegBrightness=43"
"JpegContrast=12"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.2"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4756.00	2932.00	152.50	0	Spot (Block1, Row1, Column1)	20971.97	18974.00	11220.27	0.04	0.54	348.00	401.16	348.00	146.13	0.06	0.36	100.00	100.00	0.16	18626.00	20623.97	13317199.00	140.77	5063.43	3169.00
1	2	1	5050.00	2938.00	149.90	0	Spot (Block1, Row1, Column2)	1792.78	1663.50	765.63	0.03	0.43	351.00	367.18	351.00	85.96	0.02	0.23	100.00	100.00	0.00	1312.50	1441.78	1104350.00	16.58	724.05	644.00
1	3	1	5355.00	2942.00	146.50	0	Spot (Block1, Row1, Column3)	6908.78	5989.00	4339.48	0.06	0.63	367.00	362.21	367.00	51.38	0.01	0.14	100.00	100.00	0.00	5622.00	6541.78	4055452.00	127.41	1731.37	1327.50
1	4	1	5649.00	2941.00	148.50	0	Spot (Block1, Row1, Column4)	1528.92	1475.00	607.70	0.02	0.40	390.00	393.70	390.00	83.65	0.00	0.21	100.00	100.00	0.00	1085.00	1138.92	918881.00	13.57	689.85	604.00
1	5	1	5959.00	2940.00	148.30	0	Spot (Block1, Row1, Column5)	20249.88	16695.00	14835.05	0.08	0.73	392.00	403.26	392.00	86.65	0.01	0.21	100.00	100.00	0.00	16303.00	19857.88	12109425.00	229.04	3820.44	2911.00
1	6	1	6246.00	2931.00	146.95	0	Spot (Block1, Row1, Column6)	10845.30	9305.00	6584.84	0.07	0.61	383.00	392.02	383.00	148.07	0.01	0.38	100.00	100.00	0.00	8922.00	10462.30	6398727.00	70.60	2855.09	1449.00
1	7	1	6552.00	2942.00	148.05	0	Spot (Block1, Row1, Column7)	47524.78	54653.00	19063.06	0.06	0.40	381.00	388.98	381.00	169.84	0.01	0.44	100.00	100.00	40.89	54272.00	47143.78	28705152.00	277.54	9752.95	6573.00
1	8	1	6861.00	2936.00	153.00	0	Spot (Block1, Row1, Column8)	2382.88	2299.00	921.33	0.02	0.39	322.00	350.82	322.00	101.88	0.04	0.29	100.00	100.00	0.00	1977.00	2060.88	1520279.00	19.95	909.38	757.00
1	1	2	4755.00	3237.00	147.00	-50	Spot (Block1, Row2, Column1)	358.84	368.00	47.51	0.01	0.13	351.00	364.42	351.00	81.17	0.02	0.22	4.00	0.00	0.00	17.00	7.84	210999.00	-0.07	366.10	380.00
1	2	2	5059.00	3238.00	127.20	0	Spot (Block1, Row2, Column2)	7666.58	7457.00	2775.90	0.01	0.36	347.00	364.23	347.00	76.66	0.02	0.21	100.00	100.00	0.00	7110.00	7319.58	3296628.00	95.25	1846.43	1696.00
