ATF	1.0
30	28
"Checksum_ImageFile=7fc5b5067252bf9659439ad92abbf019"
"Checksum_ResultFile=8699e0afbcf0ab2bf6a4812d5afbffcd"
"Type=Mapix Results 2"
"DateTime=2021/04/02 13:12:38"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h12m26_785nmGain020.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h12m26_785nmGain020.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4550, 2735"
"JpegBrightness=35"
"JpegContrast=15"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.3"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=20"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4756.00	2932.00	152.75	0	Spot (Block1, Row1, Column1)	36038.60	33015.00	18284.90	0.04	0.51	583.00	653.86	583.00	252.46	0.05	0.39	100.00	100.00	8.14	32432.00	35455.60	23028724.00	140.16	8909.75	5790.00
1	2	1	5050.00	2939.00	151.45	0	Spot (Block1, Row1, Column2)	3078.59	2926.00	1273.96	0.02	0.41	582.00	592.09	582.00	155.08	0.01	0.26	100.00	100.00	0.00	2344.00	2496.59	1936434.00	16.03	1127.25	996.00
1	3	1	5355.00	2941.00	147.90	0	Spot (Block1, Row1, Column3)	12137.45	10128.00	7820.81	0.08	0.64	592.00	591.14	592.00	97.05	0.00	0.16	100.00	100.00	0.00	9536.00	11545.45	7246059.00	118.97	2877.84	2077.00
1	4	1	5651.00	2940.00	149.60	0	Spot (Block1, Row1, Column4)	2695.23	2557.50	1103.33	0.02	0.41	605.00	636.74	605.00	146.18	0.02	0.23	100.00	99.00	0.00	1952.50	2090.23	1654869.00	14.08	1162.03	1040.50
1	5	1	5959.00	2940.00	149.25	0	Spot (Block1, Row1, Column5)	33135.51	28977.50	22632.04	0.06	0.68	609.00	654.50	609.00	163.28	0.03	0.25	100.00	100.00	16.72	28368.50	32526.51	20013896.00	198.93	6406.17	4898.50
1	6	1	6246.00	2932.00	146.95	0	Spot (Block1, Row1, Column6)	19323.74	16434.50	11698.63	0.07	0.61	597.00	636.75	597.00	218.32	0.03	0.34	100.00	100.00	0.00	15837.50	18726.74	11478299.00	85.59	4986.11	2771.00
1	7	1	6553.00	2943.00	150.25	0	Spot (Block1, Row1, Column7)	56681.39	65535.00	13255.75	0.06	0.23	595.00	636.49	595.00	240.09	0.03	0.38	100.00	100.00	61.55	64940.00	56086.39	35086056.00	233.43	14430.69	10273.00
1	8	1	6861.00	2937.00	155.10	0	Spot (Block1, Row1, Column8)	4115.41	3928.00	1585.68	0.02	0.39	581.00	584.00	581.00	156.19	0.00	0.27	100.00	100.00	0.00	3347.00	3534.41	2724400.00	22.61	1411.08	1150.00
1	1	2	4756.00	3237.00	147.00	-50	Spot (Block1, Row2, Column1)	594.78	595.50	71.08	0.00	0.12	586.00	598.23	586.00	148.48	0.01	0.25	3.00	0.00	0.00	9.50	8.78	350919.00	-0.02	601.62	602.50
1	2	2	5060.00	3238.00	127.80	0	Spot (Block1, Row2, Column2)	13480.60	13267.00	4969.86	0.01	0.37	583.00	590.79	583.00	134.43	0.01	0.23	100.00	100.00	0.00	12684.00	12897.60	5823618.00	95.88	3155.15	3087.00
1	3	2	5360.00	3238.00	171.15	0	Spot (Block1, Row2, Column3)	783.55	765.50	138.78	0.01	0.18	593.00	602.72	593.00	134.39	0.01	0.22	56.00	29.00	0.00	172.50	190.55	640944.00	1.35	629.56	605.00
1	4	2	5661.00	3241.00	159.35	0	Spot (Block1, Row2, Column4)	9550.60	9425.00	3560.19	0.01	0.37	612.00	668.75	612.00	177.74	0.04	0.27	100.00	100.00	0.00	8813.00	8938.60	6733173.00	49.97	2524.76	2438.00
1	5	2	5958.00	3244.00	173.80	0	Spot (Block1, Row2, Column5)	23272.35	22161.00	9429.06	0.02	0.41	630.00	685.84	630.00	185.66	0.04	0.27	100.00	100.00	0.00	21531.00	22642.35	19641866.00	121.66	5201.57	4447.00
