ATF	1.0
30	28
"Checksum_ImageFile=8b24e38cbe15f0b59dfc970d55a6c6a4"
"Checksum_ResultFile=f11bac299a72089ee8495ae4d676de96"
"Type=Mapix Results 2"
"DateTime=2021/04/02 13:20:35"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h20m22_5µm_785nmGain025.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h20m22_5µm_785nmGain025.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4555, 2735"
"JpegBrightness=31"
"JpegContrast=17"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.4"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=25"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4756.00	2932.00	153.70	0	Spot (Block1, Row1, Column1)	40647.46	40213.50	19015.87	0.00	0.47	691.00	773.37	691.00	291.08	0.05	0.38	100.00	100.00	20.43	39522.50	39956.46	26258392.00	136.99	9765.05	6642.50
1	2	1	5053.00	2940.00	148.60	0	Spot (Block1, Row1, Column2)	3825.61	3518.50	1576.09	0.04	0.41	685.00	704.71	685.00	189.15	0.01	0.27	100.00	100.00	0.00	2833.50	3140.61	2303019.00	16.50	1433.24	1344.00
1	3	1	5356.00	2940.00	147.85	0	Spot (Block1, Row1, Column3)	14569.54	12309.00	9350.96	0.07	0.64	692.00	702.42	692.00	108.49	0.01	0.15	100.00	100.00	0.00	11617.00	13877.54	8639738.00	127.82	3549.30	2685.00
1	4	1	5652.00	2942.00	147.25	0	Spot (Block1, Row1, Column4)	3199.92	3056.50	1244.87	0.02	0.39	707.00	757.79	707.00	164.48	0.03	0.22	100.00	100.00	0.00	2349.50	2492.92	1913552.00	14.85	1346.19	1156.50
1	5	1	5959.00	2939.00	150.15	0	Spot (Block1, Row1, Column5)	36620.17	34092.50	23245.61	0.03	0.63	717.00	771.37	717.00	189.93	0.03	0.25	100.00	100.00	25.90	33375.50	35903.17	22484872.00	188.74	6913.40	4885.00
1	6	1	6247.00	2931.00	147.05	0	Spot (Block1, Row1, Column6)	23293.99	19746.00	14124.69	0.07	0.61	701.00	754.40	701.00	247.75	0.03	0.33	100.00	100.00	0.34	19045.00	22592.99	13836629.00	90.98	6058.22	3042.50
1	7	1	6553.00	2942.00	151.00	0	Spot (Block1, Row1, Column7)	59330.92	65535.00	10501.44	0.04	0.18	695.00	751.82	695.00	284.55	0.03	0.38	100.00	100.00	67.73	64840.00	58635.92	37141468.00	205.87	15415.29	11124.00
1	8	1	6860.00	2936.00	156.35	0	Spot (Block1, Row1, Column8)	4821.73	4533.00	1951.10	0.03	0.40	662.00	681.21	662.00	190.67	0.01	0.28	100.00	100.00	0.00	3871.00	4159.73	3245025.00	21.72	1694.61	1346.50
1	1	2	4756.00	3237.00	147.00	-50	Spot (Block1, Row2, Column1)	691.52	682.00	78.82	0.01	0.11	688.00	703.92	688.00	175.79	0.01	0.25	3.00	0.00	0.00	-6.00	3.52	408691.00	-0.07	723.80	691.00
1	2	2	5060.00	3238.00	128.10	0	Spot (Block1, Row2, Column2)	16281.71	16135.00	6232.47	0.00	0.38	689.00	703.60	689.00	158.25	0.01	0.22	100.00	100.00	0.00	15446.00	15592.71	7115105.00	98.44	3720.78	3377.50
