ATF	1.0
30	28
"Checksum_ImageFile=f9e564927b9a4b0c531f22a4cae57c4c"
"Checksum_ResultFile=18147a776085fb486e3e835cef406c57"
"Type=Mapix Results 2"
"DateTime=2021/04/02 13:28:31"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h28m19_5µm_785nmGain050.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h28m19_5µm_785nmGain050.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4555, 2735"
"JpegBrightness=23"
"JpegContrast=23"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.5"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=50"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4757.00	2932.00	156.05	0	Spot (Block1, Row1, Column1)	53408.79	65535.00	15098.85	0.09	0.28	1184.00	1348.24	1184.00	484.87	0.06	0.36	100.00	100.00	50.59	64351.00	52224.79	35997816.00	107.37	12505.27	9542.50
1	2	1	5052.00	2940.00	150.60	0	Spot (Block1, Row1, Column2)	6675.40	6325.00	2645.41	0.02	0.40	1186.00	1237.27	1186.00	300.97	0.02	0.24	100.00	100.00	0.00	5139.00	5489.40	4152096.00	18.07	2433.58	2330.00
1	3	1	5356.00	2941.00	148.60	0	Spot (Block1, Row1, Column3)	25929.70	23108.00	16136.97	0.05	0.62	1200.00	1231.05	1200.00	167.30	0.01	0.14	100.00	100.00	0.33	21908.00	24729.70	15739327.00	147.63	5942.73	4589.50
1	4	1	5652.00	2941.00	149.80	0	Spot (Block1, Row1, Column4)	5684.09	5323.50	2273.85	0.03	0.40	1282.00	1331.64	1282.00	275.32	0.02	0.21	100.00	100.00	0.00	4041.50	4402.09	3490034.00	15.81	2429.21	2238.00
1	5	1	5960.00	2940.00	153.50	0	Spot (Block1, Row1, Column5)	45857.52	56536.00	21714.48	0.09	0.47	1289.00	1353.96	1289.00	296.04	0.02	0.22	100.00	100.00	44.99	55247.00	44568.52	29761724.00	150.33	8626.51	7226.50
1	6	1	6249.00	2933.00	148.15	0	Spot (Block1, Row1, Column6)	39294.01	37502.50	19067.75	0.02	0.49	1230.00	1315.56	1230.00	373.31	0.03	0.28	100.00	100.00	19.67	36272.50	38064.01	23576508.00	101.73	9910.97	6547.00
1	7	1	6554.00	2943.00	155.90	0	Spot (Block1, Row1, Column7)	64273.31	65535.00	5358.88	0.01	0.08	1222.00	1315.27	1222.00	417.81	0.03	0.32	100.00	100.00	88.79	64313.00	63051.31	42999248.00	150.68	18306.64	13858.50
1	8	1	6861.00	2936.00	155.20	0	Spot (Block1, Row1, Column8)	8914.53	8502.50	3442.32	0.02	0.39	1178.00	1207.12	1178.00	259.66	0.01	0.22	100.00	100.00	0.00	7324.50	7736.53	5901420.00	29.68	3141.07	2677.00
1	1	2	4756.00	3237.00	147.00	-50	Spot (Block1, Row2, Column1)	1232.45	1199.00	100.53	0.01	0.08	1190.00	1243.82	1190.00	279.67	0.02	0.22	1.00	0.00	0.00	9.00	42.45	730842.00	-0.04	1278.92	1219.00
1	2	2	5060.00	3238.00	128.90	0	Spot (Block1, Row2, Column2)	28989.20	29176.00	10308.63	0.00	0.36	1187.00	1233.64	1187.00	266.29	0.02	0.22	100.00	100.00	0.00	27989.00	27802.20	12784239.00	104.23	7013.95	6346.00
1	3	2	5357.00	3234.00	160.45	0	Spot (Block1, Row2, Column3)	1703.23	1681.50	232.78	0.01	0.14	1206.00	1274.38	1206.00	280.53	0.02	0.22	81.00	32.00	0.00	475.50	497.23	1205887.00	1.53	1373.86	1357.50
1	4	2	5662.00	3241.00	159.75	0	Spot (Block1, Row2, Column4)	20897.95	20472.50	7673.29	0.01	0.37	1317.00	1407.27	1317.00	358.95	0.03	0.26	100.00	100.00	0.00	19155.50	19580.95	14753950.00	54.30	5421.84	5052.50
1	5	2	5959.00	3244.00	174.70	0	Spot (Block1, Row2, Column5)	47347.90	48942.00	15699.28	0.01	0.33	1389.00	1457.58	1389.00	354.79	0.02	0.24	100.00	100.00	23.27	47553.00	45958.90	40482656.00	129.35	10781.81	9083.00
1	6	2	6252.00	3242.00	151.85	0	Spot (Block1, Row2, Column6)	3825.13	3677.00	1263.69	0.02	0.33	1296.00	1387.58	1296.00	394.31	0.03	0.28	100.00	96.00	0.00	2381.00	2529.13	2421309.00	6.18	1964.14	1869.50
1	7	2	6556.00	3240.00	151.70	0	Spot (Block1, Row2, Column7)	8801.42	8221.50	4428.39	0.03	0.50	1212.00	1268.83	1212.00	284.37	0.02	0.22	100.00	100.00	0.00	7009.50	7589.42	5562498.00	26.49	2791.31	2419.00
1	8	2	6857.00	3240.00	147.00	-50	Spot (Block1, Row2, Column8)	1278.42	1270.50	144.84	0.00	0.11	1177.00	1186.51	1177.00	154.01	0.00	0.13	28.00	8.00	0.00	93.50	101.42	751713.00	0.60	1295.65	1280.00
1	1	3	4756.00	3538.00	150.90	0	Spot (Block1, Row3, Column1)	35184.49	32837.50	21324.79	0.03	0.61	1172.00	1197.78	1172.00	171.67	0.01	0.14	100.00	100.00	15.54	31665.50	34012.49	21955200.00	197.97	7503.71	6329.00
1	2	3	5062.00	3535.00	161.00	0	Spot (Block1, Row3, Column2)	1879.12	1864.00	332.97	0.00	0.18	1197.50	1241.94	1197.50	223.35	0.02	0.18	92.00	71.00	0.00	666.50	681.62	1341695.00	2.85	1378.75	1387.00
1	3	3	5350.00	3536.00	154.70	0	Spot (Block1, Row3, Column3)	3173.91	2366.00	3294.82	0.13	1.04	1229.00	1277.76	1229.00	226.58	0.02	0.18	100.00	95.00	0.00	1137.00	1944.91	2085262.00	8.37	1642.39	1592.50
1	4	3	5655.00	3537.00	148.80	0	Spot (Block1, Row3, Column4)	18798.09	18107.00	9511.89	0.02	0.51	1293.00	1331.09	1293.00	224.43	0.01	0.17	100.00	100.00	0.00	16814.00	17505.09	11429241.00	77.83	5842.65	5151.50
1	5	3	5946.00	3526.00	152.05	0	Spot (Block1, Row3, Column5)	2428.20	2020.00	1858.65	0.08	0.77	1362.00	1433.18	1362.00	370.94	0.02	0.26	78.00	45.00	0.00	658.00	1066.20	1537053.00	2.68	1700.82	1586.00
1	6	3	6260.00	3535.00	198.60	0	Spot (Block1, Row3, Column6)	17650.95	13887.00	10348.29	0.10	0.59	1418.50	1545.80	1418.50	450.13	0.04	0.29	100.00	100.00	0.00	12468.50	16232.45	19645510.00	35.78	5333.49	5296.00
1	7	3	6561.00	3542.00	148.70	0	Spot (Block1, Row3, Column7)	43737.83	48340.50	21069.75	0.04	0.48	1302.00	1386.21	1302.00	348.95	0.03	0.25	100.00	100.00	35.48	47038.50	42435.83	26505272.00	121.37	10220.80	7745.00
1	8	3	6858.00	3548.00	157.45	0	Spot (Block1, Row3, Column8)	3788.93	3773.00	1077.33	0.00	0.28	1190.00	1221.77	1190.00	204.20	0.01	0.17	100.00	99.00	0.00	2583.00	2598.93	2587842.00	12.57	1980.96	1858.00
1	1	4	4759.00	3834.00	148.80	0	Spot (Block1, Row4, Column1)	18655.74	16879.00	10212.54	0.04	0.55	1154.00	1195.97	1154.00	191.88	0.02	0.16	100.00	100.00	0.00	15725.00	17501.74	11249412.00	90.99	5149.58	3555.00
1	2	4	5055.00	3836.00	165.70	0	Spot (Block1, Row4, Column2)	6263.04	6085.00	2406.73	0.01	0.38	1191.00	1248.38	1191.00	245.49	0.02	0.20	100.00	100.00	0.00	4894.00	5072.04	4778699.00	20.43	2258.47	2232.50
1	3	4	5359.00	3840.00	151.25	0	Spot (Block1, Row4, Column3)	52976.65	65535.00	16625.15	0.09	0.31	1288.00	1341.63	1288.00	304.13	0.02	0.23	100.00	100.00	53.12	64247.00	51688.65	33110656.00	169.78	13000.83	10023.00
1	4	4	5654.00	3845.00	171.70	0	Spot (Block1, Row4, Column4)	1933.99	1887.00	320.89	0.01	0.17	1316.00	1359.64	1316.00	214.19	0.01	0.16	92.00	70.00	0.00	571.00	617.99	1587802.00	2.68	1504.34	1499.00
1	5	4	5957.00	3842.00	152.40	0	Spot (Block1, Row4, Column5)	1834.96	1776.00	439.70	0.01	0.24	1317.00	1384.21	1317.00	336.10	0.02	0.24	65.00	21.00	0.00	459.00	517.96	1167033.00	1.34	1534.19	1529.00
1	6	4	6260.00	3839.00	177.80	0	Spot (Block1, Row4, Column6)	51231.29	54578.00	14402.03	0.03	0.28	1379.00	1471.77	1379.00	420.89	0.03	0.29	100.00	100.00	32.99	53199.00	49852.29	45032608.00	118.23	13777.07	12149.00
1	7	4	6549.00	3840.00	148.10	0	Spot (Block1, Row4, Column7)	34116.66	29544.00	22937.03	0.06	0.67	1390.00	1510.63	1390.00	555.26	0.04	0.37	100.00	100.00	20.67	28154.00	32726.66	20299468.00	58.72	7143.13	5777.00
1	8	4	6856.00	3847.00	150.60	0	Spot (Block1, Row4, Column8)	9767.33	9204.00	4754.63	0.03	0.49	1238.00	1286.54	1238.00	251.28	0.02	0.20	100.00	100.00	0.00	7966.00	8529.33	6045979.00	33.75	3349.62	2884.00
1	1	5	4758.00	4141.00	146.55	0	Spot (Block1, Row5, Column1)	13716.04	12250.00	7291.79	0.05	0.53	1182.00	1238.97	1182.00	249.11	0.02	0.20	100.00	100.00	0.00	11068.00	12534.04	8023884.00	50.09	3821.95	3123.00
1	2	5	5057.00	4137.00	160.55	0	Spot (Block1, Row5, Column2)	3841.91	3766.50	1063.71	0.01	0.28	1210.00	1327.23	1210.00	449.62	0.04	0.34	100.00	96.00	0.00	2556.50	2631.91	2750808.00	5.59	1839.60	1820.00
