ATF	1.0
30	28
"Checksum_ImageFile=c09e3beda3be420b9107d63f3e34c0af"
"Checksum_ResultFile=bf7ca25d2a7a452c9464bce9544a4b39"
"Type=Mapix Results 2"
"DateTime=2021/04/02 13:36:28"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h36m16_5µm_785nmGain075.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h36m16_5µm_785nmGain075.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4555, 2735"
"JpegBrightness=13"
"JpegContrast=44"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.7"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=75"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4758.00	2933.00	157.50	0	Spot (Block1, Row1, Column1)	58773.85	65535.00	10733.79	0.05	0.18	1606.00	1849.45	1606.00	661.36	0.06	0.36	100.00	100.00	63.44	63929.00	57167.85	40025348.00	86.07	16105.10	14343.00
1	2	1	5053.00	2939.00	151.90	0	Spot (Block1, Row1, Column2)	8817.78	8752.00	3500.71	0.00	0.40	1600.00	1679.42	1600.00	389.57	0.02	0.23	100.00	100.00	0.00	7152.00	7217.78	5564017.00	18.32	3212.43	3125.00
1	3	1	5356.00	2940.00	150.35	0	Spot (Block1, Row1, Column3)	33428.46	30086.50	19547.14	0.05	0.58	1610.50	1661.60	1610.50	221.74	0.01	0.13	100.00	100.00	7.42	28476.00	31817.96	20725688.00	143.26	7814.42	6613.50
1	4	1	5652.00	2940.00	148.70	0	Spot (Block1, Row1, Column4)	7704.87	7467.00	2812.86	0.01	0.37	1731.00	1808.83	1731.00	354.69	0.02	0.20	100.00	100.00	0.00	5736.00	5973.87	4669151.00	16.62	3456.11	3215.50
1	5	1	5960.00	2939.00	156.70	0	Spot (Block1, Row1, Column5)	49975.02	65535.00	19765.14	0.12	0.40	1775.50	1846.40	1775.50	403.58	0.02	0.22	100.00	100.00	51.92	63759.50	48199.52	33783372.00	119.25	10921.83	9332.00
1	6	1	6251.00	2933.00	148.55	0	Spot (Block1, Row1, Column6)	47268.91	51675.00	18022.09	0.04	0.38	1701.00	1798.40	1701.00	455.73	0.02	0.25	100.00	100.00	35.27	49974.00	45567.91	28408792.00	99.78	13228.58	9785.00
1	7	1	6554.00	2942.00	159.70	0	Spot (Block1, Row1, Column7)	64316.04	65535.00	5382.31	0.01	0.08	1697.00	1797.23	1697.00	511.09	0.02	0.28	100.00	100.00	92.92	63838.00	62619.04	45407560.00	122.32	19537.24	15712.00
1	8	1	6862.00	2937.00	156.45	0	Spot (Block1, Row1, Column8)	11625.75	11219.50	4368.18	0.02	0.38	1589.00	1649.18	1589.00	353.89	0.02	0.21	100.00	100.00	0.00	9630.50	10036.75	7905508.00	28.19	3953.85	3569.50
1	1	2	4757.00	3237.00	147.00	-50	Spot (Block1, Row2, Column1)	1675.01	1677.50	116.15	0.00	0.07	1630.00	1701.22	1630.00	362.92	0.02	0.21	0.00	0.00	0.00	47.50	45.01	998305.00	-0.07	1702.46	1693.00
1	2	2	5060.00	3238.00	129.65	0	Spot (Block1, Row2, Column2)	38812.34	39795.50	14009.96	0.01	0.36	1605.00	1683.67	1605.00	384.33	0.02	0.23	100.00	100.00	2.43	38190.50	37207.34	17543188.00	96.61	8985.07	8431.00
