ATF	1.0
30	28
"Checksum_ImageFile=d8ed539be2f882f7fee7e1dd9f120118"
"Checksum_ResultFile=a9c3030fbc0353e36bc015fcb9b09595"
"Type=Mapix Results 2"
"DateTime=2021/04/02 13:44:30"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h44m18_5µm_785nmGain100.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0138_12860A01-D12_IgGgamma_785\Joseph_2021-04-02_13h44m18_5µm_785nmGain100.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4555, 2735"
"JpegBrightness=8"
"JpegContrast=77"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.7"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=100"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4758.00	2932.00	161.45	0	Spot (Block1, Row1, Column1)	61205.17	65535.00	8772.44	0.03	0.14	2206.00	2508.86	2206.00	795.67	0.06	0.32	100.00	100.00	72.34	63329.00	58999.17	44251760.00	73.77	18891.63	16698.50
1	2	1	5053.00	2940.00	152.65	0	Spot (Block1, Row1, Column2)	11312.78	11015.50	4225.58	0.01	0.37	2205.00	2330.65	2205.00	546.96	0.02	0.23	100.00	100.00	0.00	8810.50	9107.78	7240180.00	16.42	4324.69	4047.00
1	3	1	5358.00	2941.00	153.10	0	Spot (Block1, Row1, Column3)	39467.05	38483.50	20350.50	0.01	0.52	2244.00	2297.30	2244.00	289.25	0.01	0.13	100.00	100.00	21.65	36239.50	37223.05	25337976.00	128.50	9555.16	8420.00
1	4	1	5653.00	2942.00	151.10	0	Spot (Block1, Row1, Column4)	9904.93	9778.00	3482.22	0.01	0.35	2386.00	2490.34	2386.00	472.21	0.02	0.19	100.00	100.00	0.00	7392.00	7518.93	6190580.00	15.70	4417.78	4252.00
1	5	1	5961.00	2939.00	160.55	0	Spot (Block1, Row1, Column5)	53215.36	65535.00	17422.54	0.09	0.33	2425.00	2544.73	2425.00	515.57	0.02	0.20	100.00	100.00	59.01	63110.00	50790.36	37783224.00	98.28	12888.57	11856.50
1	6	1	6251.00	2933.00	152.15	0	Spot (Block1, Row1, Column6)	52030.48	62491.00	15715.11	0.08	0.30	2352.00	2458.58	2352.00	534.28	0.02	0.22	100.00	100.00	47.32	60139.00	49678.48	32987572.00	92.78	14261.96	12064.50
1	7	1	6555.00	2942.00	165.75	0	Spot (Block1, Row1, Column7)	64217.54	65535.00	5311.09	0.01	0.08	2306.00	2436.52	2306.00	563.12	0.02	0.23	100.00	100.00	92.40	63229.00	61911.54	48998468.00	109.71	18762.51	15851.50
1	8	1	6863.00	2936.00	157.65	0	Spot (Block1, Row1, Column8)	14880.88	14521.50	5151.17	0.01	0.35	2183.00	2257.53	2183.00	383.73	0.01	0.17	100.00	100.00	0.00	12338.50	12697.88	10238047.00	32.90	5312.17	4790.50
1	1	2	4757.00	3237.00	147.00	-50	Spot (Block1, Row2, Column1)	2285.68	2275.00	131.14	0.00	0.06	2229.00	2341.21	2229.00	513.90	0.02	0.22	0.00	0.00	0.00	46.00	56.68	1359977.00	-0.11	2312.39	2286.00
1	2	2	5061.00	3238.00	131.60	0	Spot (Block1, Row2, Column2)	47298.89	49531.00	15320.84	0.02	0.32	2230.00	2337.91	2230.00	504.47	0.02	0.22	100.00	100.00	20.77	47301.00	45068.89	22088660.00	89.13	12156.08	11271.00
