ATF	1.0
30	28
"Checksum_ImageFile=b9a0569751141a14ab6db72a842479d6"
"Checksum_ResultFile=af82e4ad92ac61ca88e9fe70b61cd064"
"Type=Mapix Results 2"
"DateTime=2021/04/02 13:57:31"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_13h57m14_5µm_785nmGain000.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_13h57m14_5µm_785nmGain000.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=4500, 2400"
"ImageSize=16300.0, 70500.0"
"JpegOrigin=4486, 2805"
"JpegBrightness=49"
"JpegContrast=85"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.7"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=0"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4678.00	3006.00	151.15	0	Spot (Block1, Row1, Column1)	2000.52	1838.00	887.79	0.04	0.44	128.00	129.97	128.00	17.49	0.01	0.13	100.00	100.00	0.00	1710.00	1872.52	1250322.00	106.93	582.17	455.50
1	2	1	4986.00	3006.00	147.00	-50	Spot (Block1, Row1, Column2)	143.27	142.00	17.37	0.00	0.12	127.00	128.59	127.00	14.99	0.01	0.12	51.00	27.00	0.00	15.00	16.27	84388.00	0.98	133.02	132.00
1	3	1	5286.00	3007.00	147.00	-50	Spot (Block1, Row1, Column3)	134.89	130.00	16.50	0.02	0.12	129.00	130.01	129.00	14.13	0.00	0.11	27.00	14.00	0.00	1.00	5.89	80125.00	0.35	130.24	125.00
1	4	1	5587.00	3007.00	147.00	-50	Spot (Block1, Row1, Column4)	137.18	134.00	13.90	0.01	0.10	134.00	136.32	134.00	15.85	0.01	0.12	22.00	3.00	0.00	0.00	3.18	81762.00	0.05	139.55	137.00
1	5	1	5887.00	3007.00	147.00	-50	Spot (Block1, Row1, Column5)	146.77	147.00	9.64	0.00	0.07	140.00	142.38	140.00	17.01	0.01	0.12	13.00	0.00	0.00	7.00	6.77	87475.00	0.26	140.70	139.00
1	6	1	6187.00	3007.00	147.00	-50	Spot (Block1, Row1, Column6)	156.69	157.00	15.38	0.00	0.10	143.00	145.05	143.00	18.13	0.01	0.12	41.00	5.00	0.00	14.00	13.69	92761.00	0.64	149.02	146.00
1	7	1	6487.00	3007.00	147.00	-50	Spot (Block1, Row1, Column7)	170.33	172.00	17.48	0.00	0.10	148.00	149.54	148.00	18.10	0.00	0.12	60.00	22.00	0.00	24.00	22.33	101345.00	1.15	159.12	159.00
1	8	1	6825.00	2983.00	187.25	0	Spot (Block1, Row1, Column8)	178.47	179.00	13.84	0.00	0.08	153.00	152.90	153.00	19.91	0.00	0.13	66.00	15.00	0.00	26.00	25.47	175614.00	1.28	166.72	169.00
1	1	2	4686.00	3306.00	147.00	-50	Spot (Block1, Row2, Column1)	119.90	120.00	11.29	0.00	0.09	126.00	127.60	126.00	16.98	0.01	0.13	2.00	0.00	0.00	-6.00	-6.10	70261.00	-0.45	124.03	123.00
1	2	2	4992.00	3304.00	143.75	0	Spot (Block1, Row2, Column2)	155.36	159.00	16.56	0.01	0.11	127.00	128.05	127.00	13.16	0.00	0.10	77.00	60.00	0.00	32.00	28.36	87623.00	2.08	140.01	136.50
