ATF	1.0
30	28
"Checksum_ImageFile=7da2a8b247e4f57394b979d137506462"
"Checksum_ResultFile=d86737903462102b929bd3b607050294"
"Type=Mapix Results 2"
"DateTime=2021/04/02 14:05:23"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h05m11_5µm_785nmGain001.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h05m11_5µm_785nmGain001.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4485, 2805"
"JpegBrightness=49"
"JpegContrast=42"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=1"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4680.00	3005.00	150.45	0	Spot (Block1, Row1, Column1)	8235.37	7625.00	4032.19	0.03	0.49	334.00	348.36	334.00	46.96	0.02	0.13	100.00	100.00	0.00	7291.00	7901.37	5072986.00	167.96	2235.20	1611.00
1	2	1	4989.00	3008.00	147.00	-50	Spot (Block1, Row1, Column2)	389.60	388.00	40.86	0.00	0.10	336.00	349.37	336.00	41.77	0.02	0.12	65.00	14.00	0.00	52.00	53.60	229472.00	0.96	363.46	361.00
1	3	1	5307.00	3033.00	197.65	0	Spot (Block1, Row1, Column3)	379.55	383.00	40.16	0.00	0.11	353.00	356.75	353.00	41.99	0.00	0.12	24.00	4.00	0.00	30.00	26.55	420919.00	0.54	357.07	347.50
1	4	1	5590.00	3007.00	147.00	-50	Spot (Block1, Row1, Column4)	408.46	406.00	39.51	0.00	0.10	387.00	378.04	387.00	41.40	0.01	0.11	21.00	8.00	0.00	19.00	21.46	239357.00	0.73	402.13	400.00
1	5	1	5890.00	3007.00	147.00	-50	Spot (Block1, Row1, Column5)	416.56	397.00	56.69	0.02	0.14	396.00	398.33	396.00	46.57	0.00	0.12	27.00	16.00	0.00	1.00	20.56	244939.00	0.39	399.92	397.00
1	6	1	6190.00	3007.00	147.00	-50	Spot (Block1, Row1, Column6)	432.35	403.00	71.43	0.03	0.17	401.00	412.95	401.00	52.78	0.01	0.13	35.00	9.00	0.00	2.00	31.35	254653.00	0.37	404.23	396.00
1	7	1	6491.00	2993.00	124.55	0	Spot (Block1, Row1, Column7)	506.44	498.00	66.72	0.01	0.13	406.00	424.89	406.00	55.80	0.02	0.13	80.00	26.00	0.00	92.00	100.44	209161.00	1.46	476.43	487.00
1	8	1	6790.00	3014.00	236.80	0	Spot (Block1, Row1, Column8)	482.96	488.00	82.25	0.00	0.17	405.00	426.76	405.00	57.34	0.02	0.13	63.00	20.00	0.00	83.00	77.96	780468.00	0.98	440.47	416.00
1	1	2	4701.00	3310.00	226.50	0	Spot (Block1, Row2, Column1)	368.68	380.00	38.31	0.01	0.10	333.00	343.92	333.00	42.41	0.01	0.12	55.00	2.00	0.00	47.00	35.68	542330.00	0.58	344.13	334.00
1	2	2	5004.00	3305.00	137.10	0	Spot (Block1, Row2, Column2)	425.92	406.00	51.30	0.02	0.12	337.00	348.02	337.00	39.27	0.01	0.11	90.00	40.00	0.00	69.00	88.92	215940.00	1.98	368.63	376.00
1	3	2	5281.00	3296.00	194.50	0	Spot (Block1, Row2, Column3)	411.56	404.00	38.87	0.01	0.09	348.00	354.59	348.00	38.52	0.01	0.11	81.00	21.00	0.00	56.00	63.56	439135.00	1.48	380.08	386.00
1	4	2	5590.00	3307.00	147.00	-50	Spot (Block1, Row2, Column4)	402.91	400.00	43.37	0.00	0.11	381.00	371.94	381.00	42.56	0.01	0.11	16.00	7.00	0.00	19.00	21.91	235703.00	0.73	373.86	381.00
