ATF	1.0
30	28
"Checksum_ImageFile=d1d5989cbb19c611def9018ecb74b25c"
"Checksum_ResultFile=0d2df8d201fc10e1c17e02cb633e717b"
"Type=Mapix Results 2"
"DateTime=2021/04/02 14:13:19"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h13m07_5µm_785nmGain005.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h13m07_5µm_785nmGain005.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4490, 2805"
"JpegBrightness=48"
"JpegContrast=28"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=5"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4678.00	3005.00	150.05	0	Spot (Block1, Row1, Column1)	18768.41	17650.00	9431.66	0.03	0.50	692.00	699.27	692.00	96.01	0.00	0.14	100.00	100.00	0.00	16958.00	18076.41	11523804.00	188.20	5107.96	3596.00
1	2	1	4992.00	3008.00	147.00	-50	Spot (Block1, Row1, Column2)	767.48	793.00	90.23	0.01	0.12	695.00	709.89	695.00	94.87	0.01	0.13	52.00	11.00	0.00	98.00	72.48	455885.00	0.61	731.26	703.00
1	3	1	5284.00	3051.00	147.95	0	Spot (Block1, Row1, Column3)	770.17	753.00	177.78	0.01	0.23	698.00	715.94	698.00	84.17	0.01	0.12	40.00	4.00	0.00	55.00	72.17	460561.00	0.64	741.19	708.00
1	4	1	5583.00	3048.00	229.45	0	Spot (Block1, Row1, Column4)	779.51	787.00	88.28	0.00	0.11	707.00	741.37	707.00	98.00	0.02	0.13	29.00	10.00	0.00	80.00	72.51	1180964.00	0.39	753.87	726.00
1	5	1	5860.00	3021.00	162.10	0	Spot (Block1, Row1, Column5)	864.70	878.00	126.00	0.01	0.15	788.00	798.22	788.00	114.73	0.01	0.14	40.00	9.00	0.00	90.00	76.70	627774.00	0.58	821.42	798.50
1	6	1	6193.00	3007.00	147.00	-50	Spot (Block1, Row1, Column6)	928.16	894.00	173.43	0.02	0.19	804.00	850.58	804.00	135.07	0.02	0.16	42.00	19.00	0.00	90.00	124.16	548542.00	0.57	855.44	873.00
1	7	1	6488.00	3003.00	140.35	0	Spot (Block1, Row1, Column7)	1051.29	1011.00	179.99	0.02	0.17	881.00	883.63	881.00	142.97	0.00	0.16	49.00	27.00	0.00	130.00	170.29	562440.00	1.17	947.14	942.50
1	8	1	6801.00	2996.00	198.35	0	Spot (Block1, Row1, Column8)	1033.26	998.00	170.46	0.02	0.16	882.00	893.70	882.00	150.04	0.01	0.17	44.00	23.00	0.00	116.00	151.26	1151047.00	0.93	974.55	902.00
1	1	2	4692.00	3308.00	147.00	-50	Spot (Block1, Row2, Column1)	768.88	778.00	67.93	0.01	0.09	691.00	695.69	691.00	79.13	0.00	0.11	53.00	11.00	0.00	87.00	77.88	456716.00	0.92	721.65	695.50
1	2	2	4995.00	3305.00	128.85	0	Spot (Block1, Row2, Column2)	854.41	822.00	86.07	0.02	0.10	696.00	711.97	696.00	80.27	0.01	0.11	88.00	47.00	0.00	126.00	158.41	376794.00	1.77	750.82	734.00
