ATF	1.0
30	28
"Checksum_ImageFile=e2a919506e2ad5219b680b0b69965663"
"Checksum_ResultFile=2005b07192f5df9776595d1bc3bd4044"
"Type=Mapix Results 2"
"DateTime=2021/04/02 14:21:17"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h21m04_785nmGain010.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h21m04_785nmGain010.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4490, 2805"
"JpegBrightness=47"
"JpegContrast=22"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4679.00	3005.00	151.10	0	Spot (Block1, Row1, Column1)	28386.82	26688.50	14055.60	0.03	0.50	992.00	1011.08	992.00	143.26	0.01	0.14	100.00	100.00	0.48	25696.50	27394.82	17713376.00	191.10	6916.71	4696.00
1	2	1	4979.00	3002.00	152.65	0	Spot (Block1, Row1, Column2)	1142.01	1109.00	143.37	0.01	0.13	1001.00	1035.24	1001.00	139.94	0.01	0.14	45.00	20.00	0.00	108.00	141.01	728601.00	0.76	1054.27	1017.50
1	3	1	5290.00	3007.00	147.00	-50	Spot (Block1, Row1, Column3)	1124.90	1097.00	126.95	0.01	0.11	1012.00	1058.46	1012.00	159.64	0.02	0.15	39.00	5.00	0.00	85.00	112.90	664814.00	0.42	1097.64	1095.50
1	4	1	5589.00	3003.00	139.40	0	Spot (Block1, Row1, Column4)	1262.77	1265.50	180.74	0.00	0.14	1087.00	1112.95	1087.00	173.25	0.01	0.16	50.00	19.00	0.00	178.50	175.77	659166.00	0.86	1170.28	1160.00
1	5	1	5891.00	3007.00	147.00	-50	Spot (Block1, Row1, Column5)	1263.37	1209.00	168.44	0.02	0.13	1171.00	1186.12	1171.00	174.95	0.01	0.15	23.00	9.00	0.00	38.00	92.37	745387.00	0.44	1194.06	1191.50
1	6	1	6191.00	3007.00	147.00	-50	Spot (Block1, Row1, Column6)	1377.57	1362.00	265.74	0.00	0.19	1207.00	1251.33	1207.00	191.64	0.02	0.15	40.00	17.00	0.00	155.00	170.57	814146.00	0.66	1251.69	1198.00
1	7	1	6480.00	3006.00	140.90	0	Spot (Block1, Row1, Column7)	1560.86	1552.00	232.50	0.00	0.15	1285.00	1314.77	1285.00	217.45	0.01	0.17	55.00	26.00	0.00	267.00	275.86	838180.00	1.13	1410.96	1398.00
1	8	1	6780.00	3002.00	242.85	0	Spot (Block1, Row1, Column8)	1496.44	1478.00	242.89	0.01	0.16	1290.00	1330.68	1290.00	220.18	0.01	0.17	43.00	20.00	0.00	188.00	206.44	2548444.00	0.75	1385.13	1380.00
1	1	2	4690.00	3308.00	147.00	-50	Spot (Block1, Row2, Column1)	1150.66	1105.00	130.53	0.02	0.11	998.00	1019.03	998.00	129.98	0.01	0.13	47.00	23.00	0.00	107.00	152.66	677738.00	1.01	1043.76	1036.00
1	2	2	5002.00	3321.00	125.90	0	Spot (Block1, Row2, Column2)	1229.93	1210.00	162.94	0.01	0.13	1008.00	1044.22	1008.00	128.77	0.02	0.12	67.00	39.00	0.00	202.00	221.93	519032.00	1.44	1106.62	1093.50
