ATF	1.0
30	28
"Checksum_ImageFile=ce52322f0d98943bd851e8237bb333e4"
"Checksum_ResultFile=7b5fb0091c147ada14f9a0f70c1feff5"
"Type=Mapix Results 2"
"DateTime=2021/04/02 14:29:17"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h29m05_785nmGain020.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h29m05_785nmGain020.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4485, 2805"
"JpegBrightness=46"
"JpegContrast=16"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.7"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=20"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4679.00	3005.00	152.15	0	Spot (Block1, Row1, Column1)	44995.14	47269.00	18142.01	0.02	0.40	1699.00	1736.25	1699.00	253.86	0.01	0.15	100.00	100.00	30.24	45570.00	43296.14	28572096.00	170.41	10793.15	8308.50
1	2	1	4985.00	3005.00	148.05	0	Spot (Block1, Row1, Column2)	1931.46	1886.00	253.63	0.01	0.13	1708.00	1763.00	1708.00	247.41	0.01	0.14	45.00	16.00	0.00	178.00	223.46	1145353.00	0.68	1779.95	1739.00
1	3	1	5289.00	3008.00	147.00	-50	Spot (Block1, Row1, Column3)	1902.44	1862.00	260.81	0.01	0.14	1764.00	1789.05	1764.00	267.58	0.01	0.15	33.00	7.00	0.00	98.00	138.44	1120538.00	0.42	1867.25	1781.50
1	4	1	5588.00	3006.00	126.95	0	Spot (Block1, Row1, Column4)	2152.33	2139.50	256.29	0.00	0.12	1872.00	1896.08	1872.00	287.36	0.01	0.15	48.00	18.00	0.00	267.50	280.33	921197.00	0.89	1966.14	1981.50
1	5	1	5889.00	3007.00	147.00	-50	Spot (Block1, Row1, Column5)	2161.60	2101.00	259.53	0.01	0.12	1983.00	2024.97	1983.00	278.30	0.01	0.14	32.00	11.00	0.00	118.00	178.60	1271021.00	0.49	2076.73	2001.50
1	6	1	6193.00	2995.00	134.30	0	Spot (Block1, Row1, Column6)	2401.02	2398.00	381.49	0.00	0.16	2099.00	2138.13	2099.00	314.63	0.01	0.15	47.00	17.00	0.00	299.00	302.02	1169298.00	0.84	2300.26	2263.00
1	7	1	6485.00	3004.00	136.70	0	Spot (Block1, Row1, Column7)	2686.07	2695.00	409.44	0.00	0.15	2193.00	2240.40	2193.00	345.18	0.01	0.15	61.00	31.00	0.00	502.00	493.07	1353778.00	1.29	2415.21	2375.00
1	8	1	6794.00	3000.00	221.70	0	Spot (Block1, Row1, Column8)	2588.70	2553.50	354.54	0.01	0.14	2253.50	2289.77	2253.50	358.08	0.01	0.16	42.00	16.00	0.00	300.00	335.20	3644894.00	0.83	2384.96	2304.00
1	1	2	4689.00	3308.00	147.00	-50	Spot (Block1, Row2, Column1)	1878.21	1876.50	212.78	0.00	0.11	1702.00	1743.22	1702.00	239.51	0.01	0.14	35.00	7.00	0.00	174.50	176.21	1108144.00	0.56	1815.73	1797.00
1	2	2	4992.00	3318.00	151.75	0	Spot (Block1, Row2, Column2)	2046.27	2030.00	230.18	0.00	0.11	1771.00	1772.35	1771.00	231.04	0.00	0.13	55.00	23.00	0.00	259.00	275.27	1289149.00	1.19	1893.72	1896.00
1	3	2	5288.00	3288.00	196.35	0	Spot (Block1, Row2, Column3)	1975.25	1932.50	243.95	0.01	0.12	1780.00	1801.83	1780.00	273.31	0.01	0.15	35.00	9.00	0.00	152.50	195.25	2153019.00	0.63	1899.88	1902.50
1	4	2	5606.00	3330.00	164.70	0	Spot (Block1, Row2, Column4)	2055.51	2044.00	246.83	0.00	0.12	1848.00	1871.18	1848.00	244.19	0.01	0.13	44.00	14.00	0.00	196.00	207.51	1547799.00	0.75	1931.98	1881.50
1	5	2	5891.00	3313.00	209.55	0	Spot (Block1, Row2, Column5)	4201.04	4156.00	855.14	0.00	0.20	1908.00	1964.41	1908.00	270.43	0.01	0.14	100.00	99.00	0.00	2248.00	2293.04	5272300.00	8.27	2655.69	2607.00
1	6	2	6196.00	3318.00	120.85	0	Spot (Block1, Row2, Column6)	2349.52	2306.50	340.47	0.01	0.14	1987.00	2015.95	1987.00	287.72	0.01	0.14	54.00	23.00	0.00	319.50	362.52	906914.00	1.16	2150.10	2102.00
1	7	2	6445.00	3321.00	182.75	0	Spot (Block1, Row2, Column7)	2237.08	2195.00	333.90	0.01	0.15	2023.00	2070.41	2023.00	298.08	0.01	0.14	38.00	13.00	0.00	172.00	214.08	2100618.00	0.56	2178.60	2146.00
1	8	2	6773.00	3299.00	154.60	0	Spot (Block1, Row2, Column8)	2407.31	2399.50	414.66	0.00	0.17	2092.00	2144.17	2092.00	312.76	0.01	0.15	49.00	22.00	0.00	307.50	315.31	1588822.00	0.84	2255.65	2190.50
1	1	3	4686.00	3605.00	151.85	0	Spot (Block1, Row3, Column1)	2402.13	2378.00	337.68	0.00	0.14	1692.00	1730.38	1692.00	210.92	0.01	0.12	98.00	78.00	0.00	686.00	710.13	1520546.00	3.18	1997.31	2004.00
1	2	3	4989.00	3611.00	155.00	0	Spot (Block1, Row3, Column2)	2145.40	2083.00	405.95	0.01	0.19	1778.00	1783.20	1778.00	203.11	0.00	0.11	61.00	39.00	0.00	305.00	367.40	1415965.00	1.78	1963.25	1885.00
1	3	3	5291.00	3611.00	165.90	0	Spot (Block1, Row3, Column3)	2016.18	1978.00	276.84	0.01	0.14	1790.00	1817.20	1790.00	238.77	0.01	0.13	43.00	19.00	0.00	188.00	226.18	1540358.00	0.83	1861.63	1812.00
1	4	3	5583.00	3612.00	175.80	0	Spot (Block1, Row3, Column4)	2248.42	2213.00	297.29	0.01	0.13	1790.50	1833.18	1790.50	243.78	0.01	0.13	71.00	43.00	0.00	422.50	457.92	1940387.00	1.70	1940.97	1913.50
1	5	3	5890.00	3601.00	162.55	0	Spot (Block1, Row3, Column5)	2270.52	2211.00	516.18	0.01	0.23	1865.00	1881.25	1865.00	254.17	0.00	0.14	57.00	33.00	0.00	346.00	405.52	1662022.00	1.53	1989.11	1999.00
1	6	3	6195.00	3613.00	207.65	0	Spot (Block1, Row3, Column6)	2182.40	2118.50	399.20	0.01	0.18	1885.00	1927.14	1885.00	261.73	0.01	0.14	47.00	25.00	0.00	233.50	297.40	2679988.00	0.98	2023.79	2031.50
1	7	3	6481.00	3617.00	151.85	0	Spot (Block1, Row3, Column7)	2189.12	2201.50	313.55	0.00	0.14	1959.00	1997.13	1959.00	312.68	0.01	0.16	43.00	10.00	0.00	242.50	230.12	1379145.00	0.61	2019.39	1962.50
1	8	3	6786.00	3621.00	175.20	0	Spot (Block1, Row3, Column8)	2354.55	2332.00	302.30	0.00	0.13	2079.00	2103.22	2079.00	332.44	0.01	0.16	43.00	11.00	0.00	253.00	275.55	2013138.00	0.76	2249.06	2206.50
1	1	4	4683.00	3907.00	164.90	0	Spot (Block1, Row4, Column1)	2214.85	2160.00	478.38	0.01	0.22	1679.00	1698.54	1679.00	201.61	0.01	0.12	78.00	59.00	0.00	481.00	535.85	1665568.00	2.56	1863.77	1803.00
1	2	4	4989.00	3908.00	147.00	-50	Spot (Block1, Row4, Column2)	1930.21	1881.00	238.20	0.01	0.12	1753.00	1768.67	1753.00	212.45	0.00	0.12	43.00	18.00	0.00	128.00	177.21	1133031.00	0.76	1811.71	1773.00
1	3	4	5282.00	3899.00	156.80	0	Spot (Block1, Row4, Column3)	3363.99	3344.00	742.92	0.00	0.22	1783.00	1801.29	1783.00	234.60	0.00	0.13	99.00	97.00	0.00	1561.00	1580.99	2280787.00	6.66	2184.99	2227.50
1	4	4	5585.00	3915.00	147.40	0	Spot (Block1, Row4, Column4)	2012.08	1989.00	245.47	0.01	0.12	1788.00	1813.81	1788.00	230.57	0.01	0.13	44.00	17.00	0.00	201.00	224.08	1189139.00	0.86	1836.26	1795.00
1	5	4	5887.00	3909.00	143.35	0	Spot (Block1, Row4, Column5)	2061.27	2085.50	241.66	0.01	0.12	1817.00	1857.53	1817.00	247.01	0.01	0.13	50.00	17.00	0.00	268.50	244.27	1154312.00	0.82	1958.94	1972.00
1	6	4	6188.00	3907.00	209.60	0	Spot (Block1, Row4, Column6)	4285.60	4288.00	708.47	0.00	0.17	1901.00	1945.97	1901.00	277.27	0.01	0.14	100.00	99.00	0.00	2387.00	2384.60	5374137.00	8.44	2679.79	2650.00
1	7	4	6483.00	3908.00	145.20	0	Spot (Block1, Row4, Column7)	2378.92	2378.50	369.41	0.00	0.16	1979.00	2014.30	1979.00	328.02	0.01	0.16	55.00	27.00	0.00	399.50	399.92	1365499.00	1.11	2155.33	2119.00
