ATF	1.0
30	28
"Checksum_ImageFile=8799a39cd7cfeb8c8416bc04753d1d42"
"Checksum_ResultFile=2678c0b65ea2f7b4ceb1f12609851c03"
"Type=Mapix Results 2"
"DateTime=2021/04/02 14:37:15"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h37m03_5µm_785nmGain025.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h37m03_5µm_785nmGain025.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4485, 2805"
"JpegBrightness=46"
"JpegContrast=15"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.7"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=25"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4680.00	3005.00	152.65	0	Spot (Block1, Row1, Column1)	49347.26	54400.00	16687.95	0.04	0.34	2042.00	2088.59	2042.00	308.63	0.01	0.15	100.00	100.00	40.41	52358.00	47305.26	31631820.00	153.13	11989.40	8921.00
1	2	1	4982.00	3017.00	143.10	0	Spot (Block1, Row1, Column2)	2328.53	2311.00	281.90	0.00	0.12	2080.00	2114.34	2080.00	286.87	0.01	0.14	42.00	13.00	0.00	231.00	248.53	1290007.00	0.75	2181.83	2182.50
1	3	1	5313.00	3043.00	204.65	0	Spot (Block1, Row1, Column3)	2276.22	2197.00	534.07	0.02	0.23	2103.00	2152.27	2103.00	279.95	0.01	0.13	32.00	10.00	0.00	94.00	173.22	2713253.00	0.44	2166.39	2109.50
1	4	1	5583.00	3010.00	148.00	0	Spot (Block1, Row1, Column4)	2514.07	2504.00	304.11	0.00	0.12	2218.00	2266.95	2218.00	314.12	0.01	0.14	46.00	17.00	0.00	286.00	296.07	1505926.00	0.79	2310.72	2259.00
1	5	1	5886.00	3008.00	127.35	0	Spot (Block1, Row1, Column5)	2730.60	2676.50	341.47	0.01	0.13	2376.00	2410.56	2376.00	336.62	0.01	0.14	43.00	21.00	0.00	300.50	354.60	1179618.00	0.95	2610.48	2620.00
1	6	1	6192.00	2996.00	123.45	0	Spot (Block1, Row1, Column6)	2983.48	2924.00	504.14	0.01	0.17	2533.00	2577.24	2533.00	369.16	0.01	0.14	52.00	22.00	0.00	391.00	450.48	1208308.00	1.10	2756.09	2720.00
1	7	1	6484.00	3006.00	129.85	0	Spot (Block1, Row1, Column7)	3294.90	3286.00	514.20	0.00	0.16	2642.00	2688.86	2642.00	400.30	0.01	0.15	68.00	33.00	0.00	644.00	652.90	1486001.00	1.51	2931.61	2923.00
1	8	1	6782.00	3006.00	221.30	0	Spot (Block1, Row1, Column8)	3137.41	3110.50	440.28	0.00	0.14	2670.00	2721.47	2670.00	414.13	0.01	0.15	52.00	25.00	0.00	440.50	467.41	4411196.00	1.00	2773.50	2769.00
1	1	2	4689.00	3309.00	147.00	-50	Spot (Block1, Row2, Column1)	2216.90	2195.00	274.71	0.00	0.12	2059.00	2088.25	2059.00	274.30	0.01	0.13	36.00	6.00	0.00	136.00	157.90	1307969.00	0.47	2138.13	2088.50
1	2	2	4997.00	3320.00	140.75	0	Spot (Block1, Row2, Column2)	2469.18	2424.00	359.46	0.01	0.15	2082.00	2114.74	2082.00	268.54	0.01	0.13	60.00	30.00	0.00	342.00	387.18	1333355.00	1.32	2283.91	2227.00
