ATF	1.0
30	28
"Checksum_ImageFile=2c408cda7316b8ebbb46f067db0807bd"
"Checksum_ResultFile=d3323ec033c71a53a256674d4270e68e"
"Type=Mapix Results 2"
"DateTime=2021/04/02 14:45:13"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h45m01_5µm_785nmGain050.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h45m01_5µm_785nmGain050.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4485, 2805"
"JpegBrightness=44"
"JpegContrast=12"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.7"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=50"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4681.00	3004.00	155.25	0	Spot (Block1, Row1, Column1)	60309.72	65535.00	9065.75	0.04	0.15	3693.00	3763.26	3693.00	529.55	0.01	0.14	100.00	100.00	67.37	61842.00	56616.72	39925384.00	106.78	19074.45	16130.00
1	2	1	4984.00	3006.00	145.50	0	Spot (Block1, Row1, Column2)	4266.54	4248.50	477.83	0.00	0.11	3782.00	3839.62	3782.00	506.55	0.01	0.13	47.00	13.00	0.00	466.50	484.54	2457529.00	0.84	3949.04	3790.00
1	3	1	5289.00	3008.00	147.00	-50	Spot (Block1, Row1, Column3)	4175.62	4116.50	513.63	0.01	0.12	3895.00	3947.53	3895.00	577.12	0.01	0.15	32.00	2.00	0.00	221.50	280.62	2455265.00	0.40	4055.40	3996.00
1	4	1	5598.00	3010.00	136.00	0	Spot (Block1, Row1, Column4)	4609.89	4549.00	537.33	0.01	0.12	4137.00	4180.62	4137.00	617.72	0.00	0.15	36.00	8.00	0.00	412.00	472.89	2309555.00	0.69	4312.91	4354.00
1	5	1	5889.00	3007.00	147.00	-50	Spot (Block1, Row1, Column5)	4739.14	4709.00	558.73	0.00	0.12	4402.00	4450.60	4402.00	557.73	0.00	0.13	38.00	8.00	0.00	307.00	337.14	2791356.00	0.52	4550.03	4648.00
1	6	1	6189.00	3007.00	147.00	-50	Spot (Block1, Row1, Column6)	5231.02	5114.50	806.66	0.01	0.15	4641.00	4689.60	4641.00	615.30	0.00	0.13	41.00	14.00	0.00	473.50	590.02	3075840.00	0.88	4746.04	4677.00
1	7	1	6472.00	3007.00	139.35	0	Spot (Block1, Row1, Column7)	5930.94	5881.00	959.77	0.00	0.16	4855.00	4914.36	4855.00	682.07	0.01	0.14	63.00	31.00	0.00	1026.00	1075.94	3161193.00	1.49	5268.11	5307.00
1	8	1	6789.00	3006.00	213.35	0	Spot (Block1, Row1, Column8)	5814.31	5784.50	711.61	0.00	0.12	4969.00	5013.88	4969.00	698.68	0.00	0.14	54.00	25.00	0.00	815.50	845.31	7558597.00	1.15	5268.43	5182.00
1	1	2	4689.00	3309.00	147.00	-50	Spot (Block1, Row2, Column1)	4182.73	4164.50	460.04	0.00	0.11	3750.00	3792.04	3750.00	497.32	0.00	0.13	46.00	14.00	0.00	414.50	432.73	2459446.00	0.79	3885.96	3819.00
1	2	2	4989.00	3313.00	146.90	0	Spot (Block1, Row2, Column2)	4482.57	4457.00	549.73	0.00	0.12	3803.00	3860.44	3803.00	484.83	0.01	0.13	63.00	26.00	0.00	654.00	679.57	2635750.00	1.28	4103.24	4054.00
