ATF	1.0
30	28
"Checksum_ImageFile=483c0902219c0365167d04625838a1a3"
"Checksum_ResultFile=22ee25de48ad8d63c1d749ccb76cfffe"
"Type=Mapix Results 2"
"DateTime=2021/04/02 14:53:10"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h52m58_5µm_785nmGain075.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_14h52m58_5µm_785nmGain075.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4485, 2805"
"JpegBrightness=43"
"JpegContrast=12"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=75"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4680.00	3004.00	157.35	0	Spot (Block1, Row1, Column1)	64016.37	65535.00	4114.04	0.01	0.06	5076.50	5130.00	5076.50	704.80	0.00	0.14	100.00	100.00	82.79	60458.50	58939.87	43531536.00	83.55	23897.46	21903.50
1	2	1	4987.00	3005.00	164.45	0	Spot (Block1, Row1, Column2)	5794.07	5811.50	637.26	0.00	0.11	5191.00	5247.95	5191.00	662.63	0.00	0.13	48.00	12.00	0.00	620.50	603.07	4345550.00	0.82	5339.51	5352.50
1	3	1	5290.00	3009.00	147.00	-50	Spot (Block1, Row1, Column3)	5652.99	5591.00	578.81	0.00	0.10	5337.00	5390.95	5337.00	718.74	0.00	0.13	28.00	1.00	0.00	254.00	315.99	3323956.00	0.36	5372.61	5322.00
1	4	1	5596.00	3013.00	126.65	0	Spot (Block1, Row1, Column4)	6293.70	6181.00	698.09	0.01	0.11	5660.00	5689.38	5660.00	770.78	0.00	0.14	39.00	12.00	0.00	521.00	633.70	2693702.00	0.78	5953.30	5873.00
1	5	1	5890.00	3008.00	147.00	-50	Spot (Block1, Row1, Column5)	6525.09	6604.50	676.05	0.01	0.10	6033.00	6085.91	6033.00	754.05	0.00	0.12	42.00	3.00	0.00	571.50	492.09	3862851.00	0.58	6078.60	6047.00
1	6	1	6189.00	2990.00	131.30	0	Spot (Block1, Row1, Column6)	7319.03	7093.50	1225.85	0.01	0.17	6411.00	6463.99	6411.00	816.69	0.00	0.13	45.00	15.00	0.00	682.50	908.03	3396028.00	1.05	6743.79	6722.00
1	7	1	6481.00	3006.00	121.85	0	Spot (Block1, Row1, Column7)	8209.87	8099.00	1314.34	0.01	0.16	6724.50	6768.45	6724.50	872.26	0.00	0.13	69.00	35.00	0.00	1374.50	1485.37	3218269.00	1.65	7290.88	7302.00
1	8	1	6788.00	3005.00	229.25	0	Spot (Block1, Row1, Column8)	7777.77	7722.00	905.71	0.00	0.12	6812.00	6864.80	6812.00	894.47	0.00	0.13	50.00	19.00	0.00	910.00	965.77	11736653.00	1.02	7156.52	6988.50
1	1	2	4689.00	3309.00	147.00	-50	Spot (Block1, Row2, Column1)	5684.13	5631.00	641.63	0.00	0.11	5107.50	5153.83	5107.50	641.25	0.00	0.12	46.00	13.00	0.00	523.50	576.63	3370688.00	0.83	5303.78	5229.50
1	2	2	4998.00	3320.00	136.95	0	Spot (Block1, Row2, Column2)	6194.21	6148.00	642.77	0.00	0.10	5189.00	5258.61	5189.00	628.63	0.01	0.12	70.00	27.00	0.00	959.00	1005.21	3152853.00	1.49	5654.72	5543.00
