ATF	1.0
30	28
"Checksum_ImageFile=20af92276db9fc9e9d3f773a372ab63b"
"Checksum_ResultFile=a7c6ecbe0e2bcdca3cbb8bc9093f7e1e"
"Type=Mapix Results 2"
"DateTime=2021/04/02 15:01:08"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_15h00m55_5µm_785nmGain100.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0139_12860A01-D12_IgM_785\Joseph_2021-04-02_15h00m55_5µm_785nmGain100.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4490, 2805"
"JpegBrightness=42"
"JpegContrast=12"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=100"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4681.00	3005.00	162.55	0	Spot (Block1, Row1, Column1)	64516.59	65535.00	4118.05	0.01	0.06	6745.50	6865.72	6745.50	879.69	0.01	0.13	100.00	100.00	90.96	58789.50	57771.09	47097572.00	65.54	25022.84	23020.00
1	2	1	4988.00	3004.00	152.80	0	Spot (Block1, Row1, Column2)	7699.78	7565.00	789.09	0.01	0.10	6986.00	7045.60	6986.00	798.52	0.00	0.11	41.00	14.00	0.00	579.00	713.78	4935559.00	0.82	7239.86	7291.00
1	3	1	5291.00	3008.00	147.00	-50	Spot (Block1, Row1, Column3)	7586.18	7498.00	740.31	0.01	0.10	7165.50	7231.18	7165.50	890.51	0.00	0.12	27.00	2.00	0.00	332.50	420.68	4453086.00	0.40	7392.90	7445.50
1	4	1	5593.00	3010.00	134.65	0	Spot (Block1, Row1, Column4)	8476.71	8505.00	827.48	0.00	0.10	7570.00	7626.54	7570.00	947.69	0.00	0.12	49.00	13.00	0.00	935.00	906.71	4145110.00	0.90	7949.06	8043.00
1	5	1	5891.00	3007.00	147.00	-50	Spot (Block1, Row1, Column5)	8685.76	8747.50	830.89	0.00	0.10	8127.00	8174.94	8127.00	926.04	0.00	0.11	36.00	5.00	0.00	620.50	558.76	5159339.00	0.55	8148.45	7906.50
1	6	1	6194.00	2996.00	122.20	0	Spot (Block1, Row1, Column6)	9831.76	9813.50	1425.62	0.00	0.15	8616.00	8687.11	8616.00	1024.36	0.00	0.12	55.00	13.00	0.00	1197.50	1215.76	3913041.00	1.12	9313.52	9306.00
1	7	1	6483.00	3007.00	135.10	0	Spot (Block1, Row1, Column7)	10928.40	10703.00	1346.96	0.01	0.12	8994.00	9056.81	8994.00	1071.64	0.00	0.12	74.00	39.00	0.00	1709.00	1934.40	5333060.00	1.75	9861.88	9817.50
1	8	1	6792.00	3003.00	224.75	0	Spot (Block1, Row1, Column8)	10429.65	10360.00	1170.46	0.00	0.11	9129.00	9206.70	9129.00	1074.18	0.00	0.12	53.00	23.00	0.00	1231.00	1300.65	15091701.00	1.14	9706.61	9748.50
1	1	2	4690.00	3309.00	147.00	-50	Spot (Block1, Row2, Column1)	7568.07	7604.50	672.50	0.00	0.09	6836.00	6922.86	6836.00	816.41	0.01	0.12	46.00	7.00	0.00	768.50	732.07	4450025.00	0.79	7138.33	7144.00
1	2	2	4997.00	3321.00	131.55	0	Spot (Block1, Row2, Column2)	8404.81	8414.00	824.95	0.00	0.10	7015.00	7084.70	7015.00	775.13	0.00	0.11	73.00	41.00	0.00	1399.00	1389.81	3899830.00	1.70	7689.16	7547.50
1	3	2	5291.00	3311.00	183.90	0	Spot (Block1, Row2, Column3)	8101.13	8083.50	836.99	0.00	0.10	7179.50	7245.85	7179.50	944.99	0.00	0.13	48.00	12.00	0.00	904.00	921.63	7679870.00	0.91	7646.21	7578.00
1	4	2	5588.00	3310.00	143.70	0	Spot (Block1, Row2, Column4)	8430.42	8369.50	794.24	0.00	0.09	7502.00	7551.54	7502.00	864.48	0.00	0.11	50.00	19.00	0.00	867.50	928.42	4771619.00	1.02	7956.70	7823.50
1	5	2	5894.00	3313.00	209.60	0	Spot (Block1, Row2, Column5)	18084.42	18106.50	3237.13	0.00	0.18	7851.00	7927.41	7851.00	943.48	0.00	0.12	100.00	100.00	0.00	10255.50	10233.42	22533208.00	10.77	11252.07	11008.00
1	6	2	6196.00	3306.00	133.00	0	Spot (Block1, Row2, Column6)	9208.42	9121.00	989.01	0.00	0.11	8141.00	8210.38	8141.00	939.02	0.00	0.11	52.00	15.00	0.00	980.00	1067.42	4355584.00	1.06	8562.97	8521.00
1	7	2	6485.00	3316.00	134.45	0	Spot (Block1, Row2, Column7)	9524.08	9437.50	1034.50	0.00	0.11	8436.50	8511.01	8436.50	1034.22	0.00	0.12	48.00	17.00	0.00	1001.00	1087.58	4647750.00	0.98	9095.02	9179.00
1	8	2	6778.00	3313.00	137.15	0	Spot (Block1, Row2, Column8)	9715.89	9595.50	1388.57	0.01	0.14	8689.00	8752.75	8689.00	1007.71	0.00	0.12	44.00	12.00	0.00	906.50	1026.89	4935673.00	0.96	9056.90	9096.00
1	1	3	4688.00	3606.00	157.85	0	Spot (Block1, Row3, Column1)	9361.12	9151.00	1288.21	0.01	0.14	6772.00	6839.05	6772.00	774.95	0.00	0.11	97.00	81.00	0.00	2379.00	2589.12	6431089.00	3.25	7846.93	7806.00
1	2	3	4994.00	3610.00	182.85	0	Spot (Block1, Row3, Column2)	8283.88	8025.00	1184.56	0.01	0.14	7021.00	7087.85	7021.00	728.95	0.00	0.10	63.00	36.00	0.00	1004.00	1262.88	7795131.00	1.64	7694.84	7762.00
1	3	3	5293.00	3610.00	125.75	0	Spot (Block1, Row3, Column3)	8410.93	8435.50	771.64	0.00	0.09	7218.00	7285.63	7218.00	809.26	0.00	0.11	67.00	29.00	0.00	1217.50	1192.93	3549411.00	1.39	7573.58	7546.00
